Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Южская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16629	2563	1495	1425	1555	1772	1293	1127	256	131	328	1452	622	398	332	749	159	140	138	349	345									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13550	1850	1100	1050	1100	1300	950	850	250	150	350	1450	600	400	300	750	150	125	125	350	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7165	1190	507	513	472	801	439	397	121	77	181	776	275	277	113	328	106	66	68	213	245									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1938	257	152	170	83	180	262	70	43	20	80	55	30	49	142	67	32	48	29	103	66									
6	Число погашенных избирательных бюллетеней	4447	403	441	367	545	319	249	383	86	53	89	619	295	74	45	355	12	11	28	34	39									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1938	257	152	170	83	180	262	70	43	20	80	55	30	49	142	67	32	48	29	103	66									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7159	1190	501	513	472	801	439	397	121	77	181	776	275	277	113	328	106	66	68	213	245									
9	Число недействительных избирательных бюллетеней	164	16	20	16	12	21	10	12	2	3	3	22	6	3	4	12	0	0	0	1	1									
10	Число действительных избирательных бюллетеней	8933	1431	633	667	543	960	691	455	162	94	258	809	299	323	251	383	138	114	97	315	310									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	209	27	15	15	15	15	15	15	3	3	9	13	5	10	5	5	3	3	3	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	198	27	15	15	9	15	15	15	3	3	9	13	3	10	5	5	3	0	3	15	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	5	2	5	14	6	1	2	4	3	4	27	2	5	5	2	1	4	3	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	11	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	4	1	3	2	5	4	9	1	0	0	0	0	0	0	0	0	0	0	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
