Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Кировская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20387	1430	1802	1052	2092	2128	2272	2274	957	1523	1810	1813	843	391									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19800	1460	1090	1040	2100	2160	2250	2280	990	1530	1820	1850	820	410									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18151	1241	1031	861	2030	1978	2162	2085	838	1314	1660	1803	776	372									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	461	111	31	42	0	12	42	73	26	28	42	10	25	19									
6	Число погашенных избирательных бюллетеней	1188	108	28	137	70	170	46	122	126	188	118	37	19	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	461	111	31	42	0	12	42	73	26	28	42	10	25	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18151	1241	1031	861	2030	1978	2162	2085	838	1314	1660	1803	776	372									
9	Число недействительных избирательных бюллетеней	42	6	0	6	0	12	0	0	3	0	0	0	8	7									
10	Число действительных избирательных бюллетеней	18570	1346	1062	897	2030	1978	2204	2158	861	1342	1702	1813	793	384									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	325	20	20	20	35	35	35	35	20	30	30	30	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	7	2	1	3	7	2	3	3	30	4	25	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	1	0	0	0	10	0	5	0	0	0	1	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	233	13	18	19	32	28	33	32	17	0	26	5	7	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	75	3	3	2	8	25	10	16	1	0	3	1	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	240	20	0	0	30	7	12	22	86	10	17	20	8	8									
		1.29%	1.48%	0.00%	0.00%	1.48%	0.35%	0.54%	1.02%	9.95%	0.75%	0.99%	1.10%	0.99%	2.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	40	0	0	6	0	21	10	0	0	0	0	0	0	3									
		0.21%	0.00%	0.00%	0.66%	0.00%	1.06%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	10	0	0	6	0	4	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.66%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12922	918	722	607	1365	1653	1696	1443	560	865	1113	1160	557	263									
		69.43%	67.90%	67.98%	67.22%	67.24%	83.07%	76.95%	66.87%	64.81%	64.46%	65.39%	63.98%	69.54%	67.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	0	0	0	0	5	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	1	0	1	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.11%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	638	69	32	38	61	70	20	65	16	65	71	91	26	14									
		3.43%	5.10%	3.01%	4.21%	3.00%	3.52%	0.91%	3.01%	1.85%	4.84%	4.17%	5.02%	3.25%	3.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	0	0	0	0	4	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3	0	0	2	0	1	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.22%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	0	0	0	0	2	0	0	0	0	0	0	0	4									
