Выборы Президента Российской Федерации																																																																																																																						
																																																																																																																						
Наименование Избирательной комиссии:    Выборгская																																																																																																																						
																																																																																																																						
Итоги голосования 																																																																																																																						
																																																																																																																						
		Сумма	УИК №223	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351					
1	"Число избирателей, внесенных в список"	145094	473	1154	846	1887	1943	1972	1773	1199	675	1781	1919	1846	1962	2145	2002	1232	2112	1518	2037	2122	2021	1867	2022	1582	2019	2126	2341	2238	2056	2076	1258	603	2244	1124	1081	653	1729	1221	942	2078	975	672	1948	482	839	330	385	285	1550	386	1097	1225	788	234	1130	1362	1359	2104	2260	645	841	1067	1813	1745	1615	1776	942	964	1216	565	784	1046	1020	1115	1205	2032	419	456	1175	1127	305	223	1103	1106	489	772	878	269	439	2165	2392	2510	1189	899	1582	1711	1666	1672	1843	321	406	1487	2226	2705	803	590	2015	631	419	1082	338					
2	Число полученных избирательных бюллетеней	143650	480	1150	850	1880	1940	2020	1760	1200	670	1790	1930	1860	1950	2150	2020	1230	2100	1500	2050	2130	2030	1880	2030	1600	2000	2100	2350	2240	2050	2050	1240	600	2250	1120	940	500	1740	1050	940	2080	980	630	1900	490	820	340	360	285	1550	375	1120	1220	790	230	1170	1300	1350	2120	2270	600	850	1060	1820	1740	1600	1730	930	950	1220	560	770	1040	1000	1100	1100	2040	410	470	1200	1100	260	200	1100	1120	460	750	890	260	420	2170	2350	2150	1180	880	1580	1730	1700	1680	1840	320	350	1480	2180	2700	800	590	2030	620	400	1080	340					
3	"Число избирательных бюллетеней, выданных  досрочно"	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	77628	460	607	444	945	1081	1196	974	647	364	964	1022	979	990	1139	1185	711	1204	825	1214	1189	1113	913	1185	856	1129	1242	1276	1219	1065	1164	631	266	1300	531	650	236	821	383	431	1063	510	269	928	298	419	216	218	136	773	186	545	680	414	124	465	853	715	1203	1283	267	446	562	1109	930	959	923	442	391	655	284	436	463	502	676	624	1083	81	254	638	507	192	103	622	610	226	444	438	139	227	964	1351	1925	474	487	875	840	885	840	912	132	274	777	1189	1431	494	250	1077	387	258	572	152					
5	"Число избирательных бюллетеней, выданных вне помещения"	4249	0	24	12	17	25	31	44	26	14	28	30	29	56	49	15	9	22	10	28	36	23	17	20	23	19	14	22	20	22	19	3	0	22	6	24	136	21	153	6	33	8	164	193	79	154	12	7	32	20	54	19	44	78	15	46	4	12	23	12	72	0	35	5	30	30	42	47	135	13	26	47	35	10	12	95	25	117	0	13	112	0	39	36	13	67	10	54	27	47	7	29	52	152	11	14	35	22	22	34	49	8	97	86	89	17	41	46	11	0	79	70					
6	Число погашенных избирательных бюллетеней	61612	20	519	394	918	834	793	742	527	292	798	878	852	904	962	820	510	874	665	808	905	894	950	825	721	852	844	1052	1001	963	867	606	334	928	583	266	128	898	514	503	984	462	197	779	113	247	112	135	117	757	135	556	496	298	91	659	287	623	894	975	261	404	463	706	780	611	760	441	424	552	250	287	542	488	412	381	932	212	216	549	481	68	58	442	497	167	296	398	94	146	1199	970	173	554	382	691	855	793	818	894	139	68	606	905	1180	289	299	907	222	142	429	118					
7	Число избирательных бюллетеней в переносных ящиках	4410	0	24	12	17	25	31	44	26	14	28	30	29	56	49	15	9	22	10	28	36	23	17	20	23	19	14	22	20	22	19	3	0	22	6	24	136	21	153	6	33	8	164	193	79	154	12	7	32	20	54	19	44	78	15	46	160	12	23	12	72	0	35	5	30	30	47	47	135	13	26	47	35	10	12	95	25	117	0	13	112	0	39	36	13	67	10	54	27	47	7	29	52	152	11	14	35	22	22	34	49	8	97	86	89	17	41	46	11	0	79	70					
8	Число бюллетеней в стационарных ящиках для голосования	77614	460	607	444	944	1081	1196	974	647	364	964	1022	979	988	1139	1184	711	1204	825	1214	1189	1113	913	1184	856	1129	1242	1273	1219	1065	1164	631	266	1300	531	650	236	821	383	431	1062	510	269	928	298	419	216	218	136	773	186	545	680	414	124	465	853	715	1203	1283	267	446	562	1109	930	959	923	442	391	655	284	436	463	502	676	624	1083	81	254	638	507	192	103	622	610	226	444	438	139	227	964	1347	1925	474	487	875	840	885	840	911	132	274	777	1189	1431	494	250	1077	387	258	572	152					
9	Число недействительных избирательных бюллетеней	520	6	6	5	7	3	3	4	3	0	5	12	1	9	6	7	3	10	4	6	8	8	4	1	8	13	4	7	6	8	2	4	0	6	7	3	2	6	7	5	9	1	6	7	2	7	3	2	0	4	2	5	9	1	2	2	3	5	12	9	1	1	2	8	12	2	2	3	1	10	1	3	1	11	4	6	9	2	3	7	3	3	1	4	6	2	0	3	0	0	8	3	3	7	2	9	6	9	4	4	4	0	8	10	9	2	2	9	1	1	7	1					
10	Число действительных избирательных бюллетеней	81504	454	625	451	954	1103	1224	1014	670	378	987	1040	1007	1035	1182	1192	717	1216	831	1236	1217	1128	926	1203	871	1135	1252	1288	1233	1079	1181	630	266	1316	530	671	370	836	529	432	1086	517	427	1114	375	566	225	223	168	789	238	559	715	491	137	509	1010	722	1214	1286	338	445	595	1106	948	987	968	486	525	658	309	480	497	501	684	713	1099	196	251	644	616	189	141	654	617	291	454	489	166	274	963	1373	1974	619	496	880	869	898	858	941	177	282	866	1265	1511	509	289	1114	397	257	644	221					
