Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Пышминская 																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №721	УИК №722	УИК №723									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16848	1806	1211	1667	1842	1706	253	361	718	169	783	104	321	293	202	558	429	536	256	375	977	315	734	662	436	134									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14000	1500	1000	1400	1500	1400	200	300	600	150	700	100	250	250	200	400	400	400	200	300	800	250	600	600	400	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7328	819	544	826	843	656	139	183	321	78	295	48	171	133	85	205	191	252	104	206	393	114	280	253	129	60									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	561	42	36	68	61	39	10	6	35	19	14	2	16	7	8	28	7	22	5	8	48	32	11	19	18	0									
6	Число погашенных избирательных бюллетеней	6111	639	420	506	596	705	51	111	244	53	391	50	63	110	107	167	202	126	91	86	359	104	309	328	253	40									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	561	42	36	68	61	39	10	6	35	19	14	2	16	7	8	28	7	22	5	8	48	32	11	19	18	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7326	819	544	825	843	655	139	183	321	78	295	48	171	133	85	205	191	252	104	206	393	114	280	253	129	60									
9	Число недействительных избирательных бюллетеней	218	20	9	27	15	22	3	7	15	9	7	3	4	7	3	3	8	5	5	9	10	2	14	5	6	0									
10	Число действительных избирательных бюллетеней	7669	841	571	866	889	672	146	182	341	88	302	47	183	133	90	230	190	269	104	205	431	144	277	267	141	60									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	750	60	60	60	60	60	10	20	30	20	30	10	20	20	20	30	20	30	30	30	40	10	30	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	143	12	6	16	11	8	6	1	2	6	4	5	2	3	0	1	2	12	2	1	9	2	7	20	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	2	4	12	5	7	2	1	7	2	7	3	4	1	2	3	2	3	1	3	3	1	0	6	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	607	48	54	44	49	52	4	19	28	14	26	5	18	17	20	29	18	18	28	29	31	8	23	0	15	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	7	2	4	3	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	65	10	6	6	10	5	1	1	1	3	3	3	1	0	1	2	0	2	0	2	2	1	2	2	1	0									
		0.82%	1.16%	1.03%	0.67%	1.11%	0.72%	0.67%	0.53%	0.28%	3.09%	0.97%	6.00%	0.53%	0.00%	1.08%	0.86%	0.00%	0.73%	0.00%	0.93%	0.45%	0.68%	0.69%	0.74%	0.68%	0.00%									
