Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Вяземская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №8216	УИК №8224	УИК №8227	УИК №8228									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	73832	2174	2471	1758	2732	2316	2313	2554	1343	2461	1215	1836	2008	1869	2749	2037	1262	1800	1570	1084	2245	2457	765	588	1877	1200	2618	1403	578	292	142	148	505	1353	110	526	258	328	1732	683	423	466	498	666	702	552	481	1143	314	278	443	328	2896	2096	2931	2255									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	103867	2169	2387	1769	2592	2332	2339	2439	1359	2481	1149	1844	2004	1634	2601	2044	1272	1816	1574	1075	2272	2476	763	563	1888	1211	2673	1199	590	286	151	149	523	1364	113	519	271	321	1550	686	435	479	506	665	711	555	447	1145	317	292	445	322	8100	13000	12000	8000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31436	767	890	611	940	659	638	699	501	759	382	644	582	744	860	701	387	536	453	253	711	812	244	172	543	411	1230	689	259	184	69	65	244	387	45	154	71	187	488	297	107	150	152	247	290	199	169	346	138	143	177	124	2855	2078	2901	2092									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2205	11	8	15	12	20	13	109	10	24	35	17	10	8	19	3	3	10	1	4	7	16	9	120	9	60	9	43	116	23	24	34	67	73	21	53	35	69	219	31	73	46	28	32	94	41	22	134	32	28	20	34	40	18	30	163									
6	Число погашенных избирательных бюллетеней	70226	1391	1489	1143	1640	1653	1688	1631	848	1698	732	1183	1412	882	1722	1340	882	1270	1120	818	1554	1648	510	271	1336	740	1434	467	215	79	58	50	212	904	47	312	165	65	843	358	255	283	326	386	327	315	256	665	147	121	248	164	5205	10904	9069	5745									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2205	11	8	15	12	20	13	109	10	24	35	17	10	8	19	3	3	10	1	4	7	16	9	120	9	60	9	43	116	23	24	34	67	73	21	53	35	69	219	31	73	46	28	32	94	41	22	134	32	28	20	34	40	18	30	163									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31431	767	890	611	940	659	638	699	501	758	382	644	582	744	859	701	387	536	453	253	711	812	244	172	543	411	1228	689	259	184	69	65	244	387	45	154	71	187	488	297	107	150	152	247	290	199	169	346	138	143	177	124	2855	2078	2901	2091									
9	Число недействительных избирательных бюллетеней	475	14	13	9	11	13	10	36	7	17	7	11	7	4	12	12	12	16	4	1	14	15	1	14	14	5	30	11	2	5	0	0	8	10	0	1	1	2	7	5	0	7	3	5	1	3	2	5	0	0	5	5	34	6	19	19									
10	Число действительных избирательных бюллетеней	33161	764	885	617	941	666	641	772	504	765	410	650	585	748	866	692	378	530	450	256	704	813	252	278	538	466	1207	721	373	202	93	99	303	450	66	206	105	254	700	323	180	189	177	274	383	237	189	475	170	171	192	153	2861	2090	2912	2235									
