Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																															
Дата голосования: 02.12.2007																																																																																															
																																																																																															
Наименование Избирательной комиссии:    Вольская																																																																																															
																																																																																															
Сводная таблица результатов выборов																																																																																															
																																																																																															
		Сумма	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502					
1	"Число избирателей, внесенных в списки избирателей"	77782	2167	721	2231	1476	425	570	1121	1536	1055	943	560	902	1435	1684	1724	1560	1531	1592	1974	1590	2118	1774	822	2684	1791	1133	1643	1153	892	645	960	540	1253	1178	2201	669	406	903	177	31	543	2830	2119	132	140	67	450	29	28	47	880	493	178	340	700	413	523	720	140	39	423	217	713	166	180	177	430	866	486	284	162	125	365	2561	406	2219	339	463	1025	730	370	259	140	297	2564	747	256	231					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	69108	2000	1500	2000	1200	400	500	900	1100	900	900	500	800	1100	1500	1500	1100	1200	1200	1200	1800	1800	1500	700	2000	1500	1000	1200	1000	700	600	700	500	1000	1000	2000	600	300	900	150	50	500	2800	1700	100	150	66	420	60	35	47	800	500	160	300	700	400	500	680	130	40	400	200	700	140	170	160	450	830	480	350	150	100	450	2300	400	2200	330	400	950	650	350	240	130	240	2500	700	250	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	42311	1135	633	1101	666	94	201	416	592	386	466	246	434	807	1396	1138	952	802	802	812	975	1163	919	323	1216	888	452	849	644	396	271	529	189	544	584	1248	220	158	423	86	31	383	1938	1583	88	140	66	415	24	28	47	478	371	137	197	489	219	336	405	82	25	277	134	427	112	90	115	239	409	253	249	103	73	151	1186	202	1543	146	252	546	326	236	132	77	212	1403	437	135	208					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4140	32	88	48	63	26	36	68	59	45	38	25	30	63	62	80	32	30	52	83	9	47	24	36	84	114	70	61	55	47	36	24	21	52	83	74	100	57	34	23	0	15	32	64	3	0	0	0	0	0	0	110	74	8	42	84	65	48	78	11	6	54	34	58	12	23	30	108	89	61	35	8	4	152	104	24	79	75	60	50	68	20	27	10	11	219	49	25	0					
6	Число погашенных избирательных бюллетеней	22656	833	779	851	471	280	263	416	449	469	395	229	336	230	42	282	116	368	346	305	816	590	557	341	700	498	478	290	301	257	293	147	290	404	333	678	280	85	443	41	19	102	830	53	9	10	0	5	36	7	0	212	55	15	61	127	116	116	197	37	9	69	32	215	16	57	15	103	332	166	66	39	23	147	1010	174	578	109	88	354	256	94	81	43	17	878	214	90	92					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4140	32	88	48	63	26	36	68	59	45	38	25	30	63	62	80	32	30	52	83	9	47	24	36	84	114	70	61	55	47	36	24	21	52	83	74	100	57	34	23	0	15	32	64	3	0	0	0	0	0	0	110	74	8	42	84	65	48	78	11	6	54	34	58	12	23	30	108	89	61	35	8	4	152	104	24	79	75	60	50	68	20	27	10	11	219	49	25	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42306	1135	633	1101	666	94	201	416	592	386	465	246	434	807	1396	1138	952	802	802	812	974	1163	919	323	1215	888	452	849	644	396	271	529	189	544	584	1248	220	158	423	86	31	383	1938	1583	88	140	66	414	24	28	47	478	371	137	197	489	219	336	405	82	25	277	134	427	112	90	115	239	409	253	249	103	73	151	1186	202	1543	146	252	546	326	236	132	77	212	1403	436	135	208					
9	Число недействительных избирательных бюллетеней	858	24	8	30	15	2	8	12	18	7	18	6	11	7	11	19	2	9	12	6	11	19	20	4	27	27	9	9	5	6	3	7	5	14	18	42	14	7	0	0	0	10	55	0	2	4	0	0	0	2	1	7	14	2	6	10	7	11	15	4	0	7	1	12	6	3	0	6	10	4	3	3	1	1	15	0	76	3	9	20	10	2	6	10	2	10	13	3	0					
10	Число действительных избирательных бюллетеней	45588	1143	713	1119	714	118	229	472	633	424	485	265	453	863	1447	1199	982	823	842	889	972	1191	923	355	1272	975	513	901	694	437	304	546	205	582	649	1280	306	208	457	109	31	388	1915	1647	89	136	66	414	24	26	46	581	431	143	233	563	277	373	468	89	31	324	167	473	118	110	145	341	488	310	281	108	76	302	1275	226	1546	218	303	576	384	254	153	77	221	1612	472	157	208					
