Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Муслюмовская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16672	1285	1221	1308	1348	1414	386	236	305	483	361	217	278	494	372	355	540	508	406	517	307	511	338	377	291	213	823	626	325	330	497									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16984	1313	1232	1329	1370	1458	390	236	312	510	361	217	280	507	383	371	563	533	404	522	307	523	345	377	300	213	834	634	326	337	497									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15955	1160	1153	1212	1249	1324	379	221	299	483	358	205	271	482	372	346	537	506	385	510	298	501	325	361	286	203	809	625	325	310	460									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	196	45	8	21	0	0	0	10	0	0	0	5	0	8	0	8	3	0	9	0	0	0	10	8	0	10	3	0	0	20	28									
6	Число погашенных избирательных бюллетеней	833	108	71	96	121	134	11	5	13	27	3	7	9	17	11	17	23	27	10	12	9	22	10	8	14	0	22	9	1	7	9									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	195	45	8	21	0	0	0	10	0	0	0	5	0	8	0	8	3	0	9	0	0	0	10	8	0	10	3	0	0	20	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15955	1160	1153	1212	1249	1324	379	221	299	483	358	205	271	482	372	346	537	506	385	510	298	501	325	361	286	203	809	625	325	310	460									
9	Число недействительных избирательных бюллетеней	26	3	6	2	2	2	0	0	0	1	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0									
10	Число действительных избирательных бюллетеней	16124	1202	1155	1231	1247	1322	379	231	299	482	358	210	271	489	372	354	540	506	387	510	298	501	335	369	286	213	810	625	325	330	487									
