Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Анжеро-Судженская городская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60					
1	"Число избирателей, внесенных в списки"	65994	939	774	1124	897	1052	1538	1586	1502	1007	1701	1281	1547	1083	796	952	1059	721	1085	1180	1594	989	1594	1386	1976	1377	776	761	1276	399	613	704	762	836	1283	904	1277	936	796	886	795	854	761	923	1052	311	976	1065	1550	655	345	1766	1398	1490	1550	1390	1697	1683	498	1136	1150					
2	"Число бюллетеней, полученных участковыми комиссиями"	60050	850	650	1000	850	950	1350	1450	1450	950	1550	1150	1400	950	750	850	1000	600	950	1150	1500	950	1450	1250	1850	1300	700	700	950	350	550	650	650	750	1200	850	1250	850	750	750	800	750	650	850	950	250	850	1000	1400	600	300	1650	1300	1400	1500	1250	1550	1600	450	950	900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	31908	460	351	591	391	462	674	904	660	416	848	594	797	485	399	482	579	333	413	582	818	488	652	702	929	669	446	344	514	141	294	391	391	338	587	427	588	524	363	340	215	448	369	419	520	144	443	502	829	311	213	921	733	731	880	573	1031	898	267	512	582					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3644	30	57	73	68	43	36	47	43	108	34	35	51	65	41	93	46	49	58	39	96	31	69	68	35	39	51	80	251	33	39	30	37	76	86	71	101	47	42	28	38	57	41	101	55	30	91	78	96	59	34	50	71	78	64	42	54	34	38	150	57					
6	Число погашенных бюллетеней	24497	360	242	336	391	445	640	499	747	426	668	521	552	400	310	275	375	218	479	529	586	431	729	480	886	592	203	276	185	176	217	229	222	336	527	352	561	279	345	381	547	245	240	330	375	76	316	420	475	230	53	679	496	591	556	635	465	668	145	288	261					
7	Число бюллетеней в переносных ящиках для голосования	3643	30	57	73	68	43	36	47	43	108	34	35	51	65	41	93	46	49	58	39	96	31	69	68	35	39	51	80	251	33	39	30	37	76	86	71	101	47	42	28	38	57	41	101	55	30	90	78	96	59	34	50	71	78	64	42	54	34	38	150	57					
8	Число бюллетеней в стационарных ящиках для голосования	31901	460	351	591	391	462	674	902	660	416	848	594	797	484	399	482	579	333	413	582	818	488	652	701	929	669	446	344	513	141	294	390	391	338	587	427	588	524	363	340	215	448	369	419	520	144	443	502	829	311	213	921	732	731	880	573	1031	898	267	512	582					
9	Число недействительных бюллетеней	430	6	5	21	7	0	7	7	9	4	17	6	18	2	4	9	5	8	5	4	6	8	5	4	11	5	5	6	8	0	2	4	7	4	3	8	6	6	8	7	2	2	8	7	13	2	6	3	15	10	2	12	15	4	9	6	23	22	4	1	7					
10	Число действительных бюллетеней	35114	484	403	643	452	505	703	942	694	520	865	623	830	547	436	566	620	374	466	617	908	511	716	765	953	703	492	418	756	174	331	416	421	410	670	490	683	565	397	361	251	503	402	513	562	172	527	577	910	360	245	959	788	805	935	609	1062	910	301	661	632					
