Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
Наименование Избирательной комиссии:    Подольская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277					
1	"Число избирателей, внесенных в список избирателей"	67566	2496	2543	2019	2645	2061	2514	2272	1353	2480	649	1259	2326	678	2786	2319	2235	503	927	1018	1683	1981	1967	2023	2543	1444	1949	1834	1937	2854	1403	2408	2129	303	1916	1266	2843					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65450	2500	2500	2000	2600	2000	2500	2100	1300	2500	600	1400	2200	600	2700	2300	2300	500	1000	1000	1700	1900	1900	2000	2500	1300	1900	1800	1800	2500	1100	2300	2000	450	1800	1200	2700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36722	1166	1044	861	1241	1158	1444	1334	851	1413	339	1207	1158	412	1682	1442	1103	284	519	528	914	960	930	1217	1295	810	1052	1073	1113	1555	736	1193	1113	272	1035	558	1710					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2007	22	46	25	11	47	64	102	8	59	111	0	88	49	63	75	175	54	63	93	24	22	44	124	50	47	25	31	59	131	7	99	18	31	37	34	69					
6	Число погашенных избирательных бюллетеней	26721	1312	1410	1114	1348	795	992	664	441	1028	150	193	954	139	955	783	1022	162	418	379	762	918	926	659	1155	443	823	696	628	814	357	1008	869	147	728	608	921					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2006	22	46	25	11	45	64	102	8	59	112	0	88	49	63	75	175	54	63	93	24	22	44	124	50	47	25	31	59	131	7	99	18	31	37	34	69					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36666	1166	998	861	1241	1157	1444	1334	843	1413	338	1207	1346	412	1682	1367	1103	281	519	530	914	960	930	1207	1295	809	1052	1073	1012	1555	736	1193	1113	272	1035	558	1710					
9	Число недействительных избирательных бюллетеней	1230	34	26	27	50	51	59	36	20	50	9	27	52	12	57	34	39	11	29	21	18	28	31	50	66	13	37	37	39	55	10	35	54	18	33	17	45					
10	Число действительных избирательных бюллетеней	37442	1154	1018	859	1202	1151	1449	1400	831	1422	441	1180	1382	449	1688	1408	1239	324	553	602	920	954	943	1281	1279	843	1040	1067	1032	1631	733	1257	1077	285	1039	575	1734					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1289	30	70	30	30	30	40	40	50	50	30	30	30	30	35	50	40	30	30	30	34	30	30	50	30	30	30	40	30	40	30	30	40	30	30	30	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	949	20	54	23	28	20	34	40	46	48	3	24	15	3	31	44	38	7	23	10	34	19	16	36	30	24	16	32	23	35	21	25	37	12	24	9	45					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1071	23	7	16	19	20	33	66	27	23	7	6	42	28	61	32	15	29	19	29	10	40	57	54	14	8	15	32	18	167	41	8	24	12	35	6	28					
14	Число погашенных неиспользованных открепительных удостоверений	340	10	16	7	2	10	6	0	4	2	27	6	15	27	4	6	2	23	7	20	0	11	14	14	0	6	14	8	7	5	9	5	3	18	6	21	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
