Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    ТИК города Сальска и Сальского района																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562					
1	"Число избирателей, внесенных в списки"	86532	2518	1572	2716	2521	2847	2717	2293	2411	2580	2378	2263	2913	1981	2041	2231	1666	1891	2867	2856	1228	2821	293	1439	642	1264	852	1150	1536	683	2491	873	746	542	763	1525	1590	1060	267	1660	406	742	1490	401	641	580	939	2102	1846	1815	2361	627	644	412	472	123	277	254	687	466	560					
2	"Число бюллетеней, полученных участковыми комиссиями"	69218	2000	1256	2177	1975	2277	2230	1846	1932	2042	1906	1791	2305	1603	1638	1786	1330	1709	2279	2265	978	2276	300	1134	519	1010	681	935	1237	530	1977	695	603	422	620	1237	1282	851	212	1324	353	594	1223	355	510	468	750	1578	1413	1408	1826	503	510	328	381	96	217	204	535	362	434					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	41061	1185	668	1226	1154	1245	1179	837	1053	1202	1241	902	1236	956	732	1036	756	694	1241	1169	361	1061	148	901	447	643	439	643	664	353	1388	483	442	302	459	892	753	534	160	930	171	433	734	271	468	369	513	887	813	930	1083	498	365	232	276	88	190	136	348	272	269					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3986	81	61	54	161	73	70	103	78	72	50	80	50	50	74	38	47	97	60	76	163	93	114	37	29	16	31	158	203	78	170	36	39	76	64	134	43	45	14	92	38	52	47	27	21	32	97	107	77	131	95	4	13	0	0	3	14	32	82	54	50					
6	Число погашенных бюллетеней	24171	734	527	897	660	959	981	906	801	768	615	809	1019	597	832	712	527	918	978	1020	454	1122	38	196	43	351	211	134	370	99	419	176	122	44	97	211	486	272	38	302	144	109	442	57	21	67	140	584	523	347	648	1	132	96	105	5	13	36	105	36	115					
7	Число бюллетеней в переносных ящиках для голосования	3986	81	61	54	161	73	70	103	78	72	50	80	50	50	74	38	47	97	60	76	163	93	114	37	29	16	31	158	203	78	170	36	39	76	64	134	43	45	14	92	38	52	47	27	21	32	97	107	77	131	95	4	13	0	0	3	14	32	82	54	50					
8	Число бюллетеней в стационарных ящиках для голосования	41051	1185	668	1226	1154	1245	1179	837	1053	1202	1241	902	1236	955	731	1036	756	694	1239	1169	361	1059	148	897	447	643	439	643	664	353	1388	483	442	302	459	892	753	534	160	930	171	433	734	271	468	369	513	887	813	930	1083	498	365	232	276	88	190	136	348	272	269					
9	Число недействительных бюллетеней	576	11	7	14	6	7	17	13	10	15	23	13	3	14	3	19	7	10	20	20	5	15	5	10	6	8	5	19	9	9	23	5	7	5	4	0	14	12	2	32	2	12	18	13	2	10	0	13	7	13	14	7	7	7	3	0	1	0	5	6	9					
10	Число действительных бюллетеней	44461	1255	722	1266	1309	1311	1232	927	1121	1259	1268	969	1283	991	802	1055	796	781	1279	1225	519	1137	257	924	470	651	465	782	858	422	1535	514	474	373	519	1026	782	567	172	990	207	473	763	285	487	391	610	981	883	1048	1164	495	371	225	273	91	203	168	425	320	310					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1285	30	20	30	30	30	30	30	30	30	50	30	30	30	30	30	20	20	30	30	20	30	0	20	15	20	15	20	20	15	30	15	15	15	15	20	20	20	15	20	15	15	20	15	15	15	20	30	20	20	30	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	394	6	7	10	13	12	24	9	23	12	34	16	24	18	13	15	16	15	12	11	7	14	0	4	1	2	5	1	2	0	4	0	1	0	0	2	3	2	1	6	0	3	5	2	1	0	4	13	5	6	7	1	1	0	0	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	316	1	1	7	7	6	6	2	6	7	5	3	6	4	7	3	0	4	2	2	0	5	183	2	2	1	2	1	0	0	6	2	1	2	1	2	1	2	1	3	1	1	1	1	1	1	2	3	0	1	0	1	2	0	1	1	0	0	0	2	1					
14	Число погашенных открепительных удостоверений	891	24	13	20	17	18	6	21	7	18	16	14	6	12	17	15	4	5	18	19	13	16	0	16	14	18	10	19	18	15	26	15	14	15	15	18	17	18	14	14	15	12	15	13	14	15	16	17	15	14	23	14	14	15	15	14	15	15	15	15	15					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	615	16	9	17	19	11	7	13	0	8	9	6	6	5	6	4	1	4	14	11	11	7	2	9	10	10	5	29	17	11	31	7	5	7	9	8	11	14	5	23	4	9	15	11	5	5	7	10	21	22	15	4	13	3	2	1	13	3	21	15	19					
		1.36%	1.26%	1.23%	1.32%	1.44%	0.83%	0.56%	1.38%	0.0%	0.62%	0.69%	0.61%	0.46%	0.49%	0.74%	0.37%	0.12%	0.50%	1.07%	0.88%	2.09%	0.60%	0.76%	0.96%	2.10%	1.51%	1.06%	3.62%	1.96%	2.55%	1.98%	1.34%	1.03%	1.85%	1.72%	0.77%	1.38%	2.41%	2.87%	2.25%	1.91%	1.85%	1.92%	3.69%	1.02%	1.24%	1.14%	1.00%	2.35%	2.07%	1.27%	0.79%	3.43%	1.29%	0.72%	1.09%	6.37%	1.78%	4.88%	4.60%	5.95%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	434	12	8	6	49	8	18	9	15	12	22	9	14	13	11	11	4	10	16	13	1	14	1	4	2	5	2	3	9	0	16	3	7	1	2	8	4	6	2	9	0	4	7	3	4	0	0	11	8	7	9	1	3	2	1	0	1	2	4	4	4					
		0.96%	0.94%	1.09%	0.46%	3.72%	0.60%	1.44%	0.95%	1.32%	0.94%	1.70%	0.91%	1.08%	1.29%	1.36%	1.02%	0.49%	1.26%	1.23%	1.04%	0.19%	1.21%	0.38%	0.42%	0.42%	0.75%	0.42%	0.37%	1.03%	0.0%	1.02%	0.57%	1.45%	0.26%	0.38%	0.77%	0.50%	1.03%	1.14%	0.88%	0.0%	0.82%	0.89%	1.00%	0.81%	0.0%	0.0%	1.10%	0.89%	0.65%	0.76%	0.19%	0.79%	0.86%	0.36%	0.0%	0.49%	1.19%	0.93%	1.22%	1.25%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1394	38	15	29	93	36	50	53	43	39	55	38	37	78	36	59	51	33	82	42	10	55	11	8	3	16	10	23	20	6	31	9	15	6	2	13	16	13	7	39	18	4	11	0	7	10	9	31	8	21	24	2	4	6	1	0	1	3	2	8	4					
