Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Омская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358					
1	"Число избирателей, внесенных в список избирателей"	77015	1150	239	282	296	1668	1107	280	1247	957	1429	2246	798	2228	638	2876	1425	324	1408	1719	1078	2003	208	377	168	1626	1866	967	380	1821	2091	1806	1661	917	1333	1024	1654	496	2070	1103	1685	408	2811	946	428	312	1405	236	1518	300	1268	299	136	125	153	126	155	1187	200	305	1960	550	184	1933	165	1584	1590	1549	2430	404	1305	210	400	997	785					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73330	1100	210	270	280	1600	1100	280	1100	920	1400	2100	750	2200	650	2800	1350	300	1350	1550	1000	1900	200	370	160	1600	1800	850	400	2000	2000	1900	1250	850	1200	1000	1600	500	2000	1000	1700	400	2700	800	400	300	1400	220	1400	300	1250	290	130	120	160	200	150	1000	220	300	1850	500	180	1600	170	1600	1450	1450	2500	400	1100	200	400	900	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38099	488	127	89	229	793	466	131	542	380	503	1203	402	1160	310	1817	708	157	640	835	400	935	120	244	92	778	860	610	155	959	1086	817	715	358	578	454	808	265	1180	465	725	184	1314	482	168	175	684	104	942	181	596	159	74	77	95	111	77	462	112	214	919	267	83	1282	112	753	806	810	1021	184	806	124	195	554	388					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2234	26	2	9	9	73	71	26	29	36	46	45	32	41	32	81	92	7	8	11	13	135	12	23	8	67	108	13	20	26	16	32	29	21	36	23	16	16	26	11	86	79	45	12	20	10	51	19	56	14	101	27	11	9	7	15	10	25	17	0	17	26	6	59	1	11	8	16	25	8	48	11	14	37	6					
6	Число погашенных избирательных бюллетеней	32997	586	81	172	42	734	563	123	529	504	851	852	316	999	308	902	550	136	702	704	587	830	68	103	60	755	832	227	225	1015	898	1051	506	471	586	523	776	219	794	524	889	137	1341	306	212	115	665	97	402	105	553	104	45	34	58	74	63	513	91	86	914	207	91	259	57	836	636	624	1454	208	246	65	191	309	306					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2234	26	2	9	9	73	71	26	29	36	46	45	32	41	32	81	92	7	8	11	13	135	12	23	8	67	108	13	20	26	16	32	29	21	36	23	16	16	26	11	86	79	45	12	20	10	51	19	56	14	101	27	11	9	7	15	10	25	17	0	17	26	6	59	1	11	8	16	25	8	48	11	14	37	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38092	488	127	89	229	793	466	131	542	380	503	1203	402	1160	310	1817	708	157	640	834	400	935	120	244	92	778	860	610	155	959	1086	817	715	358	578	454	808	265	1180	465	725	184	1314	482	168	175	684	104	942	181	596	159	74	77	95	111	77	462	112	214	919	267	83	1282	112	753	804	806	1021	184	806	124	195	554	388					
9	Число недействительных избирательных бюллетеней	875	12	2	2	6	10	14	5	9	5	9	16	14	32	10	47	29	9	19	14	6	21	7	5	3	12	13	17	9	16	19	22	13	8	10	12	5	2	30	10	20	11	24	14	4	5	16	1	15	1	12	1	2	0	0	3	0	8	3	2	18	3	1	71	5	22	15	15	31	2	20	2	5	11	8					
10	Число действительных избирательных бюллетеней	39451	502	127	96	232	856	523	152	562	411	540	1232	420	1169	332	1851	771	155	629	831	407	1049	125	262	97	833	955	606	166	969	1083	827	731	371	604	465	819	279	1176	466	791	252	1335	480	184	180	719	122	983	194	685	185	83	86	102	123	87	479	126	212	918	290	88	1270	108	742	797	807	1015	190	834	133	204	580	386					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1115	20	2	2	1	20	20	2	16	5	10	111	35	80	20	30	8	3	20	20	20	20	3	3	1	15	15	11	3	20	20	10	15	10	10	10	14	15	30	9	15	3	30	30	3	3	15	4	25	10	15	3	3	3	3	3	3	10	3	3	30	10	2	25	2	30	25	25	35	5	11	2	7	15	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	807	20	2	1	0	20	17	0	15	5	10	49	16	70	9	25	6	0	20	13	10	16	0	3	0	5	14	7	2	13	17	7	15	8	8	9	14	5	18	9	14	2	26	22	2	0	8	3	21	2	7	3	0	0	0	2	0	6	1	2	27	7	2	14	1	29	21	17	35	1	11	2	3	13	25					
