Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																			
Дата голосования: 02.12.2007																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Омская																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385					
1	"Число избирателей, внесенных в списки избирателей"	72120	1154	296	196	266	1545	992	287	1220	188	1135	803	2129	2154	771	411	166	2733	1315	278	1473	1592	1054	152	363	198	1894	1554	1761	978	370	1929	2166	1752	1798	1154	863	838	1518	411	1975	938	1526	364	2679	808	233	176	293	1309	209	1345	285	1165	130	138	279	164	192	151	1099	196	252	1756	524	198	1888	161	1517	1487	1497	2213	378	196	1191	388	963					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	65455	1100	300	200	270	1500	900	290	1100	160	1100	700	1700	1900	700	390	150	2500	1200	270	1400	1500	1000	150	350	200	1700	1400	1700	800	320	1700	2000	1700	1600	900	800	700	1400	400	1800	900	1300	350	2300	800	220	160	300	1200	200	1200	280	1100	135	140	270	165	190	145	1000	200	250	1500	500	190	1500	140	1400	1400	1400	2000	350	170	1000	350	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	43158	655	254	126	107	1054	610	202	586	135	679	361	1262	1311	630	292	128	1995	802	160	911	918	526	107	293	158	1035	815	951	611	143	1139	1222	923	898	587	355	438	862	271	1066	453	877	239	1354	464	184	111	224	810	95	901	202	772	91	101	195	131	144	91	767	171	228	1000	313	153	1327	138	850	848	902	1191	230	154	863	272	734					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2402	41	13	0	17	91	62	43	66	20	61	22	52	36	27	25	5	56	77	20	12	12	14	3	15	11	112	73	68	16	21	43	28	29	36	30	16	26	31	21	36	31	68	61	46	15	13	0	12	74	26	51	9	81	15	13	21	15	13	7	30	9	0	64	33	4	50	0	15	14	25	47	13	8	85	10	37					
6	Число погашенных избирательных бюллетеней	19895	404	33	74	146	355	228	45	448	5	360	317	386	553	43	73	17	449	321	90	477	570	460	40	42	31	553	512	681	173	156	518	750	748	666	283	429	236	507	108	698	416	355	50	900	321	23	49	64	316	79	248	69	247	29	26	54	19	33	47	203	20	22	436	154	33	123	2	535	538	473	762	107	8	52	68	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2402	41	13	0	17	91	62	43	66	20	61	22	52	36	27	25	5	56	77	20	12	12	14	3	15	11	112	73	68	16	21	43	28	29	36	30	16	26	31	21	36	31	68	61	46	15	13	0	12	74	26	51	9	81	15	13	21	15	13	7	30	9	0	64	33	4	50	0	15	14	25	47	13	8	85	10	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43157	655	254	126	107	1054	610	202	586	135	679	361	1262	1311	630	292	128	1995	802	160	911	918	526	107	293	158	1035	815	951	611	143	1139	1222	923	898	587	355	438	862	271	1066	453	876	239	1354	464	184	111	224	810	95	901	202	772	91	101	195	131	144	91	767	171	228	1000	313	153	1327	138	850	848	902	1191	230	154	863	272	734					
9	Число недействительных избирательных бюллетеней	628	14	1	0	2	0	8	2	13	1	7	5	22	18	0	3	2	24	12	0	19	16	3	1	2	3	18	15	15	6	5	20	20	11	17	12	7	12	17	5	8	2	18	1	23	7	1	1	2	26	2	9	3	8	0	1	2	0	2	3	10	1	1	26	3	0	36	0	12	11	9	18	1	5	8	2	8					
10	Число действительных избирательных бюллетеней	44931	682	266	126	122	1145	664	243	639	154	733	378	1292	1329	657	314	131	2027	867	180	904	914	537	109	306	166	1129	873	1004	621	159	1162	1230	941	917	605	364	452	876	287	1094	482	926	299	1377	472	196	110	234	858	119	943	208	845	106	113	214	146	155	95	787	179	227	1038	343	157	1341	138	853	851	918	1220	242	157	940	280	763					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1400	20	10	10	10	20	15	5	20	10	20	15	20	20	20	10	10	40	20	10	30	20	20	10	10	10	30	30	30	20	10	25	25	25	40	20	20	20	30	15	25	15	25	10	48	25	2	3	10	25	10	20	10	30	10	10	10	10	10	10	30	10	10	30	15	10	25	10	30	20	30	42	10	10	25	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	690	19	0	1	0	13	11	4	13	1	2	3	20	20	20	5	2	16	10	2	9	9	10	1	2	1	11	17	12	8	2	17	8	14	7	9	5	9	15	7	14	9	20	2	41	12	0	0	3	7	1	13	1	11	1	0	1	6	0	0	9	8	9	21	4	4	25	0	13	11	20	40	6	4	11	8	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	670	3	0	0	3	4	8	3	5	4	7	1	9	18	7	4	3	9	9	3	1	10	2	0	7	0	6	30	11	130	1	10	6	7	10	1	4	3	8	4	13	1	12	5	16	9	3	0	1	9	6	11	1	7	0	1	1	0	1	1	5	6	5	8	1	2	17	1	4	3	17	10	6	5	12	14	105					
14	Число погашенных неиспользованных открепительных удостоверений	710	1	10	9	10	7	4	1	7	9	18	12	0	0	0	5	8	24	10	8	21	11	10	9	8	9	19	13	18	12	8	8	17	11	33	11	15	11	15	8	11	6	5	8	7	13	2	3	7	18	9	7	9	19	9	10	9	4	10	10	21	2	1	9	11	6	0	10	17	9	10	2	4	6	14	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																			
18	1.Политическая партия «Аграрная партия России»	1297	12	0	3	1	31	15	10	20	2	17	8	42	50	11	7	3	54	28	3	45	52	15	3	7	5	30	23	24	14	4	46	46	27	24	14	11	8	20	6	22	13	20	7	44	14	1	8	3	24	2	27	9	28	0	4	5	0	8	4	32	3	4	63	9	2	38	2	28	24	21	25	5	5	19	12	21					
		2.85%	1.72%	0.00%	2.38%	0.81%	2.71%	2.23%	4.08%	3.07%	1.29%	2.30%	2.09%	3.20%	3.71%	1.67%	2.21%	2.26%	2.63%	3.19%	1.67%	4.88%	5.59%	2.78%	2.73%	2.27%	2.96%	2.62%	2.59%	2.36%	2.23%	2.44%	3.89%	3.68%	2.84%	2.57%	2.27%	2.96%	1.72%	2.24%	2.05%	1.99%	2.69%	2.12%	2.33%	3.14%	2.92%	0.51%	7.21%	1.27%	2.71%	1.65%	2.84%	4.27%	3.28%	0.00%	3.51%	2.31%	0.00%	5.10%	4.08%	4.02%	1.67%	1.75%	5.92%	2.60%	1.27%	2.76%	1.45%	3.24%	2.78%	2.27%	2.02%	2.06%	3.09%	2.00%	4.26%	2.72%					
19	2.Всероссийская политическая партия «Гражданская Сила»	267	4	0	0	0	6	4	0	6	1	2	4	5	14	3	0	0	16	2	0	5	7	4	0	0	1	5	3	9	6	0	9	9	7	9	3	0	5	9	4	10	4	5	1	2	1	0	0	1	3	1	5	0	6	1	1	0	0	0	1	0	1	1	3	3	0	12	0	9	9	9	9	0	0	3	0	4					
		0.59%	0.57%	0.00%	0.00%	0.00%	0.52%	0.60%	0.00%	0.92%	0.65%	0.27%	1.04%	0.38%	1.04%	0.46%	0.00%	0.00%	0.78%	0.23%	0.00%	0.54%	0.75%	0.74%	0.00%	0.00%	0.59%	0.44%	0.34%	0.88%	0.96%	0.00%	0.76%	0.72%	0.74%	0.96%	0.49%	0.00%	1.08%	1.01%	1.37%	0.91%	0.83%	0.53%	0.33%	0.14%	0.21%	0.00%	0.00%	0.42%	0.34%	0.83%	0.53%	0.00%	0.70%	0.94%	0.88%	0.00%	0.00%	0.00%	1.02%	0.00%	0.56%	0.44%	0.28%	0.87%	0.00%	0.87%	0.00%	1.04%	1.04%	0.97%	0.73%	0.00%	0.00%	0.32%	0.00%	0.52%					
20	3.Политическая партия «Демократическая партия России»	99	0	1	0	0	0	2	2	2	0	1	0	4	3	0	3	0	3	3	0	4	2	1	0	0	0	2	2	2	1	0	2	1	0	0	2	1	1	2	1	2	0	1	0	7	1	0	4	0	2	0	2	1	1	1	1	2	1	0	0	0	0	2	3	1	0	0	0	2	3	1	5	1	2	3	2	0					
