Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Чебулинская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572					
1	"Число избирателей, внесенных в списки"	11891	1222	1784	959	137	61	535	102	521	491	433	538	342	1012	248	427	581	134	230	527	545	237	110	342	212	138	23					
2	"Число бюллетеней, полученных участковыми комиссиями"	11920	1288	1836	1000	139	58	513	98	494	490	428	515	322	1009	262	432	562	128	228	500	543	243	110	341	214	137	30					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9074	865	1110	528	120	58	462	83	461	434	387	420	299	805	159	343	459	121	214	418	410	214	108	281	170	124	21					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	812	35	236	65	12	0	46	3	29	20	9	55	9	52	13	19	70	5	6	37	34	19	0	15	14	9	0					
6	Число погашенных бюллетеней	2034	388	490	407	7	0	5	12	4	36	32	40	14	152	90	70	33	2	8	45	99	10	2	45	30	4	9					
7	Число бюллетеней в переносных ящиках для голосования	812	35	236	65	12	0	46	3	29	20	9	55	9	52	13	19	70	5	6	37	34	19	0	15	14	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	9061	864	1099	528	120	58	462	83	461	434	387	420	299	805	159	343	459	121	214	418	410	214	108	280	170	124	21					
9	Число недействительных бюллетеней	66	6	6	0	0	0	1	0	13	6	3	2	4	6	5	0	2	0	1	5	2	0	0	3	1	0	0					
10	Число действительных бюллетеней	9807	893	1329	593	132	58	507	86	477	448	393	473	304	851	167	362	527	126	219	450	442	233	108	292	183	133	21					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	193	33	70	33	3	0	3	0	3	3	3	3	3	5	2	3	6	0	3	4	4	3	0	2	2	2	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	98	29	32	15	0	0	3	0	0	1	0	2	3	4	0	1	4	0	1	0	2	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	2	6	1	2	3	5	0	1	3	3	8	5	4	2	3	6	2	3	5	2	4	4	1	6	1	0					
14	Число погашенных открепительных удостоверений	95	4	38	18	3	0	0	0	3	2	3	1	0	1	2	2	2	0	2	4	2	3	0	1	2	2	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	139	18	8	11	1	0	11	2	8	2	4	7	5	17	2	2	8	5	0	4	5	2	0	4	12	1	0					
		1.40%	2.00%	0.59%	1.85%	0.75%	0.0%	2.16%	2.32%	1.63%	0.44%	1.01%	1.47%	1.62%	1.98%	1.16%	0.55%	1.51%	3.96%	0.0%	0.87%	1.12%	0.85%	0.0%	1.35%	6.52%	0.75%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	36	3	8	8	0	2	1	0	0	0	1	1	1	3	0	0	2	0	0	1	2	0	2	0	0	1	0					
		0.36%	0.33%	0.59%	1.34%	0.0%	3.44%	0.19%	0.0%	0.0%	0.0%	0.25%	0.21%	0.32%	0.35%	0.0%	0.0%	0.37%	0.0%	0.0%	0.21%	0.45%	0.0%	1.85%	0.0%	0.0%	0.75%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	64	2	9	6	0	2	0	0	4	4	1	6	3	10	6	1	2	0	1	3	2	0	0	2	0	0	0					
		0.64%	0.22%	0.67%	1.01%	0.0%	3.44%	0.0%	0.0%	0.81%	0.88%	0.25%	1.26%	0.97%	1.16%	3.48%	0.27%	0.37%	0.0%	0.45%	0.65%	0.45%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	78	12	13	13	1	0	0	0	7	1	1	1	2	2	2	2	5	1	0	4	7	0	0	0	2	0	2					
		0.79%	1.33%	0.97%	2.19%	0.75%	0.0%	0.0%	0.0%	1.42%	0.22%	0.25%	0.21%	0.64%	0.23%	1.16%	0.55%	0.94%	0.79%	0.0%	0.87%	1.57%	0.0%	0.0%	0.0%	1.08%	0.0%	9.52%					
22	"5. ""За Русь Святую"""	17	3	1	1	0	0	0	0	1	0	0	0	1	1	3	1	0	0	0	1	0	0	0	2	1	0	1					
		0.17%	0.33%	0.07%	0.16%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.32%	0.11%	1.74%	0.27%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.67%	0.54%	0.0%	4.76%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	3	4	1	0	0	0	1	0	1	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0					
		0.15%	0.33%	0.29%	0.16%	0.0%	0.0%	0.0%	1.16%	0.0%	0.22%	0.0%	0.0%	0.32%	0.23%	0.0%	0.0%	0.18%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	26	4	5	0	0	0	1	0	0	2	0	0	1	2	0	2	1	0	0	2	3	0	1	0	1	1	0					
		0.26%	0.44%	0.37%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.44%	0.0%	0.0%	0.32%	0.23%	0.0%	0.55%	0.18%	0.0%	0.0%	0.43%	0.67%	0.0%	0.92%	0.0%	0.54%	0.75%	0.0%					
