Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Артемовская городская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №380	УИК №381									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	84172	2593	2029	1686	2483	1053	1468	1350	1195	2497	1872	1345	1041	1465	1584	1806	1253	1779	1568	1164	1945	2100	1196	1517	1347	1131	1144	907	1970	1817	1513	2233	775	2337	1474	1694	1851	2021	477	1437	1264	1384	1679	1485	924	1489	2482	2286	1590	2086	679	720	272	1399	2065	228	23									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82260	2500	2000	1700	2500	1000	1400	1300	1200	2500	1800	1300	1000	1500	1500	1800	1200	1700	1500	1100	1900	2000	1100	1500	1300	1100	1100	850	1900	1800	1500	2200	750	2300	1400	1600	1850	2000	480	1400	1200	1300	1600	1400	900	1400	2400	2300	1500	2000	670	700	260	1300	2000	400	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34076	1096	676	551	586	641	424	557	266	847	830	446	462	857	519	975	665	390	416	666	770	1019	394	530	481	280	353	250	942	799	489	781	424	924	1092	531	759	644	164	619	680	454	794	904	257	1121	676	937	1205	568	236	340	114	509	915	228	23									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	935	21	12	9	7	13	77	20	31	19	12	3	6	5	5	5	8	8	26	18	22	6	10	86	22	6	41	7	7	43	22	39	2	6	10	16	5	1	13	32	10	8	64	9	8	2	10	11	17	19	7	32	17	6	14	0	0									
6	Число погашенных избирательных бюллетеней	47249	1383	1312	1140	1907	346	899	723	903	1634	958	851	532	638	976	820	527	1302	1058	416	1108	975	696	884	797	814	706	593	951	958	989	1380	324	1370	298	1053	1086	1355	303	749	510	838	742	487	635	277	1714	1352	278	1413	427	328	129	785	1071	172	377									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	935	21	12	9	7	13	77	20	31	19	12	3	6	5	5	5	8	8	26	18	22	6	10	86	22	6	41	7	7	43	22	39	2	6	10	16	5	1	13	32	10	8	64	9	8	2	10	11	17	19	7	32	17	6	14	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34012	1096	648	551	586	641	424	557	266	847	818	446	462	857	519	975	665	390	416	666	748	1019	393	529	481	280	353	250	942	799	489	781	424	924	1092	531	759	644	164	619	680	454	794	904	257	1121	676	937	1205	568	236	340	114	509	915	228	23									
9	Число недействительных избирательных бюллетеней	857	25	18	18	26	0	6	11	9	24	72	0	0	8	13	14	19	13	13	11	13	5	13	12	16	6	4	17	16	16	11	4	15	3	10	2	43	24	0	0	25	21	15	12	21	8	14	111	15	19	5	2	8	12	39	0	0									
10	Число действительных избирательных бюллетеней	34090	1092	642	542	567	654	495	566	288	842	758	449	468	854	511	966	654	385	429	673	757	1020	390	603	487	280	390	240	933	826	500	816	411	927	1092	545	721	621	177	651	665	441	843	901	244	1115	672	837	1207	568	238	370	123	503	890	228	23									
