Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
Наименование Избирательной комиссии:    Пермская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762					
1	"Число избирателей, внесенных в список избирателей"	79816	2518	448	426	2559	1956	2175	2920	949	833	483	663	159	169	1591	2455	978	1380	1390	1470	571	34	2233	1984	542	408	582	272	328	1920	3019	271	1174	997	2072	2258	119	790	1974	613	1010	340	2308	710	1150	375	1606	367	1703	1464	1473	2577	883	2113	2500	2525	1582	1415	1191	1235	1348	1480	778					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78230	2500	400	400	2500	2000	2000	2900	900	800	400	650	150	300	1500	2400	900	1400	1400	1500	500	500	2000	1900	500	400	600	280	300	1900	2800	260	1200	1000	2000	2200	110	700	2000	600	1350	330	2300	700	1100	350	1600	350	1700	1400	1400	2400	800	2000	2500	2500	1500	1400	1200	1200	1300	1400	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	160	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	34583	1085	180	78	1211	896	962	1231	425	301	193	257	79	68	519	1596	531	512	596	613	172	34	941	783	203	171	170	100	102	836	1566	237	549	325	824	753	45	313	1037	187	332	208	1015	312	526	142	1043	174	767	665	449	841	423	918	1268	1233	564	514	674	472	545	494	323					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4772	191	24	134	36	19	220	48	34	18	68	47	17	28	93	24	55	67	50	84	133	0	94	28	42	29	162	22	30	70	260	16	23	109	180	195	13	169	50	63	3	16	20	17	23	55	98	28	50	13	184	219	80	175	65	113	80	130	84	113	80	91	90					
6	Число погашенных избирательных бюллетеней	38347	1224	196	188	1253	1085	818	1621	441	481	139	346	54	54	888	780	314	821	754	803	195	466	965	1089	255	200	268	158	168	994	974	7	628	566	996	1252	52	218	913	150	1015	106	1265	371	551	153	459	148	883	722	767	1340	297	907	1167	1154	838	756	442	615	675	655	287					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5150	191	24	134	36	19	220	48	34	18	68	47	17	28	93	24	55	67	50	84	133	0	94	28	42	29	162	22	30	70	260	16	23	109	180	195	13	169	50	263	3	16	20	17	23	55	98	28	50	13	184	219	80	175	65	113	98	130	84	113	80	251	90					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34576	1085	180	78	1210	896	962	1231	425	301	193	257	79	68	519	1596	531	512	596	613	172	34	941	783	203	171	170	100	102	836	1566	237	549	325	824	753	45	313	1037	187	332	208	1015	312	526	142	1043	174	767	665	449	841	423	913	1267	1233	564	514	674	472	545	494	323					
9	Число недействительных избирательных бюллетеней	845	31	7	5	13	24	24	42	15	10	2	6	2	0	11	7	15	19	10	14	5	0	16	16	18	5	1	1	0	21	28	8	7	11	21	20	2	3	21	39	3	1	25	7	32	6	30	4	20	13	21	26	8	8	23	29	16	8	7	8	16	21	13					
10	Число действительных избирательных бюллетеней	38881	1245	197	207	1233	891	1158	1237	444	309	259	298	94	96	601	1613	571	560	636	683	300	34	1019	795	227	195	331	121	132	885	1798	245	565	423	983	928	56	479	1066	411	332	223	1010	322	517	191	1111	198	797	665	612	1034	495	1080	1309	1317	646	636	751	577	609	724	400					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	931	30	3	10	63	29	43	35	4	10	10	10	3	10	24	62	5	9	10	16	2	0	27	12	5	7	15	10	0	20	32	2	15	10	20	30	10	10	20	1	0	1	27	6	8	5	46	5	17	11	9	25	15	35	19	18	10	5	7	7	6	9	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	807	30	3	0	62	29	43	26	2	8	6	1	1	0	24	62	5	9	10	16	0	0	25	12	4	7	15	10	0	20	32	2	7	9	14	14	1	10	20	0	0	0	27	6	7	5	25	5	17	11	9	25	15	35	19	15	8	5	7	7	6	9	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	860	8	5	0	19	6	32	13	2	2	34	3	2	2	10	19	20	7	6	6	2	34	16	11	5	2	6	1	0	9	41	4	15	13	8	8	2	10	6	0	205	2	17	6	8	12	0	12	26	7	3	10	23	37	30	30	7	4	4	12	6	4	6					
14	Число погашенных неиспользованных открепительных удостоверений	114	0	0	10	1	0	0	9	2	2	4	9	2	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	8	1	6	16	9	0	0	1	0	1	0	0	1	0	21	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	150	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5553	235	25	47	186	111	133	155	60	27	33	29	9	6	69	177	81	82	81	100	24	3	147	102	20	20	37	9	14	91	225	13	82	105	155	122	6	74	140	40	75	40	136	58	58	33	108	37	163	113	88	117	112	124	167	150	82	134	206	159	140	131	47					
		13.98%	18.42%	12.25%	22.17%	14.93%	12.13%	11.25%	12.12%	13.07%	8.46%	12.64%	9.54%	9.38%	6.25%	11.27%	10.93%	13.82%	14.16%	12.54%	14.35%	7.87%	8.82%	14.20%	12.58%	8.16%	10.00%	11.14%	7.38%	10.61%	10.04%	12.32%	5.14%	14.34%	24.19%	15.44%	12.87%	10.34%	15.35%	12.88%	8.89%	22.39%	17.86%	13.14%	17.63%	10.56%	16.75%	9.47%	18.32%	19.95%	16.67%	13.90%	11.04%	22.27%	11.40%	12.54%	11.14%	12.39%	20.81%	27.18%	27.18%	22.40%	17.58%	11.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7118	207	39	28	257	193	288	281	98	98	52	59	14	29	111	216	37	82	98	114	54	9	211	187	17	51	62	30	27	160	241	25	109	77	161	167	8	59	198	33	44	31	192	76	119	31	239	27	158	158	128	173	71	130	242	252	136	159	132	94	134	148	57					
		17.92%	16.22%	19.12%	13.21%	20.63%	21.09%	24.37%	21.97%	21.35%	30.72%	19.92%	19.41%	14.58%	30.21%	18.14%	13.33%	6.31%	14.16%	15.17%	16.36%	17.70%	26.47%	20.39%	23.06%	6.94%	25.50%	18.67%	24.59%	20.45%	17.66%	13.20%	9.88%	19.06%	17.74%	16.04%	17.62%	13.79%	12.24%	18.22%	7.33%	13.13%	13.84%	18.55%	23.10%	21.68%	15.74%	20.95%	13.37%	19.34%	23.30%	20.22%	16.32%	14.12%	11.95%	18.17%	18.72%	20.54%	24.69%	17.41%	16.07%	21.44%	19.87%	13.80%					
