Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Новокубанская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260					
1	"Число избирателей, внесенных в список избирателей"	65321	198	277	2164	1864	2383	413	104	1135	554	201	435	559	634	298	485	229	1549	1703	1547	1519	1473	1792	1690	1635	856	934	2057	1261	1704	1614	2421	971	1785	876	1194	336	287	1947	1660	2035	260	418	108	290	159	872	2632	406	675	1186	1136	1439	1446	1147	1070	880	204	1375	2001	838					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65920	200	300	2200	1900	2400	400	120	1150	550	200	450	575	650	300	500	220	1600	1700	1550	1500	1500	1900	1700	1600	850	900	2100	1250	1700	1600	2300	1000	1800	850	1200	350	300	2000	1700	2100	265	415	110	300	160	900	2600	400	700	1200	1150	1450	1450	1200	1100	900	205	1400	2000	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	44473	180	208	1653	1450	2027	316	102	867	435	171	266	364	536	270	424	160	881	950	756	773	831	1461	967	961	486	691	1185	1014	899	994	1607	646	1013	510	956	237	200	959	969	1477	234	362	101	234	148	634	2070	343	424	821	906	808	721	699	536	684	189	1128	1800	779					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5299	9	53	177	70	173	50	2	52	43	6	58	89	17	14	0	16	78	81	174	102	65	304	152	278	113	52	208	84	194	172	134	72	370	120	77	48	24	92	99	62	4	0	5	18	10	64	48	20	60	53	63	57	167	165	434	57	5	23	47	15					
6	Число погашенных избирательных бюллетеней	16148	11	39	370	380	200	34	16	231	72	23	126	122	97	16	76	44	641	669	620	625	604	135	581	361	251	157	707	152	607	434	559	282	417	220	167	65	76	949	632	561	27	53	4	48	2	202	482	37	216	326	181	585	562	336	130	159	11	249	153	56					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5299	9	53	177	70	173	50	2	52	43	6	58	89	17	14	0	16	78	81	174	102	65	304	152	278	113	52	208	84	194	172	134	72	370	120	77	48	24	92	99	62	4	0	5	18	10	64	48	20	60	53	63	57	167	165	434	57	5	23	47	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44462	180	206	1653	1450	2027	316	102	867	435	171	266	364	536	270	424	160	881	950	756	773	829	1457	967	961	486	689	1185	1014	899	994	1606	646	1013	510	956	237	200	959	969	1477	234	362	101	234	148	634	2070	343	424	821	906	808	721	699	536	684	189	1128	1800	779					
9	Число недействительных избирательных бюллетеней	1087	2	2	10	6	31	4	2	15	5	7	6	10	86	21	25	19	15	19	10	20	9	16	0	14	8	8	14	119	9	11	15	4	16	4	38	3	21	39	37	38	10	7	0	3	1	10	33	3	14	17	6	13	21	20	0	17	1	65	100	8					
10	Число действительных избирательных бюллетеней	48674	187	257	1820	1514	2169	362	102	904	473	170	318	443	467	263	399	157	944	1012	920	855	885	1745	1119	1225	591	733	1379	979	1084	1155	1725	714	1367	626	995	282	203	1012	1031	1501	228	355	106	249	157	688	2085	360	470	857	963	852	867	844	970	724	193	1086	1747	786					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	483	1	1	15	20	30	1	1	15	1	1	3	5	10	1	5	1	25	20	15	15	20	15	11	29	5	5	20	14	26	12	15	3	10	2	3	3	5	5	10	16	5	2	4	1	5	3	13	1	1	1	2	4	5	1	5	5	1	3	5	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	483	1	1	15	20	30	1	1	15	1	1	3	5	10	1	5	1	25	20	15	15	20	15	11	29	5	5	20	14	26	12	15	3	10	2	3	3	5	5	10	16	5	2	4	1	5	3	13	1	1	1	2	4	5	1	5	5	1	3	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	172	4	0	5	1	2	1	0	7	3	3	1	1	10	1	4	2	2	2	2	11	0	6	2	6	3	6	6	9	7	10	3	3	2	0	5	2	1	4	2	5	0	1	0	0	0	1	3	2	2	3	3	5	0	0	0	0	0	0	8	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	1	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4256	15	11	172	130	173	22	3	89	50	11	20	41	34	15	36	11	128	123	96	112	107	170	14	117	81	57	84	104	95	118	190	73	154	78	101	5	18	143	109	83	14	21	2	14	12	53	194	20	40	34	78	102	24	65	13	30	3	89	187	68					
