Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Венгеровская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №1110	УИК №1114	УИК №1129									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15587	1102	1099	1112	503	81	235	458	264	140	150	498	290	140	589	227	242	72	296	491	83	195	430	310	93	541	562	159	253	326	104	70	212	65	81	494	224	113	346	75	1082	1132	112	298	238									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14071	792	790	783	506	86	233	475	266	137	150	499	288	142	593	225	246	75	300	496	84	192	434	320	95	549	570	156	253	327	102	75	210	63	81	504	226	111	341	75	766	801	111	301	242									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6019	345	388	386	182	50	81	194	118	56	80	168	124	59	197	80	78	46	177	208	45	109	225	147	44	206	214	54	106	146	45	21	90	47	55	228	72	57	165	35	282	381	55	94	79									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	897	38	64	21	36	6	25	22	14	7	3	47	35	23	57	21	8	2	10	20	0	9	12	40	6	50	20	7	14	24	4	4	20	0	0	63	25	3	16	7	28	60	7	14	5									
6	Число погашенных избирательных бюллетеней	7155	409	338	376	288	30	127	259	134	74	67	284	129	60	339	124	160	27	113	268	39	74	197	133	45	293	336	95	133	157	53	50	100	16	26	213	129	51	160	33	456	360	49	193	158									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	897	38	64	21	36	6	25	22	14	7	3	47	35	23	57	21	8	2	10	20	0	9	12	40	6	50	20	7	14	24	4	4	20	0	0	63	25	3	16	7	28	60	7	14	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6017	345	388	386	182	50	81	194	118	56	80	168	124	59	197	80	78	46	177	208	45	109	224	147	44	206	214	54	106	146	45	21	90	47	55	228	71	57	165	35	282	381	55	94	79									
9	Число недействительных избирательных бюллетеней	189	10	12	7	8	0	1	5	5	0	0	8	11	2	4	0	4	0	5	4	2	8	11	6	0	4	10	1	1	7	2	3	2	1	4	6	2	4	7	2	5	7	2	0	6									
10	Число действительных избирательных бюллетеней	6725	373	440	400	210	56	105	211	127	63	83	207	148	80	250	101	82	48	182	224	43	110	225	181	50	252	224	60	119	163	47	22	108	46	51	285	94	56	174	40	305	434	60	108	78									
