Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
Наименование Избирательной комиссии:    Шумячская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766					
1	"Число избирателей, внесенных в списки избирателей"	10947	2160	1971	692	253	264	244	324	148	241	1982	525	245	416	638	161	369	314					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10853	2110	1947	683	249	261	241	324	147	244	1998	513	243	419	642	158	362	312					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4934	1018	881	225	122	91	114	160	68	101	964	289	111	215	237	71	165	102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1070	32	63	136	48	41	55	64	17	63	31	127	38	88	83	34	82	68					
6	Число погашенных избирательных бюллетеней	4849	1060	1003	322	79	129	72	100	62	80	1003	97	94	116	322	53	115	142					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1070	32	63	136	48	41	55	64	17	63	31	127	38	88	83	34	82	68					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4933	1018	881	225	122	91	114	160	68	101	963	289	111	215	237	71	165	102					
9	Число недействительных избирательных бюллетеней	86	22	14	1	6	3	2	3	3	0	8	8	0	1	2	2	9	2					
10	Число действительных избирательных бюллетеней	5917	1028	930	360	164	129	167	221	82	164	986	408	149	302	318	103	238	168					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	340	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	63	19	17	0	2	1	0	4	0	1	14	1	0	0	3	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	65	10	11	1	7	2	3	4	3	2	4	4	1	3	2	4	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	277	1	3	20	18	19	20	16	20	19	6	19	20	20	17	20	19	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
