7	Число избирательных бюллетеней в переносных ящиках для голосования	2557	7	14	266	38	38	48	28	52	178	36	43	61	66	33	16	24	28	24	48	12	5	27	35	9	32	29	0	9	3	14	34	34	28	28	20	31	0	37	44	57	25	22	18	6	50	28	35	42	47	36	31	29	34	32	10	28	18	19	7	28	79	40	73	17	51	28	9	20	19	13	102	0	0	0	0	0	0	0	0	0	0	24	0	1	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	71492	1206	1298	823	838	920	1038	461	965	1140	1385	1083	1272	778	783	481	922	1299	1138	962	799	409	508	1115	619	580	1246	133	271	317	1381	1249	1272	1284	1191	927	1286	139	1239	1281	1125	1169	1216	1354	1159	789	1181	975	918	1102	1165	1131	1165	992	896	485	1106	930	896	975	1347	1172	926	1069	1173	971	1032	1250	1310	705	722	510	212	64	205	114	64	121	111	88	100	171	91	319	316	232	147	183					
9	Число недействительных избирательных бюллетеней	1017	18	21	14	12	13	12	2	9	15	19	20	17	11	20	6	13	13	16	20	12	6	7	14	7	7	19	3	4	3	18	21	20	30	24	17	16	0	17	18	9	21	17	21	10	12	13	13	11	17	13	20	12	13	8	7	23	15	16	12	15	19	18	16	19	15	22	16	16	11	6	2	1	0	1	0	1	1	1	0	1	0	3	4	7	1	4	0					
10	Число действительных избирательных бюллетеней	73032	1195	1291	1075	864	945	1074	487	1008	1303	1402	1106	1316	833	796	491	933	1314	1146	990	799	408	528	1136	621	605	1256	130	276	317	1377	1262	1286	1282	1195	930	1301	139	1259	1307	1173	1173	1221	1351	1155	827	1196	997	949	1132	1188	1142	1182	1013	920	488	1111	933	899	970	1360	1232	948	1126	1171	1007	1038	1243	1314	713	729	610	211	64	204	114	63	120	110	88	99	171	112	315	310	231	143	183					
11	Число полученных открепительных  удостоверений	659	15	7	10	7	3	10	4	4	15	10	11	8	8	6	3	22	6	3	8	6	3	3	12	8	5	21	4	3	4	15	11	10	13	10	6	15	2	10	15	15	15	10	15	9	5	4	20	6	9	10	4	7	7	5	3	5	10	4	10	21	15	9	8	6	15	10	9	13	9	4	3	0	0	0	0	0	0	0	0	0	10	3	3	3	4	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	478	15	7	2	6	2	2	2	4	8	10	10	3	8	5	3	19	3	2	8	3	2	0	8	5	4	18	3	2	0	11	8	10	9	8	2	13	0	9	10	8	10	7	9	8	3	4	18	6	7	6	3	5	7	3	0	3	3	4	8	14	15	9	6	4	12	10	9	11	4	2	1	0	0	0	0	0	0	0	0	0	10	0	0	3	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	450	5	13	8	8	1	7	1	0	5	5	6	4	6	4	3	4	31	3	5	9	3	4	10	2	6	4	1	0	1	8	5	0	9	15	7	10	1	9	5	7	2	5	6	5	4	2	7	2	23	3	11	9	9	7	6	5	1	3	6	12	9	6	4	7	7	3	4	11	1	4	5	0	0	6	1	2	1	0	0	0	2	3	5	5	0	0	1					
14	Число неиспользованных открепительных удостоверений	181	0	0	8	1	1	8	2	0	7	0	1	5	0	1	0	3	3	1	0	3	1	3	4	3	1	3	1	1	4	4	3	0	4	2	4	2	2	1	5	7	5	3	6	1	2	0	2	0	2	4	1	2	0	2	3	2	7	0	2	7	0	0	2	2	3	0	0	2	5	2	2	0	0	0	0	0	0	0	0	0	0	3	3	0	2	2	3					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	73	0	1	1	0	0	0	0	0	1	0	1	4	6	0	0	0	3	0	0	0	0	3	1	0	3	3	0	0	0	3	0	0	1	1	0	0	0	0	0	3	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	2	0	12	0	0	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																														
18	Богданов Андрей Владимирович	1307	15	17	20	12	14	24	6	19	21	31	21	21	12	14	6	18	21	19	36	14	8	11	15	8	10	23	4	6	4	21	16	17	29	25	18	23	4	27	38	22	27	28	28	29	12	16	13	24	21	27	20	20	15	19	6	16	17	10	18	19	20	19	6	26	18	18	18	30	12	15	9	5	1	2	0	2	1	3	1	0	1	3	5	2	6	1	8					
		1.77%	1.24%	1.30%	1.84%	1.37%	1.46%	2.21%	1.23%	1.87%	1.59%	2.18%	1.87%	1.58%	1.42%	1.72%	1.21%	1.90%	1.58%	1.64%	3.56%	1.73%	1.93%	2.06%	1.30%	1.27%	1.63%	1.80%	3.01%	2.14%	1.25%	1.51%	1.25%	1.30%	2.21%	2.05%	1.90%	1.75%	2.88%	2.12%	2.87%	1.86%	2.26%	2.26%	2.04%	2.49%	1.43%	1.32%	1.29%	2.50%	1.83%	2.25%	1.72%	1.68%	1.46%	2.05%	1.21%	1.41%	1.79%	1.09%	1.83%	1.38%	1.60%	1.97%	0.53%	2.18%	1.76%	1.70%	1.43%	2.26%	1.66%	2.04%	1.47%	2.36%	1.56%	0.98%	0.00%	3.13%	0.83%	2.70%	1.14%	0.00%	0.58%	2.61%	1.57%	0.63%	2.59%	0.68%	4.37%					
19	Жириновский Владимир Вольфович	9485	201	191	203	130	121	142	60	120	183	158	129	224	116	147	90	126	195	169	156	108	55	81	157	77	75	199	14	24	38	143	151	186	140	152	98	87	9	197	161	137	139	150	150	174	104	150	102	104	189	150	126	137	132	39	76	168	148	85	104	150	139	129	60	161	136	118	163	191	109	104	71	26	5	20	10	14	17	13	11	28	32	20	52	33	49	26	21					
		12.81%	16.57%	14.56%	18.64%	14.84%	12.63%	13.08%	12.27%	11.80%	13.88%	11.12%	11.46%	16.80%	13.74%	18.01%	18.11%	13.32%	14.69%	14.54%	15.45%	13.32%	13.29%	15.14%	13.65%	12.26%	12.25%	15.61%	10.53%	8.57%	11.88%	10.25%	11.77%	14.24%	10.67%	12.47%	10.35%	6.61%	6.47%	15.44%	12.15%	11.59%	11.64%	12.12%	10.93%	14.94%	12.40%	12.41%	10.10%	10.83%	16.45%	12.49%	10.84%	11.47%	12.87%	4.20%	15.35%	14.81%	15.61%	9.29%	10.59%	10.91%	11.11%	13.35%	5.25%	13.53%	13.31%	11.13%	12.95%	14.36%	15.06%	14.15%	11.60%	12.26%	7.81%	9.76%	8.77%	21.88%	14.05%	11.71%	12.50%	28.00%	18.71%	17.39%	16.30%	10.41%	21.12%	17.69%	11.48%					
20	Зюганов Геннадий Андреевич	12472	105	158	119	136	150	203	84	182	195	253	198	143	78	109	49	130	221	231	156	131	64	98	223	114	86	210	14	55	49	218	235	250	221	217	198	280	18	258	266	248	192	225	218	180	181	246	197	179	177	253	218	223	174	172	79	133	137	157	163	279	157	194	215	239	180	213	239	247	121	121	118	22	15	32	19	6	12	27	6	16	12	9	28	39	22	13	14					
		16.84%	8.66%	12.04%	10.93%	15.53%	15.66%	18.69%	17.18%	17.90%	14.80%	17.80%	17.58%	10.73%	9.24%	13.36%	9.86%	13.74%	16.65%	19.88%	15.45%	16.15%	15.46%	18.32%	19.39%	18.15%	14.05%	16.47%	10.53%	19.64%	15.31%	15.63%	18.32%	19.14%	16.84%	17.80%	20.91%	21.26%	12.95%	20.22%	20.08%	20.98%	16.08%	18.17%	15.89%	15.45%	21.57%	20.35%	19.50%	18.65%	15.40%	21.07%	18.76%	18.68%	16.96%	18.53%	15.96%	11.73%	14.45%	17.16%	16.60%	20.29%	12.55%	20.08%	18.83%	20.08%	17.61%	20.09%	18.98%	18.57%	16.71%	16.46%	19.28%	10.38%	23.44%	15.61%	16.67%	9.38%	9.92%	24.32%	6.82%	16.00%	7.02%	7.83%	8.78%	12.30%	9.48%	8.84%	7.65%					
21	Медведев Дмитрий Анатольевич	49768	874	925	733	586	660	705	337	687	904	960	758	928	627	526	346	659	877	727	642	546	281	338	741	422	434	824	98	191	226	995	860	833	892	801	616	911	108	777	842	766	815	818	955	772	530	784	685	642	745	758	778	802	692	690	327	794	631	647	685	912	916	606	845	745	673	689	823	846	471	489	412	158	43	150	85	41	90	67	70	55	126	80	230	236	154	103	140					
		67.21%	72.05%	70.50%	67.31%	66.89%	68.89%	64.92%	68.92%	67.55%	68.59%	67.56%	67.32%	69.62%	74.29%	64.46%	69.62%	69.66%	66.09%	62.56%	63.56%	67.32%	67.87%	63.18%	64.43%	67.20%	70.92%	64.63%	73.68%	68.21%	70.63%	71.33%	67.03%	63.78%	67.99%	65.71%	65.05%	69.17%	77.70%	60.89%	63.55%	64.81%	68.26%	66.07%	69.61%	66.27%	63.17%	64.85%	67.82%	66.88%	64.84%	63.11%	66.95%	67.17%	67.45%	74.35%	66.06%	70.02%	66.56%	70.71%	69.76%	66.33%	73.22%	62.73%	73.99%	62.61%	65.85%	65.00%	65.37%	63.61%	65.06%	66.53%	67.32%	74.53%	67.19%	73.17%	74.56%	64.06%	74.38%	60.36%	79.55%	55.00%	73.68%	69.57%	72.10%	74.45%	66.38%	70.07%	76.50%					
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
