Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Омск, Октябрьская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246					
1	"Число избирателей, внесенных в списки избирателей"	143857	2210	2414	2581	2115	1231	1596	1867	1862	1741	1607	1674	1052	1997	1915	1924	2180	2290	2096	2107	2512	2488	2252	2037	2388	2607	2359	2048	1960	1936	2230	1950	2419	2229	2291	1627	1803	1703	1415	2448	1423	1316	503	685	1876	2008	1819	1903	1711	2051	2141	1844	1954	2132	1721	2015	1419	1634	2842	2577	2195	2327	2547	2663	2214	1614	1677	1183	1659	2462	2001	1945	1596	2207	576	256					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	115700	1800	1900	2000	1700	1000	1200	1500	1500	1400	1300	1400	900	1600	1500	1600	1700	1800	1700	1700	2000	2000	1800	1700	1800	2100	1900	1700	1600	1600	1800	1600	1900	1800	1800	1300	1500	1400	1100	2000	1200	1000	400	600	1500	1600	1500	1500	1400	1600	1700	1500	1600	1700	1400	1600	1100	1300	2300	2000	1800	1900	2000	2100	1700	1300	1200	1000	1300	2000	1600	1500	1300	1800	600	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	77436	1196	1409	1372	1238	606	913	990	1039	884	909	881	649	1115	1097	1167	1289	1279	1161	1068	1441	1489	1359	1238	1191	1398	1273	1114	1189	1071	1214	993	1228	1107	1233	972	889	892	709	1232	826	676	253	464	1084	1157	1014	1081	897	902	1068	933	912	933	799	826	590	863	1478	1349	1100	1346	1206	1601	1217	810	826	773	890	1444	928	896	822	1163	562	253					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3178	20	43	39	27	111	24	102	97	11	46	21	9	61	53	26	46	50	41	70	58	41	62	80	135	42	64	34	39	31	40	32	42	39	35	23	41	27	9	25	34	21	5	33	41	45	19	18	38	30	27	19	37	60	60	65	13	23	35	28	27	28	23	12	78	91	244	6	38	43	34	38	33	36	0	0					
6	Число погашенных избирательных бюллетеней	35086	584	448	589	435	283	263	408	364	505	345	498	242	424	350	407	365	471	498	562	501	470	379	382	474	660	563	552	372	498	546	575	630	654	532	305	570	481	382	743	340	303	142	103	375	398	467	401	465	668	605	548	651	707	541	709	497	414	787	623	673	526	771	487	405	399	130	221	372	513	638	566	445	601	38	247					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3178	20	43	39	27	111	24	102	97	11	46	21	9	61	53	26	46	50	41	70	58	41	62	80	135	42	64	34	39	31	40	32	42	39	35	23	41	27	9	25	34	21	5	33	41	45	19	18	38	30	27	19	37	60	60	65	13	23	35	28	27	28	23	12	78	91	244	6	38	43	34	38	33	36	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	77327	1194	1395	1372	1237	606	913	989	1039	884	909	881	649	1114	1097	1167	1287	1279	1161	1068	1441	1489	1359	1238	1191	1397	1271	1110	1187	1070	1213	989	1228	1107	1233	972	889	892	709	1232	826	676	253	464	1084	1157	1014	1081	896	902	1068	933	912	933	799	824	590	863	1476	1347	1100	1343	1154	1601	1217	810	824	773	887	1442	928	896	822	1159	562	253					
9	Число недействительных избирательных бюллетеней	1125	21	19	25	17	10	22	15	23	15	16	13	12	19	21	12	14	21	16	18	15	21	12	14	15	22	14	18	9	17	15	18	20	10	21	6	9	17	9	22	11	8	5	7	15	17	17	16	22	21	20	17	10	12	11	21	12	7	27	12	23	8	22	11	18	7	12	6	11	18	14	17	7	14	13	3					
10	Число действительных избирательных бюллетеней	79380	1193	1419	1386	1247	707	915	1076	1113	880	939	889	646	1156	1129	1181	1319	1308	1186	1120	1484	1509	1409	1304	1311	1417	1321	1126	1217	1084	1238	1003	1250	1136	1247	989	921	902	709	1235	849	689	253	490	1110	1185	1016	1083	912	911	1075	935	939	981	848	868	591	879	1484	1363	1104	1363	1155	1602	1277	894	1056	773	914	1467	948	917	848	1181	549	250					
