Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Омск, Октябрьская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246					
1	"Число избирателей, внесенных в список избирателей"	139734	2547	2333	2313	1940	2288	1716	1706	175	1461	1524	2262	2546	2447	2746	2630	2160	2552	1703	1894	1495	1575	2201	2048	2135	2226	2347	2395	2417	2044	2002	2115	2063	1850	1807	1932	1037	1791	1920	158	1907	1820	1816	459	1977	2174	2112	2001	2083	1558	1691	1763	1293	2246	1323	1243	302	465	752	1342	1538	2586	2499	2099	2273	1805	1754	1952	1742	1506	1851	2699	2738	2034	1783	2047					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	134650	2500	2300	2300	1900	2200	1500	1600	200	1400	1500	2200	2500	2400	2500	2500	2100	2400	1600	1800	1500	1400	2100	1800	2100	2200	2200	2400	2300	2000	2000	2100	2000	1800	1800	1900	1000	1600	1600	200	1900	1800	1800	500	1900	2100	2100	1900	2000	1500	1600	1700	1200	2200	1300	1200	350	400	700	1300	1500	2400	2400	2100	2200	1800	1600	1900	1700	1500	1800	2600	2600	2000	1700	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	67655	1335	1066	1045	799	1190	861	970	159	681	673	1148	1438	990	1528	1376	1201	1250	786	1021	795	717	997	1035	1152	1085	1131	1220	1290	945	984	1087	1065	1005	1000	1022	561	624	805	158	1024	1051	1040	215	778	975	953	950	1033	855	729	838	602	1035	686	523	148	173	357	525	767	1210	1188	995	1224	1011	908	1035	871	708	683	1092	1116	778	707	677					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2541	22	18	44	21	44	13	28	16	82	106	64	15	22	32	28	25	79	60	14	32	15	13	152	46	57	23	50	58	41	60	51	41	28	40	44	10	10	13	0	31	38	25	90	12	23	35	28	17	24	14	28	3	11	21	14	152	4	28	12	10	26	24	8	18	28	26	16	29	38	23	24	35	38	29	42					
6	Число погашенных избирательных бюллетеней	64454	1143	1216	1211	1080	966	626	602	25	637	721	988	1047	1388	940	1096	874	1071	754	765	673	668	1090	613	902	1058	1046	1130	952	1014	956	962	894	767	760	834	429	966	782	42	845	711	735	195	1110	1102	1112	922	950	621	857	834	595	1154	593	663	50	223	315	763	723	1164	1188	1097	958	761	666	849	800	754	1094	1484	1449	1184	964	1281					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2541	22	18	44	21	44	13	28	16	82	106	64	15	22	32	28	25	79	60	14	32	15	13	152	46	57	23	50	58	41	60	51	41	28	40	44	10	10	13	0	31	38	25	90	12	23	35	28	17	24	14	28	3	11	21	14	152	4	28	12	10	26	24	8	18	28	26	16	29	38	23	24	35	38	29	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	67593	1334	1063	1045	799	1189	857	970	159	681	673	1148	1437	990	1528	1376	1201	1249	785	1021	795	717	997	1034	1142	1085	1131	1220	1290	945	984	1075	1065	1005	1000	1022	561	624	805	157	1024	1044	1038	215	777	973	953	950	1033	855	729	836	602	1034	686	523	148	173	357	525	765	1210	1186	994	1221	1009	908	1034	871	708	683	1092	1116	778	707	677					
9	Число недействительных избирательных бюллетеней	1425	15	19	20	12	28	19	21	9	19	8	26	21	19	21	22	23	37	21	18	24	19	11	22	21	31	30	22	23	17	18	29	33	20	20	24	13	10	19	1	20	37	34	11	24	14	21	15	22	17	18	33	14	15	17	7	4	3	10	10	14	16	16	25	26	14	11	18	24	19	18	15	29	21	14	14					
10	Число действительных избирательных бюллетеней	68709	1341	1062	1069	808	1205	851	977	166	744	771	1186	1431	993	1539	1382	1203	1291	824	1017	803	713	999	1164	1167	1111	1124	1248	1325	969	1026	1097	1073	1013	1020	1042	558	624	799	156	1035	1045	1029	294	765	982	967	963	1028	862	725	831	591	1030	690	530	296	174	375	527	761	1220	1194	977	1213	1023	923	1032	876	727	688	1101	1122	795	722	705					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3882	95	60	50	50	60	60	100	0	40	40	80	80	70	70	90	80	50	40	70	60	40	50	60	70	50	60	70	60	50	60	50	50	80	42	40	30	40	50	0	40	40	40	0	60	70	70	55	50	40	40	45	40	50	40	40	0	20	20	40	50	70	65	90	70	50	70	60	40	40	40	50	60	50	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3254	92	59	47	46	58	36	97	0	29	28	59	79	66	70	90	73	48	40	59	44	34	35	51	49	49	45	52	56	34	60	47	47	47	41	32	23	30	50	0	25	29	22	0	50	60	69	44	50	29	27	41	25	50	17	22	0	9	14	36	36	58	55	67	61	48	50	60	30	29	28	50	58	39	30	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2344	52	40	35	30	48	73	83	15	17	32	30	36	34	81	52	44	70	23	26	43	16	21	28	26	23	50	34	36	33	27	24	22	27	23	27	13	31	45	83	8	9	14	24	36	39	36	27	52	16	18	23	31	17	32	13	23	13	18	30	18	29	15	45	23	31	30	28	22	15	30	35	30	13	21	27					
