Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Михайловская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11577	503	1044	639	1403	652	1149	641	182	190	279	79	219	55	60	71	246	92	48	371	43	74	526	115	75	198	470	125	572	562	159	105	630									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11410	480	1060	640	1390	660	1170	610	180	180	250	80	220	50	60	70	240	90	40	370	40	70	520	110	70	190	470	110	580	560	150	100	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5153	224	383	200	536	271	394	274	113	113	154	45	110	28	37	36	150	60	35	177	24	36	239	55	45	105	229	68	263	253	104	61	331									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	630	26	43	50	75	31	57	82	19	8	20	6	13	5	4	6	24	0	5	14	0	3	27	0	6	11	11	5	20	10	5	7	37									
6	Число погашенных избирательных бюллетеней	5627	230	634	390	779	358	719	254	48	59	76	29	97	17	19	28	66	30	0	179	16	31	254	55	19	74	230	37	297	297	41	32	232									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	630	26	43	50	75	31	57	82	19	8	20	6	13	5	4	6	24	0	5	14	0	3	27	0	6	11	11	5	20	10	5	7	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5153	224	383	200	536	271	394	274	113	113	154	45	110	28	37	36	150	60	35	177	24	36	239	55	45	105	229	68	263	253	104	61	331									
9	Число недействительных избирательных бюллетеней	131	4	8	11	13	8	8	8	0	3	8	0	0	1	3	1	1	4	1	9	2	0	14	1	0	2	1	4	7	2	3	0	4									
10	Число действительных избирательных бюллетеней	5652	246	418	239	598	294	443	348	132	118	166	51	123	32	38	41	173	56	39	182	22	39	252	54	51	114	239	69	276	261	106	68	364									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	159	5	16	9	13	12	15	5	8	2	5	2	5	2	2	0	5	2	2	2	2	5	0	2	2	2	2	1	0	5	2	1	23									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	125	4	15	9	9	11	15	5	8	1	1	1	5	0	0	0	1	2	2	0	0	3	0	0	1	0	0	1	0	5	2	1	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	221	10	4	9	8	5	2	34	3	6	29	2	5	2	2	1	2	5	4	2	1	3	3	3	4	2	2	2	1	3	2	1	59									
14	Число погашенных неиспользованных открепительных удостоверений	34	1	1	0	4	1	0	0	0	1	4	1	0	2	2	0	4	0	0	2	2	2	0	2	1	2	2	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	2	4	1	3	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	69	3	3	3	10	6	5	7	0	1	0	0	1	0	0	1	2	3	0	3	0	2	9	0	1	0	1	0	2	4	0	0	2									
		1.19%	1.20%	0.70%	1.20%	1.64%	1.99%	1.11%	1.97%	0.00%	0.83%	0.00%	0.00%	0.81%	0.00%	0.00%	2.38%	1.15%	5.00%	0.00%	1.57%	0.00%	5.13%	3.38%	0.00%	1.96%	0.00%	0.42%	0.00%	0.71%	1.52%	0.00%	0.00%	0.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	262	9	13	6	21	82	12	18	3	2	0	1	1	0	0	1	7	2	2	9	1	2	6	2	2	6	8	3	16	8	3	6	10									
		4.53%	3.60%	3.05%	2.40%	3.44%	27.15%	2.66%	5.06%	2.27%	1.65%	0.00%	1.96%	0.81%	0.00%	0.00%	2.38%	4.02%	3.33%	5.00%	4.71%	4.17%	5.13%	2.26%	3.64%	3.92%	5.17%	3.33%	4.11%	5.65%	3.04%	2.75%	8.82%	2.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	107	7	3	7	10	5	15	7	1	2	4	1	2	0	1	0	2	1	1	3	0	0	5	0	1	0	5	0	5	10	0	3	6									
		1.85%	2.80%	0.70%	2.80%	1.64%	1.66%	3.33%	1.97%	0.76%	1.65%	2.30%	1.96%	1.63%	0.00%	2.44%	0.00%	1.15%	1.67%	2.50%	1.57%	0.00%	0.00%	1.88%	0.00%	1.96%	0.00%	2.08%	0.00%	1.77%	3.80%	0.00%	4.41%	1.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2616	86	158	95	244	119	158	170	92	75	67	24	53	24	20	26	100	20	15	82	16	15	94	25	30	37	167	39	124	143	44	41	213									
		45.24%	34.40%	37.09%	38.00%	39.93%	39.40%	35.03%	47.75%	69.70%	61.98%	38.51%	47.06%	43.09%	72.73%	48.78%	61.90%	57.47%	33.33%	37.50%	42.93%	66.67%	38.46%	35.34%	45.45%	58.82%	31.90%	69.58%	53.42%	43.82%	54.37%	40.37%	60.29%	57.88%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	3	0	2	3	0	2	1	0	0	1	0	2	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	1	1	0	0	0									
		0.36%	1.20%	0.00%	0.80%	0.49%	0.00%	0.44%	0.28%	0.00%	0.00%	0.57%	0.00%	1.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	0.00%	0.75%	1.82%	0.00%	0.00%	0.00%	0.00%	0.35%	0.38%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0									
		0.10%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	1.82%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.92%	0.00%	0.00%									
