Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Пинежская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726					
1	"Число избирателей, внесенных в списки"	23130	452	819	407	152	271	537	331	820	904	198	92	373	339	833	289	461	181	377	566	1264	1991	415	986	62	175	408	569	1171	502	1324	326	222	232	256	123	150	139	83	275	384	214	350	1615	999	147	95	158	93					
2	"Число бюллетеней, полученных участковыми комиссиями"	23035	455	830	400	225	295	540	335	800	900	195	87	375	365	840	315	500	183	400	530	1190	1950	400	980	77	182	415	570	1140	490	1260	305	228	350	255	128	150	142	87	280	390	220	350	1520	900	147	94	172	93					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13868	296	500	243	145	170	321	231	528	530	127	71	272	179	510	226	316	86	212	386	812	1196	214	488	61	108	198	355	678	322	787	214	123	211	102	84	102	74	42	158	225	92	198	882	546	64	34	106	43					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1104	33	20	4	7	13	7	12	60	22	16	9	44	23	20	23	21	13	67	21	12	72	25	8	0	3	48	12	10	26	22	9	34	21	10	9	6	10	22	26	36	59	19	45	20	37	27	14	27					
6	Число погашенных бюллетеней	8063	126	310	153	73	112	212	92	212	348	52	7	59	163	310	66	163	84	121	123	366	682	161	484	16	71	169	203	452	142	451	82	71	118	143	35	42	58	23	96	129	69	133	593	334	46	33	52	23					
7	Число бюллетеней в переносных ящиках для голосования	1104	33	20	4	7	13	7	12	60	22	16	9	44	23	20	23	21	13	67	21	12	72	25	8	0	3	48	12	10	26	22	9	34	21	10	9	6	10	22	26	36	59	19	45	20	37	27	14	27					
8	Число бюллетеней в стационарных ящиках для голосования	13866	296	500	243	145	170	321	231	528	530	127	71	272	179	510	226	316	86	212	386	812	1196	214	488	61	108	198	355	678	322	787	214	123	211	102	84	102	74	42	158	225	92	198	882	544	64	34	106	43					
9	Число недействительных бюллетеней	197	7	0	0	5	0	9	9	7	12	3	2	9	5	14	4	3	2	3	5	7	12	9	1	1	0	4	10	7	1	6	4	2	7	3	0	0	0	0	1	1	0	6	9	5	0	0	1	1					
10	Число действительных бюллетеней	14773	322	520	247	147	183	319	234	581	540	140	78	307	197	516	245	334	97	276	402	817	1256	230	495	60	111	242	357	681	347	803	219	155	225	109	93	108	84	64	183	260	151	211	918	559	101	61	119	69					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	482	10	10	3	3	3	15	4	5	12	5	3	10	15	10	25	15	3	33	15	10	30	10	18	3	5	5	5	20	5	45	10	5	5	8	8	8	5	5	5	6	5	5	19	15	3	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	320	2	7	0	3	0	6	2	4	11	3	1	5	13	10	25	10	0	33	15	9	24	3	15	1	5	3	3	15	1	29	7	3	1	5	6	6	0	0	1	6	3	0	14	9	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	169	1	4	1	1	1	1	0	4	1	1	2	4	10	5	1	2	3	8	7	15	16	1	13	5	2	2	5	7	3	4	5	2	1	1	2	8	0	0	0	3	0	3	4	6	1	1	1	1					
14	Число погашенных открепительных удостоверений	162	8	3	3	0	3	9	2	1	1	2	2	5	2	0	0	5	3	0	0	1	6	7	3	2	0	2	2	5	4	16	3	2	4	3	2	2	5	5	4	0	2	5	5	6	3	4	5	5					
15	Число открепительных удостоверений выданных ТИК	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	"1. ""ЕДИНЕНИЕ"""	258	6	9	2	0	3	6	3	7	12	2	1	8	3	15	7	5	1	6	9	9	18	11	5	0	2	6	3	13	8	12	1	1	1	1	3	2	1	0	2	14	2	7	14	14	0	0	2	1					
		1.72%	1.82%	1.73%	0.80%	0.0%	1.63%	1.82%	1.23%	1.19%	2.17%	1.39%	1.25%	2.53%	1.48%	2.83%	2.81%	1.48%	1.01%	2.15%	2.21%	1.09%	1.41%	4.60%	1.00%	0.0%	1.80%	2.43%	0.81%	1.88%	2.29%	1.48%	0.44%	0.63%	0.43%	0.89%	3.22%	1.85%	1.19%	0.0%	1.08%	5.36%	1.32%	3.22%	1.51%	2.48%	0.0%	0.0%	1.66%	1.42%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	288	1	5	1	2	0	2	0	2	3	0	0	7	2	10	3	3	1	5	10	20	55	8	19	2	5	2	4	23	6	19	9	1	7	1	1	2	1	1	5	2	1	3	22	8	0	1	1	2					
		1.92%	0.30%	0.96%	0.40%	1.31%	0.0%	0.60%	0.0%	0.34%	0.54%	0.0%	0.0%	2.21%	0.99%	1.88%	1.20%	0.89%	1.01%	1.79%	2.45%	2.42%	4.33%	3.34%	3.83%	3.27%	4.50%	0.81%	1.08%	3.34%	1.72%	2.34%	4.03%	0.63%	3.01%	0.89%	1.07%	1.85%	1.19%	1.56%	2.71%	0.76%	0.66%	1.38%	2.37%	1.41%	0.0%	1.63%	0.83%	2.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	639	10	26	14	6	5	13	7	20	29	14	5	11	9	30	5	11	6	24	13	32	42	18	11	1	5	20	24	24	33	25	9	2	3	6	2	3	7	6	3	17	6	6	47	18	3	1	4	3					
		4.26%	3.03%	5.0%	5.66%	3.94%	2.73%	3.96%	2.88%	3.40%	5.25%	9.79%	6.25%	3.48%	4.45%	5.66%	2.00%	3.26%	6.06%	8.60%	3.19%	3.88%	3.31%	7.53%	2.21%	1.63%	4.50%	8.13%	6.53%	3.48%	9.48%	3.09%	4.03%	1.27%	1.29%	5.35%	2.15%	2.77%	8.33%	9.37%	1.63%	6.51%	3.97%	2.76%	5.07%	3.19%	2.97%	1.63%	3.33%	4.28%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	273	8	3	2	0	1	2	1	7	10	4	0	3	3	11	4	4	0	7	9	26	42	6	19	1	4	0	5	15	5	21	8	0	1	2	1	0	3	1	0	5	1	4	11	9	1	0	0	3					
		1.82%	2.43%	0.57%	0.80%	0.0%	0.54%	0.60%	0.41%	1.19%	1.81%	2.79%	0.0%	0.94%	1.48%	2.07%	1.60%	1.18%	0.0%	2.50%	2.21%	3.15%	3.31%	2.51%	3.83%	1.63%	3.60%	0.0%	1.36%	2.18%	1.43%	2.59%	3.58%	0.0%	0.43%	1.78%	1.07%	0.0%	3.57%	1.56%	0.0%	1.91%	0.66%	1.84%	1.18%	1.59%	0.99%	0.0%	0.0%	4.28%					
22	"5. ""За Русь Святую"""	88	0	1	1	1	1	5	2	13	5	3	1	1	0	2	4	3	0	4	2	1	7	4	0	0	0	3	4	4	2	4	0	3	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	1					
		0.58%	0.0%	0.19%	0.40%	0.65%	0.54%	1.52%	0.82%	2.21%	0.90%	2.09%	1.25%	0.31%	0.0%	0.37%	1.60%	0.89%	0.0%	1.43%	0.49%	0.12%	0.55%	1.67%	0.0%	0.0%	0.0%	1.21%	1.08%	0.58%	0.57%	0.49%	0.0%	1.91%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.32%	0.0%	0.0%	0.0%	0.0%	1.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	41	1	0	0	0	0	1	0	1	2	2	0	1	1	0	2	1	0	0	0	4	2	1	1	0	2	2	1	4	1	3	0	0	1	2	0	0	0	0	0	0	1	2	0	1	0	0	1	0					
		0.27%	0.30%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.17%	0.36%	1.39%	0.0%	0.31%	0.49%	0.0%	0.80%	0.29%	0.0%	0.0%	0.0%	0.48%	0.15%	0.41%	0.20%	0.0%	1.80%	0.81%	0.27%	0.58%	0.28%	0.37%	0.0%	0.0%	0.43%	1.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.92%	0.0%	0.17%	0.0%	0.0%	0.83%	0.0%					
