Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Топкинская городская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054					
1	"Число избирателей, внесенных в списки"	35477	117	302	156	654	183	432	152	100	209	110	513	1108	93	227	633	631	150	506	134	975	149	683	121	278	191	395	131	955	526	171	602	197	234	1341	1194	1369	1233	1054	1072	1223	1376	1505	1377	1295	1365	1399	1211	1329	1229	1345	1542					
2	"Число бюллетеней, полученных участковыми комиссиями"	33665	115	280	160	600	170	415	140	100	200	115	500	1000	90	200	600	600	150	450	130	900	130	650	120	280	180	380	130	950	500	170	550	190	220	1500	1000	1300	1200	1000	1000	1200	1300	1300	1300	1200	1300	1300	1000	1300	1300	1300	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22096	114	267	128	552	149	385	131	92	188	106	442	839	58	186	581	531	123	328	125	716	120	609	107	232	164	330	106	799	462	139	511	180	196	586	543	544	566	599	654	714	763	840	788	633	729	771	670	713	635	544	808					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1448	0	0	0	35	7	30	5	4	0	0	0	18	21	10	0	18	25	48	0	89	9	12	10	15	10	14	16	0	25	19	20	5	20	85	57	53	81	16	42	27	53	13	70	17	20	121	60	52	63	84	49					
6	Число погашенных бюллетеней	10121	1	13	32	13	14	0	4	4	12	9	58	143	11	4	19	51	2	74	5	95	1	29	3	33	6	36	8	151	13	12	19	5	4	829	400	703	553	385	304	459	484	447	442	550	551	408	270	535	602	672	643					
7	Число бюллетеней в переносных ящиках для голосования	1448	0	0	0	35	7	30	5	4	0	0	0	18	21	10	0	18	25	48	0	89	9	12	10	15	10	14	16	0	25	19	20	5	20	85	57	53	81	16	42	27	53	13	70	17	20	121	60	52	63	84	49					
8	Число бюллетеней в стационарных ящиках для голосования	22062	114	267	128	552	149	384	131	92	188	106	442	839	58	186	581	531	123	328	125	716	120	609	107	232	164	330	106	799	462	139	511	180	196	586	543	544	566	597	654	714	763	839	788	607	729	771	670	713	635	544	804					
9	Число недействительных бюллетеней	294	0	1	2	2	2	6	0	1	0	0	1	3	3	1	27	7	0	0	0	4	1	2	0	1	7	8	2	9	6	0	55	2	4	6	13	11	6	9	9	4	5	2	0	3	3	10	12	10	6	11	17					
10	Число действительных бюллетеней	23216	114	266	126	585	154	408	136	95	188	106	441	854	76	195	554	542	148	376	125	801	128	619	117	246	167	336	120	790	481	158	476	183	212	665	587	586	641	604	687	737	811	850	858	621	746	882	718	755	692	617	836					
