Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Миякинская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2719	УИК №2720	УИК №2721	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2736	УИК №2737	УИК №2738									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22574	426	275	324	245	375	449	211	422	441	189	409	366	339	786	188	431	415	343	344	182	128	147	513	344	124	525	284	605	869	404	163	794	1111	780	669	839	1427	736	747	873	382	673	269	546	445	587	430									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23436	446	285	331	249	387	463	215	438	464	199	419	384	348	850	198	447	431	349	355	192	136	156	511	354	129	538	291	682	891	425	171	822	1136	811	687	867	1456	782	764	901	387	693	280	566	454	650	446									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16417	345	242	296	184	284	381	188	392	329	134	325	239	299	562	169	356	265	263	279	158	107	94	398	300	117	406	233	396	540	335	114	631	897	599	447	583	728	581	558	392	184	419	194	372	369	344	389									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1793	14	24	9	5	25	46	7	10	14	26	20	67	24	50	5	27	28	20	9	5	5	25	67	15	4	85	32	98	76	25	14	70	16	33	25	14	79	15	3	102	75	194	42	110	15	101	18									
6	Число погашенных избирательных бюллетеней	5226	87	19	26	60	78	36	20	36	121	39	74	78	25	238	24	64	138	66	67	29	24	37	46	39	8	47	26	188	275	65	43	121	223	179	215	270	649	186	203	407	128	80	44	84	70	205	39									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1793	14	24	9	5	25	46	7	10	14	26	20	67	24	50	5	27	28	20	9	5	5	25	67	15	4	85	32	98	76	25	14	70	16	33	25	14	79	15	3	102	75	194	42	110	15	101	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16417	345	242	296	184	284	381	188	392	329	134	325	239	299	562	169	356	265	263	279	158	107	94	398	300	117	406	233	396	540	335	114	631	897	599	447	583	728	581	558	392	184	419	194	372	369	344	389									
9	Число недействительных избирательных бюллетеней	158	7	4	0	0	5	0	0	3	2	1	1	0	0	19	0	0	2	1	0	0	0	0	0	0	2	0	3	12	7	0	5	0	19	18	0	1	1	0	0	9	0	0	0	13	12	9	2									
10	Число действительных избирательных бюллетеней	18052	352	262	305	189	304	427	195	399	341	159	344	306	323	593	174	383	291	282	288	163	112	119	465	315	119	491	262	482	609	360	123	701	894	614	472	596	806	596	561	485	259	613	236	469	372	436	405									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	467	10	12	5	5	5	10	5	10	10	5	10	5	5	15	5	10	10	5	5	5	5	5	10	5	5	10	5	10	15	10	5	15	20	20	15	20	20	20	15	20	5	15	5	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	467	10	12	5	5	5	10	5	10	10	5	10	5	5	15	5	10	10	5	5	5	5	5	10	5	5	10	5	10	15	10	5	15	20	20	15	20	20	20	15	20	5	15	5	10	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	0	3	0	0	1	2	1	2	0	2	0	0	1	5	0	2	2	1	0	1	0	1	3	2	1	0	0	0	3	0	1	0	2	2	1	2	1	0	0	2	4	1	0	1	2	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	1	2	0	3	0	3	5	0	0	0	0	0	6	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
