Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
"Наименование Избирательной комиссии:    Астрахань, Трусовская"																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649					
1	"Число избирателей, внесенных в списки"	78217	1061	1560	1592	1941	1014	1026	1454	1481	1080	968	1255	1437	1702	1007	1299	989	1877	1397	1360	1818	1404	1287	629	1215	2001	1445	419	1186	2135	2056	1929	1300	1339	1125	1376	1306	1219	953	1243	1940	1875	1142	1482	1710	1741	2354	2065	1363	1458	1366	1209	1204	1279	1860	1188	96					
2	"Число бюллетеней, полученных участковыми комиссиями"	79220	1100	1600	1600	1900	1000	1000	1400	1600	1200	1000	1250	1400	1800	1100	1300	1000	1600	1400	1400	1850	1400	1250	800	1200	2100	1500	700	1200	2200	2100	1850	1300	1300	1200	1500	1300	1200	1200	1250	1950	1900	1100	1600	1700	1700	2300	2100	1350	1450	1400	1200	1200	1200	1800	1100	120					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	38703	399	736	797	1031	452	450	660	932	657	622	703	697	798	509	636	466	1085	635	493	924	646	541	297	608	781	583	59	653	1003	1170	1086	751	459	489	635	573	524	484	642	931	941	652	746	846	892	1180	1034	764	841	792	709	521	562	1125	454	47					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2509	80	74	44	36	19	38	30	45	43	27	32	12	39	23	43	23	15	27	31	73	37	38	52	34	75	132	306	12	47	35	25	48	56	34	58	31	32	69	23	26	36	6	26	16	39	58	82	28	34	23	18	22	115	17	37	28					
6	Число погашенных бюллетеней	37694	621	790	759	833	529	512	710	623	500	351	515	691	963	568	621	511	500	738	562	853	717	671	451	558	1244	785	335	535	1150	895	739	501	785	677	807	696	644	647	585	993	923	442	828	838	769	1062	984	558	575	585	473	657	523	658	609	45					
7	Число бюллетеней в переносных ящиках для голосования	2823	80	74	44	36	19	38	30	45	43	27	32	12	39	23	43	23	15	27	345	73	37	38	52	34	75	132	306	12	47	35	25	48	56	34	58	31	32	69	23	26	36	6	26	16	39	58	82	28	34	23	18	22	115	17	37	28					
8	Число бюллетеней в стационарных ящиках для голосования	38738	399	736	797	1027	452	448	660	932	657	622	703	697	798	509	636	466	1085	635	492	924	646	541	297	608	781	583	59	653	1003	1170	1083	748	459	489	635	573	524	484	642	931	941	652	746	846	892	1228	1032	765	841	792	710	521	562	1125	454	47					
9	Число недействительных бюллетеней	623	11	7	14	12	8	14	21	19	12	15	9	13	13	14	9	7	14	12	8	12	7	11	7	3	5	9	6	10	12	6	12	7	10	13	2	9	15	10	10	24	11	12	13	11	16	22	13	14	10	8	10	13	5	11	20	2					
10	Число действительных бюллетеней	40938	468	803	827	1051	463	472	669	958	688	634	726	696	824	518	670	482	1086	650	829	985	676	568	342	639	851	706	359	655	1038	1199	1096	789	505	510	691	595	541	543	655	933	966	646	759	851	915	1264	1101	779	865	807	718	530	672	1131	471	73					
