Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Алтуфьевский район																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №8274									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35139	1758	2308	2372	2055	1859	2093	2404	2551	2636	2535	2786	2723	2889	2856	1314									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58700	1200	1600	1700	1400	1300	1500	1700	1800	1900	1800	2000	1900	2000	2000	34900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11806	532	803	681	545	597	810	727	806	839	813	827	836	813	863	1314									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	341	18	22	27	26	33	15	38	21	27	11	22	23	39	19	0									
6	Число погашенных избирательных бюллетеней	46551	650	775	990	829	670	675	935	973	1034	976	1151	1041	1148	1118	33586									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	341	18	22	27	26	33	15	38	21	27	11	22	23	39	19	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11783	530	802	679	544	595	807	726	803	838	810	826	836	811	863	1313									
9	Число недействительных избирательных бюллетеней	221	11	8	24	9	7	30	13	38	11	6	12	17	13	14	8									
10	Число действительных избирательных бюллетеней	11903	537	816	682	561	621	792	751	786	854	815	836	842	837	868	1305									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	335	10	20	20	20	20	20	30	10	30	20	40	20	30	20	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	208	8	12	12	8	11	12	20	7	21	17	30	16	19	15	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	199	10	13	4	12	12	10	29	12	19	9	14	6	3	15	31									
14	Число погашенных неиспользованных открепительных удостоверений	127	2	8	8	12	9	8	10	3	9	3	10	4	11	5	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	3	1	3	3	8	0	3	2	7	4	9	2	3	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	289	11	18	13	10	16	6	22	20	17	22	18	28	20	19	49									
		2.38%	2.01%	2.18%	1.84%	1.75%	2.55%	0.73%	2.88%	2.43%	1.97%	2.68%	2.12%	3.26%	2.35%	2.15%	3.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	226	11	12	15	14	19	7	9	20	14	21	17	23	16	18	10									
		1.86%	2.01%	1.46%	2.12%	2.46%	3.03%	0.85%	1.18%	2.43%	1.62%	2.56%	2.00%	2.68%	1.88%	2.04%	0.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	350	15	23	26	17	26	21	21	19	31	21	22	25	31	25	27									
		2.89%	2.74%	2.79%	3.68%	2.98%	4.14%	2.55%	2.75%	2.31%	3.58%	2.56%	2.59%	2.91%	3.65%	2.83%	2.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4601	239	324	306	224	222	381	279	338	367	301	317	325	330	350	298									
		37.95%	43.61%	39.32%	43.34%	39.30%	35.35%	46.35%	36.52%	41.02%	42.43%	36.66%	37.38%	37.83%	38.82%	39.68%	22.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	241	15	22	8	11	13	13	17	18	15	20	18	14	21	12	24									
		1.99%	2.74%	2.67%	1.13%	1.93%	2.07%	1.58%	2.23%	2.18%	1.73%	2.44%	2.12%	1.63%	2.47%	1.36%	1.83%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	3	2	0	0	0	10	5	1	3	4	1	2	4	2	6									
		0.35%	0.55%	0.24%	0.00%	0.00%	0.00%	1.22%	0.65%	0.12%	0.35%	0.49%	0.12%	0.23%	0.47%	0.23%	0.46%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1911	64	153	96	116	130	163	140	132	156	131	137	129	133	151	80									
		15.76%	11.68%	18.57%	13.60%	20.35%	20.70%	19.83%	18.32%	16.02%	18.03%	15.96%	16.16%	15.02%	15.65%	17.12%	6.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	374	19	22	8	7	12	13	11	21	17	19	28	11	20	21	145									
		3.08%	3.47%	2.67%	1.13%	1.23%	1.91%	1.58%	1.44%	2.55%	1.97%	2.31%	3.30%	1.28%	2.35%	2.38%	11.04%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	347	12	20	26	17	13	21	31	22	13	27	25	26	16	29	49									
		2.86%	2.19%	2.43%	3.68%	2.98%	2.07%	2.55%	4.06%	2.67%	1.50%	3.29%	2.95%	3.03%	1.88%	3.29%	3.73%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	2	0	2	1	3	9	1	10	2	2	4	0	2	1	3									
		0.35%	0.36%	0.00%	0.28%	0.18%	0.48%	1.09%	0.13%	1.21%	0.23%	0.24%	0.47%	0.00%	0.24%	0.11%	0.23%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1108	39	59	44	31	24	35	61	45	45	57	59	64	38	50	457									
		9.14%	7.12%	7.16%	6.23%	5.44%	3.82%	4.26%	7.98%	5.46%	5.20%	6.94%	6.96%	7.45%	4.47%	5.67%	34.81%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1628	76	103	100	80	111	67	102	113	122	141	115	128	129	120	121									
		13.43%	13.87%	12.50%	14.16%	14.04%	17.68%	8.15%	13.35%	13.71%	14.10%	17.17%	13.56%	14.90%	15.18%	13.61%	9.22%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	74	3	7	6	3	0	8	3	13	3	7	5	2	5	7	2									
		0.61%	0.55%	0.85%	0.85%	0.53%	0.00%	0.97%	0.39%	1.58%	0.35%	0.85%	0.59%	0.23%	0.59%	0.79%	0.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	669	28	51	32	30	32	38	49	14	49	42	70	65	72	63	34									
		5.52%	5.11%	6.19%	4.53%	5.26%	5.10%	4.62%	6.41%	1.70%	5.66%	5.12%	8.25%	7.57%	8.47%	7.14%	2.59%									
																										
																										
																										
																										
																										
																										
																										
