Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Коркинская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48522	1404	474	1220	1895	661	1319	1254	443	1197	1646	1734	1510	1689	1736	1743	1465	1463	1418	1461	1453	1461	1506	928	636	1296	1675	1482	452	1024	1340	645	466	1327	1749	1783	1777	1790									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36800	1000	350	900	1350	650	950	950	450	850	1150	1250	1100	1200	1250	1250	1100	1050	1050	1050	1100	1050	1100	700	500	950	1200	1050	450	750	950	600	450	1200	1250	1650	1300	1650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20194	581	213	434	742	284	610	420	144	593	683	689	675	832	749	572	731	739	697	724	724	680	787	364	232	353	517	529	191	319	433	215	156	572	764	690	816	740									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1287	37	4	41	47	12	31	55	9	25	25	31	36	30	30	41	30	100	35	33	20	46	24	22	70	26	43	33	30	25	49	12	62	26	48	37	24	38									
6	Число погашенных избирательных бюллетеней	15319	382	133	425	561	354	309	475	297	232	442	530	389	338	471	637	339	211	318	293	356	324	289	314	198	571	640	488	229	406	468	373	232	602	438	923	460	872									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1287	37	4	41	47	12	31	55	9	25	25	31	36	30	30	41	30	100	35	33	20	46	24	22	70	26	43	33	30	25	49	12	62	26	48	37	24	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20191	581	213	434	742	284	610	420	144	593	683	689	675	830	749	572	731	739	697	723	724	680	787	364	232	353	517	529	191	319	433	215	156	572	764	690	816	740									
9	Число недействительных избирательных бюллетеней	773	15	7	21	36	14	19	15	7	24	29	25	23	32	23	20	16	24	22	35	33	22	26	6	4	13	21	25	10	10	22	8	2	36	37	33	30	28									
10	Число действительных избирательных бюллетеней	20705	603	210	454	753	282	622	460	146	594	679	695	688	828	756	593	745	815	710	721	711	704	785	380	298	366	539	537	211	334	460	219	216	562	775	694	810	750									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	728	17	6	15	23	20	16	26	5	15	20	31	24	31	21	22	23	18	28	23	28	33	19	16	8	16	20	23	11	13	16	10	11	16	22	32	22	28									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	606	7	6	13	20	17	16	26	3	13	17	23	24	24	16	15	23	18	23	18	23	29	19	9	8	12	18	20	9	8	9	6	9	10	19	26	22	28									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	417	6	2	9	8	13	7	7	2	6	7	22	10	13	6	11	15	14	3	11	12	16	51	13	15	9	7	46	10	2	4	5	9	6	9	12	10	9									
14	Число погашенных неиспользованных открепительных удостоверений	122	10	0	2	3	3	0	0	2	2	3	8	0	7	5	7	0	0	5	5	5	4	0	7	0	4	2	3	2	5	7	4	2	6	3	6	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	2	2	1	2	1	0	2	0	2	1	4	3	1	3	0	0	1	3	2	4	1	2	2	1	1	0	1	0	4	3	0	1	2	4	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	312	8	2	6	11	3	4	5	1	22	6	10	12	14	17	4	18	12	10	12	12	14	12	5	2	2	3	5	3	4	10	0	0	8	12	8	22	13									
		1.45%	1.29%	0.92%	1.26%	1.39%	1.01%	0.62%	1.05%	0.65%	3.56%	0.85%	1.39%	1.69%	1.63%	2.18%	0.65%	2.37%	1.43%	1.37%	1.59%	1.61%	1.93%	1.48%	1.30%	0.66%	0.53%	0.54%	0.89%	1.36%	1.16%	2.07%	0.00%	0.00%	1.34%	1.48%	1.10%	2.62%	1.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	541	10	5	12	19	5	15	7	4	13	18	6	18	19	22	21	31	25	27	20	25	17	24	12	8	9	12	11	14	12	12	2	6	9	15	15	24	17									
