Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Миллеровская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК  246	УИК  247	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  2480	УИК  2550	УИК  2551	УИК  2552	УИК  2553	УИК  2554					
1	"Число избирателей, внесенных в списки"	56634	92	1868	1974	2238	2534	342	2077	1897	2979	1647	1267	3041	2094	1969	2520	1424	600	864	225	661	454	699	597	364	1245	263	739	265	805	615	656	281	1209	393	1048	604	2709	296	310	191	662	133	586	967	726	525	770	737	159	2324	335	477	169	660	319	124	139	276	248	242					
2	"Число бюллетеней, полученных участковыми комиссиями"	55782	92	1833	1904	2234	2697	332	1878	1806	2871	1592	1271	2808	2214	1992	2242	1290	610	869	220	655	452	683	615	354	1210	264	726	264	772	630	667	274	1178	389	1079	603	2641	303	303	295	661	170	574	943	724	522	764	740	161	2301	329	464	167	654	318	163	160	358	253	244					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27453	52	680	792	1069	965	263	846	887	1389	644	529	1203	762	874	1349	674	269	327	154	257	272	466	359	232	670	131	390	156	579	374	439	186	606	209	447	330	1277	110	197	191	332	123	405	396	401	262	395	391	97	1144	249	341	113	271	160	124	122	178	129	214					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3611	29	62	76	52	99	6	184	64	86	121	57	62	71	73	32	33	91	99	0	134	14	0	70	12	55	41	34	37	90	92	39	15	139	48	85	61	132	88	0	0	61	10	0	162	5	57	138	87	12	247	12	44	25	99	16	0	17	98	38	0					
6	Число погашенных бюллетеней	24718	11	1091	1036	1113	1633	63	848	855	1396	827	685	1543	1381	1045	861	583	250	443	66	264	166	217	186	110	485	92	302	71	103	164	189	73	433	132	547	212	1232	105	106	104	268	37	169	385	318	203	231	262	52	910	68	79	29	284	142	39	21	82	86	30					
7	Число бюллетеней в переносных ящиках для голосования	3611	29	62	76	52	99	6	184	64	86	121	57	62	71	73	32	33	91	99	0	134	14	0	70	12	55	41	34	37	90	92	39	15	139	48	85	61	132	88	0	0	61	10	0	162	5	57	138	87	12	247	12	44	25	99	16	0	17	98	38	0					
8	Число бюллетеней в стационарных ящиках для голосования	27453	52	680	792	1069	965	263	846	887	1389	644	529	1203	762	874	1349	674	269	327	154	257	272	466	359	232	670	131	390	156	579	374	439	186	606	209	447	330	1277	110	197	191	332	123	405	396	401	262	395	391	97	1144	249	341	113	271	160	124	122	178	129	214					
9	Число недействительных бюллетеней	459	0	0	3	11	12	1	24	5	23	9	0	36	16	23	5	11	0	11	3	1	0	8	0	8	13	9	7	1	4	1	2	3	3	5	4	7	25	5	0	3	6	7	38	37	2	2	4	4	0	31	0	2	0	9	4	4	1	2	4	0					
10	Число действительных бюллетеней	30605	81	742	865	1110	1052	268	1006	946	1452	756	586	1229	817	924	1376	696	360	415	151	390	286	458	429	236	712	163	417	192	665	465	476	198	742	252	528	384	1384	193	197	188	387	126	367	521	404	317	529	474	109	1360	261	383	138	361	172	120	138	274	163	214					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	946	2	32	33	39	47	5	33	38	50	27	22	49	38	30	41	24	10	15	3	11	7	11	10	5	20	4	12	4	13	11	11	4	20	6	18	10	46	4	4	4	11	2	9	18	12	8	13	12	2	40	5	7	2	11	5	2	2	5	4	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	116	0	5	2	8	8	3	3	4	11	1	1	6	7	4	12	2	3	1	0	4	0	0	1	1	5	0	1	0	0	0	1	0	1	0	2	1	3	0	1	1	1	0	0	8	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	0	0	3	0	0	4	4	1	4	2	4	6	8	3	4	9	3	0	1	1	1	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	2	0	2	2	0	1	4	1	3	2	0	1	0	1	0	0	0	0	1	1	0	0	1	0					
14	Число погашенных открепительных удостоверений	830	2	27	31	31	39	2	30	34	39	26	21	43	31	26	29	22	7	14	3	7	7	11	9	4	15	4	11	4	13	11	10	4	19	6	16	9	43	4	3	3	10	2	9	10	12	8	13	12	1	39	4	7	2	10	5	2	2	5	4	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	456	1	7	5	10	4	4	10	10	18	2	8	12	9	18	13	11	11	7	1	6	10	6	1	6	12	8	8	1	7	4	6	4	5	3	10	6	17	6	4	9	13	9	2	13	5	8	10	2	2	25	25	10	0	10	8	4	3	3	0	4					
		1.46%	1.23%	0.94%	0.57%	0.89%	0.37%	1.48%	0.97%	1.05%	1.22%	0.26%	1.36%	0.94%	1.08%	1.90%	0.94%	1.55%	3.05%	1.64%	0.64%	1.53%	3.49%	1.28%	0.23%	2.45%	1.65%	4.65%	1.88%	0.51%	1.04%	0.85%	1.25%	1.99%	0.67%	1.16%	1.87%	1.53%	1.20%	3.03%	2.03%	4.71%	3.30%	6.76%	0.49%	2.32%	1.23%	2.50%	1.87%	0.41%	1.83%	1.79%	9.57%	2.59%	0.0%	2.70%	4.54%	3.22%	2.15%	1.08%	0.0%	1.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	463	0	19	17	16	24	1	21	14	53	13	20	24	24	12	26	9	4	6	4	6	4	4	3	1	10	0	6	0	1	2	4	2	5	1	2	0	11	1	1	0	1	1	4	3	5	3	5	2	0	36	2	3	1	3	4	1	0	14	0	4					
		1.49%	0.0%	2.56%	1.95%	1.42%	2.25%	0.37%	2.03%	1.47%	3.59%	1.69%	3.41%	1.89%	2.88%	1.26%	1.88%	1.27%	1.11%	1.40%	2.59%	1.53%	1.39%	0.85%	0.69%	0.40%	1.37%	0.0%	1.41%	0.0%	0.14%	0.42%	0.83%	0.99%	0.67%	0.38%	0.37%	0.0%	0.78%	0.50%	0.50%	0.0%	0.25%	0.75%	0.98%	0.53%	1.23%	0.94%	0.93%	0.41%	0.0%	2.58%	0.76%	0.77%	0.72%	0.81%	2.27%	0.80%	0.0%	5.07%	0.0%	1.86%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	803	0	15	31	34	37	14	41	22	35	29	17	46	30	32	16	23	13	15	4	5	4	3	9	4	43	3	23	7	5	5	4	1	12	5	22	9	22	5	7	1	5	0	0	4	7	11	10	8	6	44	10	3	5	16	5	0	0	2	4	10					
		2.58%	0.0%	2.02%	3.57%	3.03%	3.47%	5.20%	3.98%	2.31%	2.37%	3.79%	2.90%	3.63%	3.60%	3.37%	1.15%	3.25%	3.61%	3.52%	2.59%	1.27%	1.39%	0.64%	2.09%	1.63%	5.93%	1.74%	5.42%	3.62%	0.74%	1.07%	0.83%	0.49%	1.61%	1.94%	4.13%	2.30%	1.56%	2.52%	3.55%	0.52%	1.27%	0.0%	0.0%	0.71%	1.72%	3.44%	1.87%	1.67%	5.50%	3.16%	3.83%	0.77%	3.62%	4.32%	2.84%	0.0%	0.0%	0.72%	2.39%	4.67%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	557	1	16	32	25	25	8	29	30	58	21	7	39	30	21	46	13	5	2	2	2	4	3	4	2	2	0	4	2	4	5	0	1	8	0	2	4	17	0	2	3	2	0	1	10	6	12	1	5	1	15	1	4	2	4	2	1	0	1	10	0					
		1.79%	1.23%	2.15%	3.68%	2.23%	2.34%	2.97%	2.81%	3.15%	3.93%	2.74%	1.19%	3.08%	3.60%	2.21%	3.33%	1.83%	1.38%	0.46%	1.29%	0.51%	1.39%	0.64%	0.93%	0.81%	0.27%	0.0%	0.94%	1.03%	0.59%	1.07%	0.0%	0.49%	1.07%	0.0%	0.37%	1.02%	1.20%	0.0%	1.01%	1.57%	0.50%	0.0%	0.24%	1.79%	1.47%	3.76%	0.18%	1.04%	0.91%	1.07%	0.38%	1.03%	1.44%	1.08%	1.13%	0.80%	0.0%	0.36%	5.98%	0.0%					
22	"5. ""За Русь Святую"""	121	0	0	2	3	5	3	5	4	5	7	2	11	6	2	6	1	1	1	1	0	0	0	10	0	5	0	1	0	1	2	1	0	1	1	1	2	7	2	2	0	1	1	1	3	0	1	4	1	0	0	1	0	0	0	2	0	0	2	1	2					
		0.38%	0.0%	0.0%	0.23%	0.26%	0.46%	1.11%	0.48%	0.42%	0.33%	0.91%	0.34%	0.86%	0.72%	0.21%	0.43%	0.14%	0.27%	0.23%	0.64%	0.0%	0.0%	0.0%	2.33%	0.0%	0.68%	0.0%	0.23%	0.0%	0.14%	0.42%	0.20%	0.0%	0.13%	0.38%	0.18%	0.51%	0.49%	1.01%	1.01%	0.0%	0.25%	0.75%	0.24%	0.53%	0.0%	0.31%	0.75%	0.20%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	1.13%	0.0%	0.0%	0.72%	0.59%	0.93%					
23	"6. ""Объединенная Российская партия ""Русь"""	58	0	1	0	1	0	0	1	0	2	0	0	4	2	4	0	2	2	1	0	1	0	0	0	2	1	1	1	0	0	0	1	0	0	0	2	3	2	0	1	1	1	1	0	1	0	1	0	1	2	6	0	0	0	3	3	0	0	3	0	0					
		0.18%	0.0%	0.13%	0.0%	0.08%	0.0%	0.0%	0.09%	0.0%	0.13%	0.0%	0.0%	0.31%	0.24%	0.42%	0.0%	0.28%	0.55%	0.23%	0.0%	0.25%	0.0%	0.0%	0.0%	0.81%	0.13%	0.58%	0.23%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.37%	0.76%	0.14%	0.0%	0.50%	0.52%	0.25%	0.75%	0.0%	0.17%	0.0%	0.31%	0.0%	0.20%	1.83%	0.43%	0.0%	0.0%	0.0%	0.81%	1.70%	0.0%	0.0%	1.08%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	197	0	2	8	20	8	3	5	9	7	2	7	10	12	10	19	4	0	2	0	0	0	2	0	0	2	0	3	0	2	4	0	1	1	1	4	3	8	0	1	0	2	2	5	3	0	3	2	4	0	3	5	1	1	1	0	0	0	0	3	2					
		0.63%	0.0%	0.26%	0.92%	1.78%	0.75%	1.11%	0.48%	0.94%	0.47%	0.26%	1.19%	0.79%	1.44%	1.05%	1.37%	0.56%	0.0%	0.46%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.27%	0.0%	0.70%	0.0%	0.29%	0.85%	0.0%	0.49%	0.13%	0.38%	0.75%	0.76%	0.56%	0.0%	0.50%	0.0%	0.50%	1.50%	1.23%	0.53%	0.0%	0.94%	0.37%	0.83%	0.0%	0.21%	1.91%	0.25%	0.72%	0.27%	0.0%	0.0%	0.0%	0.0%	1.79%	0.93%					
25	"8. ""Народно-республиканская партия России"""	39	0	0	1	1	4	0	0	0	0	1	2	0	0	5	2	2	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	3	1	0	0	0	0	0	1	0	4	0	2	0	0	0	0	0	1					
