Выборы Президента Российской Федерации																																																																				
Дата голосования: 02.03.2008																																																																				
																																																																				
Наименование Избирательной комиссии:    Красносельская N 6																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
	Число участковых избирательных комиссий	61																																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	61																																																																		
																																																																				
		Сумма	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891					
1	"Число избирателей, включенных в списки избирателей"	119071	1998	2374	2123	2066	1875	1291	1533	1913	1911	1928	1813	2200	2320	2594	2651	2044	2034	2409	2108	2004	2249	2615	1102	352	1788	1963	2047	1997	2212	2249	2202	2367	2221	2206	1790	2378	1616	2044	2244	2407	1836	1820	347	380	2210	2318	1919	1066	1676	1905	1868	2165	1688	1943	2065	1976	1730	2469	2475	2514	1463					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	117500	2000	2400	2100	2100	1900	1200	1500	1900	1900	1900	1800	2200	2300	2600	2650	2000	2000	2400	2100	1900	2200	2600	1000	350	1750	1900	2000	2000	2200	2200	2200	2300	2200	2200	1750	2350	1600	2000	2150	2400	1800	1700	300	300	2200	2200	2200	1000	1700	1850	1800	2100	1600	1800	2100	1950	1700	2500	2500	2500	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	76155	1186	1459	1147	1269	1166	811	1130	1578	1479	1175	1253	1510	1743	1369	2054	1443	1321	1465	1650	1437	1293	1397	785	280	1307	1363	1320	1323	1278	1391	1386	1567	1269	1407	1045	1676	1262	1529	1432	1534	1111	1213	240	236	1243	1335	1458	774	1346	1028	1072	1199	863	1110	1125	1222	919	1326	1503	1378	965					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3112	25	75	30	17	33	33	24	11	30	22	17	25	121	74	38	67	45	297	32	32	18	657	13	0	31	70	86	36	32	64	22	39	139	24	51	28	51	30	22	29	7	34	0	0	101	50	39	26	20	21	36	39	22	30	15	23	62	30	20	46	1					
6	Число погашенных избирательных бюллетеней	38233	789	866	923	814	701	356	346	311	391	703	530	665	436	1157	558	490	634	638	418	431	889	546	202	70	412	467	594	641	890	745	792	694	792	769	654	646	287	441	696	837	682	453	60	64	856	815	703	200	334	801	692	862	715	660	960	705	719	1144	977	1076	534					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3112	25	75	30	17	33	33	24	11	30	22	17	25	121	74	38	67	45	297	32	32	18	657	13	0	31	70	86	36	32	64	22	39	139	24	51	28	51	30	22	29	7	34	0	0	101	50	39	26	20	21	36	39	22	30	15	23	62	30	20	46	1					
8	Число бюллетеней в стационарных ящиках для голосования	75965	1184	1459	1144	1265	1166	811	1130	1578	1479	1175	1251	1510	1743	1365	2054	1440	1313	1465	1650	1437	1289	1370	785	280	1307	1293	1320	1323	1278	1391	1386	1567	1266	1407	1045	1672	1259	1526	1432	1531	1109	1209	240	236	1243	1328	1457	770	1346	1027	1071	1198	863	1101	1125	1218	919	1326	1503	1369	961					
9	Число недействительных избирательных бюллетеней	1314	14	30	17	18	15	14	23	27	14	24	21	15	26	31	28	27	26	30	20	26	23	31	11	9	25	16	28	24	15	20	15	26	24	9	10	56	18	35	23	32	14	19	8	8	21	19	16	11	92	16	17	24	18	13	15	26	8	18	23	16	16					
10	Число действительных избирательных бюллетеней	77763	1195	1504	1157	1264	1184	830	1131	1562	1495	1173	1247	1520	1838	1408	2064	1480	1332	1732	1662	1443	1284	1996	787	271	1313	1347	1378	1335	1295	1435	1393	1580	1381	1422	1086	1644	1292	1521	1431	1528	1102	1224	232	228	1323	1359	1480	785	1274	1032	1090	1213	867	1118	1125	1215	973	1338	1500	1399	946					
11	Число полученных открепительных  удостоверений	3309	58	57	55	59	51	40	39	47	55	29	49	38	50	75	70	46	55	65	45	34	60	68	29	20	44	36	40	40	56	63	53	50	68	50	32	46	40	56	34	54	48	44	10	20	50	51	380	31	64	40	57	35	47	40	80	52	39	62	64	59	80					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3170	53	57	51	58	51	36	39	47	55	29	48	38	45	75	62	46	54	59	43	30	59	64	29	14	43	36	36	35	52	59	48	50	66	45	31	46	40	56	34	49	43	44	7	14	48	45	375	29	64	38	57	33	46	37	72	49	38	62	64	57	80					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1588	34	28	21	24	18	23	31	31	21	20	36	21	15	10	27	16	34	13	19	57	18	29	37	15	36	35	18	36	47	29	37	34	15	16	29	21	21	25	65	42	7	17	11	21	13	30	18	22	23	20	68	29	16	29	16	59	22	22	17	12	12					
14	Число неиспользованных открепительных удостоверений	139	5	0	4	1	0	4	0	0	0	0	1	0	5	0	8	0	1	6	2	4	1	4	0	6	1	0	4	5	4	4	5	0	2	5	1	0	0	0	0	5	5	0	3	6	2	6	5	2	0	2	0	2	1	3	8	3	1	0	0	2	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	183	2	4	4	2	1	1	4	1	3	2	3	1	4	4	2	0	1	2	2	1	3	2	2	0	10	7	4	3	3	2	3	8	10	9	1	3	6	4	3	4	5	7	0	0	0	3	1	1	1	1	3	7	2	1	5	3	2	2	4	3	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
