Выборы Президента Российской Федерации																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Вольская																																																																																												
																																																																																												
Итоги голосования 																																																																																												
																																																																																												
		Сумма	УИК  335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419					
1	"Число избирателей, внесенных в список"	77000	2186	803	778	2306	1359	403	391	335	636	1356	1038	941	520	990	40	1458	1758	736	1534	1599	1555	1524	3008	2278	1820	250	1692	1611	1828	1072	1585	1201	811	804	687	60	495	945	1137	2381	631	390	941	179	192	503	2643	1759	136	856	529	151	333	721	439	503	741	148	57	372	256	654	152	191	185	511	858	526	368	157	120	500	2986	2354	374	424	975	666	379	256	142	294	2573	705	259					
2	Число полученных избирательных бюллетеней	76600	2200	800	760	2300	1300	400	400	320	640	1330	1040	950	500	970	40	1450	1780	730	1490	1630	1550	1350	2990	2300	1830	250	1650	1600	1800	1050	1580	1220	800	790	680	60	490	950	1140	2400	610	380	920	171	200	515	2780	1670	132	860	535	163	330	730	440	510	745	156	58	375	255	650	152	195	187	500	865	525	365	158	123	510	2950	2390	380	425	970	650	380	252	143	275	2550	695	265					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	52087	1976	462	438	1356	639	213	156	154	404	932	590	491	233	575	40	788	1419	308	1132	876	857	833	2429	1757	1147	250	809	1051	1365	678	1105	683	546	518	325	60	246	444	684	1455	237	154	536	126	192	400	2046	1314	120	689	471	145	265	620	305	391	706	135	51	329	201	482	134	164	138	392	758	360	312	141	113	251	1786	1741	221	371	772	543	333	208	89	203	2060	485	173					
5	"Число избирательных бюллетеней, выданных вне помещения"	4983	31	58	113	73	213	68	61	91	50	68	54	49	49	48	0	99	59	121	45	35	96	159	70	51	48	0	76	100	192	83	81	85	34	90	50	0	71	147	47	56	144	52	75	25	0	9	52	157	0	97	37	6	48	64	90	50	6	6	4	26	46	56	11	8	33	88	45	85	39	0	0	186	27	19	119	18	71	53	9	25	23	8	58	63	24					
6	Число погашенных избирательных бюллетеней	19530	193	280	209	871	448	119	183	75	186	330	396	410	218	347	0	563	302	301	313	719	597	358	491	492	635	0	765	449	243	289	394	452	220	182	305	0	173	359	409	889	229	174	309	20	8	106	682	199	12	74	27	12	17	46	45	69	33	15	3	20	8	112	7	23	16	20	62	80	14	17	10	73	1137	630	40	36	127	54	38	19	31	64	432	147	68					
7	Число избирательных бюллетеней в переносных ящиках	4982	31	58	113	73	213	68	61	91	50	68	54	49	49	48	0	99	59	121	45	35	96	159	70	51	48	0	76	100	192	83	81	85	34	90	50	0	71	147	47	56	144	52	75	25	0	9	52	157	0	97	37	6	48	64	90	50	6	6	4	26	46	56	11	8	33	88	45	85	39	0	0	186	27	19	119	18	71	53	9	25	23	8	57	63	24					
8	Число бюллетеней в стационарных ящиках для голосования	52048	1976	462	438	1356	639	213	156	154	404	932	590	491	233	575	40	788	1419	308	1132	876	857	833	2396	1757	1146	250	807	1051	1365	678	1105	683	546	518	325	60	246	444	684	1455	237	154	536	126	192	400	2046	1314	120	689	471	145	265	620	305	391	706	135	51	329	201	482	134	164	138	392	758	360	312	141	113	251	1786	1741	221	371	772	543	333	208	89	203	2057	485	173					
9	Число недействительных избирательных бюллетеней	739	10	2	1	8	2	2	1	0	4	7	3	4	35	1	0	3	0	0	49	5	3	12	4	8	10	26	0	6	3	5	101	2	2	0	6	0	2	4	10	5	1	1	1	0	0	3	16	11	1	2	12	1	21	6	12	5	16	0	2	1	1	2	1	0	0	2	15	18	0	1	0	1	0	0	8	1	4	2	3	0	0	2	212	6	2					
10	Число действительных избирательных бюллетеней	56291	1997	518	550	1421	850	279	216	245	450	993	641	536	247	622	40	884	1478	429	1128	906	950	980	2462	1800	1184	224	883	1145	1554	756	1085	766	578	608	369	60	315	587	721	1506	380	205	610	151	192	406	2082	1460	119	784	496	150	292	678	383	436	696	141	53	354	246	536	144	172	171	478	788	427	351	140	113	436	1813	1760	332	388	839	594	339	233	112	209	1902	542	195					
