Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Партизанская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1797	УИК №1798	УИК №1799									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8818	295	96	634	359	132	900	60	188	255	106	51	272	214	228	502	507	161	2318	1017	523									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8315	300	95	600	370	130	800	60	190	250	100	50	280	210	220	500	500	160	2000	1000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2808	118	41	176	115	47	280	32	70	77	42	23	85	97	76	177	217	75	656	257	147									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	403	22	6	40	30	21	22	0	9	20	19	6	43	30	26	33	12	11	11	9	33									
6	Число погашенных избирательных бюллетеней	5104	160	48	384	225	62	498	28	111	153	39	21	152	83	118	290	271	74	1333	734	320									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	403	22	6	40	30	21	22	0	9	20	19	6	43	30	26	33	12	11	11	9	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2808	118	41	176	115	47	280	32	70	77	42	23	85	97	76	177	217	75	656	257	147									
9	Число недействительных избирательных бюллетеней	80	3	0	7	0	1	10	0	2	0	3	2	3	3	5	5	4	1	20	7	4									
10	Число действительных избирательных бюллетеней	3131	137	47	209	145	67	292	32	77	97	58	27	125	124	97	205	225	85	647	259	176									
