Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Питкярантская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18191	2793	2524	478	2153	2226	306	768	1751	1151	738	130	361	719	2093									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15837	2300	2300	450	1900	1900	210	700	1500	1000	700	127	350	700	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6041	1008	875	219	770	746	131	243	573	358	219	19	118	163	599									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	330	23	19	2	17	28	11	26	37	7	18	48	8	35	51									
6	Число погашенных избирательных бюллетеней	9465	1269	1406	229	1113	1126	68	430	890	635	463	60	224	502	1050									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	330	23	19	2	17	28	11	26	37	7	18	48	8	35	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6037	1008	875	219	767	746	131	242	573	358	219	19	118	163	599									
9	Число недействительных избирательных бюллетеней	181	26	30	5	25	19	4	8	14	1	13	2	8	4	22									
10	Число действительных избирательных бюллетеней	6186	1005	864	216	759	755	138	260	596	364	224	65	118	194	628									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	481	121	40	20	40	40	15	25	35	30	25	10	15	25	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	34	6	9	0	4	3	1	0	4	0	1	0	5	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	6	5	1	7	3	3	4	1	3	2	3	0	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	447	115	31	20	36	37	14	25	31	30	24	10	10	25	39									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	3	3	3	4	0	1	2	0	1	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	75	11	12	1	7	13	2	0	6	2	6	0	3	2	10									
		1.18%	1.07%	1.34%	0.45%	0.89%	1.68%	1.41%	0.00%	0.98%	0.55%	2.53%	0.00%	2.38%	1.01%	1.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	229	37	31	9	26	31	6	9	22	9	7	4	6	8	24									
		3.60%	3.59%	3.47%	4.07%	3.32%	4.01%	4.23%	3.36%	3.61%	2.47%	2.95%	5.97%	4.76%	4.04%	3.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	167	27	35	8	11	17	3	12	16	10	6	0	4	5	13									
		2.62%	2.62%	3.91%	3.62%	1.40%	2.20%	2.11%	4.48%	2.62%	2.74%	2.53%	0.00%	3.17%	2.53%	2.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2451	405	313	77	287	259	64	78	267	164	96	39	46	102	254									
		38.50%	39.28%	35.01%	34.84%	36.61%	33.46%	45.07%	29.10%	43.77%	44.93%	40.51%	58.21%	36.51%	51.52%	39.08%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	7	1	4	7	8	3	3	4	2	0	1	0	1	3									
		0.69%	0.68%	0.11%	1.81%	0.89%	1.03%	2.11%	1.12%	0.66%	0.55%	0.00%	1.49%	0.00%	0.51%	0.46%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	2	2	0	1	0	0	0	0	1	0	0	1	0	3									
		0.16%	0.19%	0.22%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.79%	0.00%	0.46%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1007	133	134	43	108	138	25	54	94	79	42	8	20	20	109									
		15.82%	12.90%	14.99%	19.46%	13.78%	17.83%	17.61%	20.15%	15.41%	21.64%	17.72%	11.94%	15.87%	10.10%	16.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	38	2	3	1	5	7	1	3	8	5	1	0	1	0	1									
		0.60%	0.19%	0.34%	0.45%	0.64%	0.90%	0.70%	1.12%	1.31%	1.37%	0.42%	0.00%	0.79%	0.00%	0.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	52	12	10	0	0	8	0	5	3	3	2	0	1	5	3									
