Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Пий-Хемская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6245	550	601	852	1074	258	471	290	345	467	380	492	253	212									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7578	545	703	1007	1395	313	635	370	469	604	413	581	269	274									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5294	473	526	726	840	231	434	253	291	428	370	383	205	134									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	444	16	5	25	27	5	37	37	54	35	10	83	36	74									
6	Число погашенных избирательных бюллетеней	1840	56	172	256	528	77	164	80	124	141	33	115	28	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	408	16	5	25	27	5	37	37	54	35	10	47	36	74									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5293	472	526	726	840	231	434	253	291	428	370	383	205	134									
9	Число недействительных избирательных бюллетеней	353	6	33	7	236	11	4	1	37	13	0	5	0	0									
10	Число действительных избирательных бюллетеней	5348	482	498	744	631	225	467	289	308	450	380	425	241	208									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	110	5	15	16	16	5	11	7	10	5	10	5	0	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	110	5	15	16	16	5	11	7	10	5	10	5	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	0	3	0	0	2	3	0	2	4	2	1	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	3	1	2	4	2	3	1	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
