Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Новокузнецк Заводская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67857	665	2825	2267	1184	1571	1232	1374	941	2063	1640	1652	2111	1970	1875	1436	1742	1518	2244	1837	2121	2308	2058	2188	1793	2407	1874	972	1956	2088	2580	2197	2280	2156	1378	1285	1621	1240	1208									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62250	650	2500	2000	1000	1500	1100	1500	900	2000	1500	1500	2000	1800	1700	1400	1600	1400	2000	1700	2000	2100	1900	2000	1700	2300	1700	900	1800	1900	2300	2000	2000	2000	1300	1200	1500	900	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	55714	600	2285	1777	958	1269	881	1254	835	1689	1372	1488	1744	1739	1654	1332	1400	1226	1581	1400	1854	1975	1617	1946	1522	2112	1491	768	1578	1675	2066	1747	1834	1939	1107	1167	1304	687	841									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2178	34	29	98	11	59	144	120	38	53	28	9	23	35	32	9	24	23	183	94	141	29	82	54	41	39	45	27	31	41	42	54	37	29	19	29	23	210	159									
6	Число погашенных избирательных бюллетеней	4358	16	186	125	31	172	75	126	27	258	100	3	233	26	14	59	176	151	236	206	5	96	201	0	137	149	164	105	191	184	192	199	129	32	174	4	173	3	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2178	34	29	98	11	59	144	120	38	53	28	9	23	35	32	9	24	23	183	94	141	29	82	54	41	39	45	27	31	41	42	54	37	29	19	29	23	210	159									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	55527	600	2285	1777	958	1268	881	1254	835	1687	1372	1488	1744	1739	1654	1332	1400	1226	1572	1400	1854	1911	1617	1946	1493	2037	1491	768	1578	1675	2059	1747	1834	1939	1107	1167	1304	687	841									
9	Число недействительных избирательных бюллетеней	527	7	117	21	40	18	8	12	1	10	18	0	20	19	0	0	0	0	20	12	0	35	0	5	37	19	3	3	11	0	5	5	17	0	11	0	4	0	49									
10	Число действительных избирательных бюллетеней	57178	627	2197	1854	929	1309	1017	1362	872	1730	1382	1497	1747	1755	1686	1341	1424	1249	1735	1482	1995	1905	1699	1995	1497	2057	1533	792	1598	1716	2096	1796	1854	1968	1115	1196	1323	897	951									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1326	35	35	35	35	35	35	35	35	35	35	35	35	35	35	34	35	35	35	35	35	35	34	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	33									
