Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Павловская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186					
1	"Число избирателей, внесенных в список избирателей"	34089	1828	1829	2047	1678	1535	1718	1569	312	686	222	846	758	947	336	387	133	121	240	1223	207	1368	1580	849	994	331	2752	1720	402	186	1200	64	2106	523	62	189	903	238					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33220	1750	1750	1950	1650	1450	1750	1500	300	700	220	800	750	950	335	390	130	125	240	1100	200	1300	1500	850	1000	320	2700	1650	400	185	1200	60	2100	540	60	185	900	230					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16297	1019	965	838	756	910	860	733	164	370	136	416	360	403	159	228	93	74	113	461	147	472	665	224	436	134	1277	1002	262	97	524	33	952	239	42	119	491	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1208	38	52	118	149	43	66	61	11	22	13	44	23	61	11	18	6	0	9	70	6	28	27	33	41	23	50	43	10	5	23	11	30	16	10	9	19	9					
6	Число погашенных избирательных бюллетеней	15715	693	733	994	745	497	824	706	125	308	71	340	367	486	165	144	31	51	118	569	47	800	808	593	523	163	1373	605	128	83	653	16	1118	285	8	57	390	98					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1207	38	52	118	149	43	65	61	11	22	13	44	23	61	11	18	6	0	9	70	6	28	27	33	41	23	50	43	10	5	23	11	30	16	10	9	19	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16282	1015	964	838	755	907	859	733	164	370	136	416	360	403	158	228	93	74	113	461	147	472	665	224	436	134	1273	1002	262	97	524	33	952	239	42	119	491	123					
9	Число недействительных избирательных бюллетеней	457	25	13	22	51	23	15	18	7	9	6	9	9	11	4	5	3	2	0	16	4	16	25	6	11	5	44	30	9	5	14	1	20	8	1	5	5	0					
10	Число действительных избирательных бюллетеней	17032	1028	1003	934	853	927	909	776	168	383	143	451	374	453	165	241	96	72	122	515	149	484	667	251	466	152	1279	1015	263	97	533	43	962	247	51	123	505	132					
