Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Красноселькупская															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5032	2001	1539	1330	162									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4969	1900	1500	1400	169									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	908	401	357	89	61									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3686	1412	1057	1119	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	112	36	34	42	0									
6	Число погашенных избирательных бюллетеней	263	51	52	150	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1020	437	391	131	61									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3683	1412	1057	1116	98									
9	Число недействительных избирательных бюллетеней	35	14	12	7	2									
10	Число действительных избирательных бюллетеней	4668	1835	1436	1240	157									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	307	90	80	117	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	302	88	79	117	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	25	7	12	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	5	2	1	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	83	46	31	2	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	41	17	15	9	0									
		0.87%	0.92%	1.04%	0.72%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	41	13	21	7	0									
		0.87%	0.70%	1.45%	0.56%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	31	8	17	6	0									
		0.66%	0.43%	1.17%	0.48%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3841	1516	1171	1016	138									
		81.67%	81.99%	80.87%	81.48%	86.79%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	3	4	1	2									
		0.21%	0.16%	0.28%	0.08%	1.26%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	7	1	3	0									
		0.23%	0.38%	0.07%	0.24%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	278	110	80	75	13									
		5.91%	5.95%	5.52%	6.01%	8.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	4	6	2	0									
		0.26%	0.22%	0.41%	0.16%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	11	9	5	0									
		0.53%	0.59%	0.62%	0.40%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	9	1	7	0									
		0.36%	0.49%	0.07%	0.56%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	53	19	17	17	0									
		1.13%	1.03%	1.17%	1.36%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	182	73	58	48	3									
		3.87%	3.95%	4.01%	3.85%	1.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	8	7	20	0									
		0.74%	0.43%	0.48%	1.60%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	91	37	29	24	1									
		1.93%	2.00%	2.00%	1.92%	0.63%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
