Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Зверевская городская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236					
1	"Число избирателей, внесенных в список"	21549	917	2051	1789	1071	2290	2052	2564	1488	2205	1403	2240	1479					
2	Число полученных избирательных бюллетеней	22043	975	2100	1807	1121	2302	2105	2573	1541	2153	1434	2340	1592					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15592	745	1585	1192	750	1801	1475	1814	1078	1908	682	1739	823					
5	"Число избирательных бюллетеней, выданных вне помещения"	1452	35	105	132	89	44	64	102	38	168	372	53	250					
6	Число погашенных избирательных бюллетеней	4999	195	410	483	282	457	566	657	425	77	380	548	519					
7	Число избирательных бюллетеней в переносных ящиках	1452	35	105	132	89	44	64	102	38	168	372	53	250					
8	Число бюллетеней в стационарных ящиках для голосования	15592	745	1585	1192	750	1801	1475	1814	1078	1908	682	1739	823					
9	Число недействительных избирательных бюллетеней	142	11	41	7	29	4	9	10	2	9	1	13	6					
10	Число действительных избирательных бюллетеней	16902	769	1649	1317	810	1841	1530	1906	1114	2067	1053	1779	1067					
11	Число полученных открепительных  удостоверений	494	30	30	30	30	30	30	30	31	30	20	40	163					
12	Число выданных открепительных удостоверений	429	9	30	18	30	28	17	30	28	30	6	40	163					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	1	1	7	5	5	5	8	2	0	4	6	2					
14	Число неиспользованных открепительных удостоверений	65	21	0	12	0	2	13	0	3	0	14	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	2	0	1	1	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	566	19	34	35	31	67	78	72	53	53	34	63	27					
		3.32%	2.44%	2.01%	2.64%	3.69%	3.63%	5.07%	3.76%	4.75%	2.55%	3.23%	3.52%	2.52%					
19	. Малышкин Олег Александрович	552	33	42	30	34	68	48	50	39	61	39	62	46					
		3.24%	4.23%	2.49%	2.27%	4.05%	3.69%	3.12%	2.61%	3.49%	2.94%	3.70%	3.46%	4.29%					
20	. Миронов Сергей Михайлович	92	14	10	7	4	8	8	5	4	4	7	17	4					
		0.54%	1.79%	0.59%	0.53%	0.48%	0.43%	0.52%	0.26%	0.36%	0.19%	0.66%	0.95%	0.37%					
21	. Путин Владимир Владимирович	12689	594	1355	909	605	1429	1151	1480	836	1677	763	1052	838					
		74.45%	76.15%	80.18%	68.66%	72.11%	77.45%	74.79%	77.24%	74.91%	80.78%	72.39%	58.71%	78.10%					
22	. Хакамада Ирина Муцуовна	236	12	15	20	9	25	22	19	12	18	13	56	15					
		1.38%	1.54%	0.89%	1.51%	1.07%	1.36%	1.43%	0.99%	1.08%	0.87%	1.23%	3.12%	1.40%					
23	. Харитонов Николай Михайлович	2095	95	172	276	96	200	168	234	106	213	170	255	110					
		12.29%	12.18%	10.18%	20.85%	11.44%	10.84%	10.92%	12.21%	9.50%	10.26%	16.13%	14.23%	10.25%					
																			
24	Против всех	672	2	21	40	31	44	55	46	64	41	27	274	27					
		3.94%	0.26%	1.24%	3.02%	3.69%	2.38%	3.57%	2.40%	5.73%	1.97%	2.56%	15.29%	2.52%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
