Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Яковлевская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222					
1	"Число избирателей, внесенных в списки"	14262	2028	629	725	607	75	393	334	282	110	195	340	98	100	94	1174	856	177	352	554	771	465	2373	359	174	702	238	57					
2	"Число бюллетеней, полученных участковыми комиссиями"	12935	1803	628	658	540	68	347	292	426	98	172	305	87	90	83	1053	765	159	307	495	679	404	2077	314	152	679	199	55					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8435	1184	581	361	320	54	242	220	273	85	112	253	83	71	64	620	555	128	204	173	351	196	1184	135	118	662	151	55					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	527	44	0	28	6	8	14	18	9	8	15	17	3	8	3	75	53	18	51	16	26	8	22	41	9	17	10	0					
6	Число погашенных бюллетеней	3973	575	47	269	214	6	91	54	144	5	45	35	1	11	16	358	157	13	52	306	302	200	871	138	25	0	38	0					
7	Число бюллетеней в переносных ящиках для голосования	527	44	0	28	6	8	14	18	9	8	15	17	3	8	3	75	53	18	51	16	26	8	22	41	9	17	10	0					
8	Число бюллетеней в стационарных ящиках для голосования	8410	1182	581	361	319	54	242	220	273	85	112	253	83	71	64	620	555	128	204	173	351	196	1162	135	118	662	151	55					
9	Число недействительных бюллетеней	136	24	2	8	6	2	5	6	4	1	0	2	0	4	1	21	12	5	8	0	7	1	12	0	0	2	2	1					
10	Число действительных бюллетеней	8801	1202	579	381	319	60	251	232	278	92	127	268	86	75	66	674	596	141	247	189	370	203	1172	176	127	677	159	54					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	199	20	15	10	12	5	5	5	5	5	5	11	5	5	2	15	5	5	3	10	10	5	17	4	3	6	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	54	4	2	0	6	1	2	0	3	1	0	10	0	1	0	7	5	0	1	0	1	0	7	1	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	4	2	1	6	0	0	3	1	1	2	1	0	1	0	2	1	0	8	2	3	0	0	6	4	3	2	2					
14	Число погашенных открепительных удостоверений	145	16	13	10	6	4	3	5	2	4	5	1	5	4	2	8	0	5	2	10	9	5	10	3	3	6	1	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	112	11	4	3	8	1	8	4	4	2	1	5	3	1	2	11	6	1	3	0	4	2	12	1	0	14	0	1					
		1.25%	0.89%	0.68%	0.77%	2.46%	1.61%	3.12%	1.68%	1.41%	2.15%	0.78%	1.85%	3.48%	1.26%	2.98%	1.58%	0.98%	0.68%	1.17%	0.0%	1.06%	0.98%	1.01%	0.56%	0.0%	2.06%	0.0%	1.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	133	19	26	12	4	2	2	1	2	1	1	2	1	0	2	4	6	2	2	5	0	0	14	0	1	21	2	1					
		1.48%	1.54%	4.47%	3.08%	1.23%	3.22%	0.78%	0.42%	0.70%	1.07%	0.78%	0.74%	1.16%	0.0%	2.98%	0.57%	0.98%	1.36%	0.78%	2.64%	0.0%	0.0%	1.18%	0.0%	0.78%	3.09%	1.24%	1.81%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	173	39	1	6	4	0	2	8	10	5	3	8	1	3	0	13	10	0	2	3	3	7	22	10	2	8	3	0					
		1.93%	3.18%	0.17%	1.54%	1.23%	0.0%	0.78%	3.36%	3.54%	5.37%	2.36%	2.96%	1.16%	3.79%	0.0%	1.87%	1.64%	0.0%	0.78%	1.58%	0.79%	3.43%	1.85%	5.68%	1.57%	1.17%	1.86%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	191	25	23	10	15	1	10	6	6	0	1	1	0	1	1	8	13	5	3	3	8	3	31	1	2	10	3	1					
		2.13%	2.03%	3.95%	2.57%	4.61%	1.61%	3.90%	2.52%	2.12%	0.0%	0.78%	0.37%	0.0%	1.26%	1.49%	1.15%	2.13%	3.42%	1.17%	1.58%	2.12%	1.47%	2.61%	0.56%	1.57%	1.47%	1.86%	1.81%					
22	"5. ""За Русь Святую"""	38	9	0	1	1	0	0	1	1	0	0	2	1	0	0	2	3	1	0	2	0	0	10	0	0	3	1	0					
		0.42%	0.73%	0.0%	0.25%	0.30%	0.0%	0.0%	0.42%	0.35%	0.0%	0.0%	0.74%	1.16%	0.0%	0.0%	0.28%	0.49%	0.68%	0.0%	1.05%	0.0%	0.0%	0.84%	0.0%	0.0%	0.44%	0.62%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	5	5	2	1	0	2	0	4	0	0	0	0	0	0	2	0	0	1	1	1	1	3	0	0	7	0	0					
		0.39%	0.40%	0.86%	0.51%	0.30%	0.0%	0.78%	0.0%	1.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.39%	0.52%	0.26%	0.49%	0.25%	0.0%	0.0%	1.03%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	97	19	11	4	7	0	3	2	2	0	0	3	1	0	0	4	5	0	0	4	2	3	16	1	1	8	1	0					
		1.08%	1.54%	1.89%	1.02%	2.15%	0.0%	1.17%	0.84%	0.70%	0.0%	0.0%	1.11%	1.16%	0.0%	0.0%	0.57%	0.82%	0.0%	0.0%	2.11%	0.53%	1.47%	1.35%	0.56%	0.78%	1.17%	0.62%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0					
		0.07%	0.0%	0.0%	0.25%	0.0%	1.61%	0.39%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	1	4	1	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	3	0	0	12	0	0					
