Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Тулунская городская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292					
1	"Число избирателей, внесенных в списки избирателей"	37173	587	1304	709	1045	1336	771	1057	985	1504	993	522	923	868	1017	756	718	928	1039	1038	1035	568	531	934	943	1256	1342	1324	595	563	954	1308	677	963	709	847	834	1044	1453	357	401	435					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35400	500	1200	700	1000	1200	850	900	900	1300	900	500	900	850	1000	700	700	850	1900	950	1000	500	500	900	900	1100	1200	1200	500	500	900	1200	650	900	700	750	750	950	1300	350	450	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18261	265	642	362	481	413	322	694	468	772	446	209	581	445	575	319	304	295	507	451	520	236	277	319	368	650	953	559	315	249	439	351	260	566	324	499	534	582	923	246	401	139					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2996	74	57	41	91	169	65	39	38	16	190	82	25	39	38	107	83	49	44	24	88	115	73	59	85	71	93	163	121	111	81	222	65	24	23	44	6	151	39	0	0	91					
6	Число погашенных избирательных бюллетеней	14143	161	501	297	428	618	463	167	394	512	264	209	294	366	387	274	313	506	1349	475	392	149	150	522	447	379	154	478	64	140	380	627	325	310	353	207	210	217	338	104	49	170					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2996	74	57	41	91	169	65	39	38	16	190	82	25	39	38	107	83	49	44	24	88	115	73	59	85	71	93	163	121	111	81	222	65	24	23	44	6	151	39	0	0	91					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18261	265	642	362	481	413	322	694	468	772	446	209	581	445	575	319	304	295	507	451	520	236	277	319	368	650	953	559	315	249	439	351	260	566	324	499	534	582	923	246	401	139					
9	Число недействительных избирательных бюллетеней	152	3	2	3	0	7	4	6	5	10	0	2	1	4	8	2	6	1	2	7	5	3	7	2	4	5	2	10	0	4	1	2	3	4	3	3	5	7	7	1	0	1					
10	Число действительных избирательных бюллетеней	21105	336	697	400	572	575	383	727	501	778	636	289	605	480	605	424	381	343	549	468	603	348	343	376	449	716	1044	712	436	356	519	571	322	586	344	540	535	726	955	245	401	229					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	608	14	15	12	15	15	15	15	15	25	15	15	15	20	15	15	15	15	25	15	15	15	15	17	15	15	20	20	20	10	20	15	10	15	15	13	12	15	15	0	0	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	483	14	11	7	9	13	12	14	9	24	14	5	14	17	14	11	8	15	25	15	15	9	7	16	13	14	19	20	20	6	11	9	6	5	9	11	12	15	10	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	363	3	4	3	4	4	8	4	3	2	20	6	5	3	4	5	5	0	18	4	10	2	3	2	3	1	3	84	14	13	39	12	7	4	6	11	3	2	1	1	31	6					
14	Число погашенных неиспользованных открепительных удостоверений	125	0	4	5	6	2	3	1	6	1	1	10	1	3	1	4	7	0	0	0	0	6	8	1	2	1	1	0	0	4	9	6	4	10	6	2	0	0	5	0	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	90	1	0	1	3	4	5	9	2	6	4	0	2	2	4	4	1	1	2	1	1	2	1	1	4	2	1	5	1	2	4	5	1	0	1	1	2	1	2	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
