Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Сельцовская городская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946					
1	"Число избирателей, внесенных в списки"	16025	2501	2450	2630	2542	660	1599	1798	1576	269					
2	"Число бюллетеней, полученных участковыми комиссиями"	16000	2500	2430	2660	2540	660	1610	1780	1560	260					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8579	1318	1427	1592	1308	410	853	912	631	128					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	264	23	25	29	57	5	45	40	19	21					
6	Число погашенных бюллетеней	7157	1159	978	1039	1175	245	712	828	910	111					
7	Число бюллетеней в переносных ящиках для голосования	264	23	25	29	57	5	45	40	19	21					
8	Число бюллетеней в стационарных ящиках для голосования	8577	1318	1425	1592	1308	410	853	912	631	128					
9	Число недействительных бюллетеней	137	12	25	26	12	7	14	12	29	0					
10	Число действительных бюллетеней	8704	1329	1425	1595	1353	408	884	940	621	149					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	30	30	30	30	10	20	20	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	13	12	11	5	4	2	3	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1378	1	7	2	1353	2	2	3	5	3					
14	Число погашенных открепительных удостоверений	149	17	18	19	25	6	18	17	20	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	102	16	18	13	11	7	14	9	12	2					
		1.15%	1.19%	1.24%	0.80%	0.80%	1.68%	1.55%	0.94%	1.84%	1.34%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	250	41	46	46	29	15	37	15	16	5					
		2.82%	3.05%	3.17%	2.83%	2.12%	3.61%	4.12%	1.57%	2.46%	3.35%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	132	44	21	21	18	0	10	14	4	0					
		1.49%	3.28%	1.44%	1.29%	1.31%	0.0%	1.11%	1.47%	0.61%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	206	31	30	45	38	16	19	15	8	4					
		2.33%	2.31%	2.06%	2.77%	2.78%	3.85%	2.11%	1.57%	1.23%	2.68%					
22	"5. ""За Русь Святую"""	37	5	4	8	4	1	3	6	5	1					
		0.41%	0.37%	0.27%	0.49%	0.29%	0.24%	0.33%	0.63%	0.76%	0.67%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	4	1	1	7	0	5	1	1	0					
		0.22%	0.29%	0.06%	0.06%	0.51%	0.0%	0.55%	0.10%	0.15%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	48	14	1	4	13	2	4	5	4	1					
		0.54%	1.04%	0.06%	0.24%	0.95%	0.48%	0.44%	0.52%	0.61%	0.67%					
25	"8. ""Народно-республиканская партия России"""	12	0	6	1	2	0	1	0	1	1					
		0.13%	0.0%	0.41%	0.06%	0.14%	0.0%	0.11%	0.0%	0.15%	0.67%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	3	3	6	2	0	5	2	1	0					
		0.24%	0.22%	0.20%	0.37%	0.14%	0.0%	0.55%	0.21%	0.15%	0.0%					
27	"10. ""Аграрная партия России"""	249	36	30	66	39	7	30	27	12	2					
		2.81%	2.68%	2.06%	4.07%	2.85%	1.68%	3.34%	2.83%	1.84%	1.34%					
28	"11. ""Истинные патриоты России"""	14	0	1	0	2	0	4	4	3	0					
		0.15%	0.0%	0.06%	0.0%	0.14%	0.0%	0.44%	0.42%	0.46%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	108	18	15	23	22	1	12	8	9	0					
		1.22%	1.34%	1.03%	1.41%	1.61%	0.24%	1.33%	0.84%	1.38%	0.0%					
30	"13. ""Демократическая партия России"""	26	2	2	3	2	2	2	5	7	1					
		0.29%	0.14%	0.13%	0.18%	0.14%	0.48%	0.22%	0.52%	1.07%	0.67%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	3	2	19	1	0	1	0	0	1					
		0.30%	0.22%	0.13%	1.17%	0.07%	0.0%	0.11%	0.0%	0.0%	0.67%					
32	"15. ""Партия СЛОН"""	17	2	4	4	3	1	2	1	0	0					
		0.19%	0.14%	0.27%	0.24%	0.21%	0.24%	0.22%	0.10%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	811	136	146	141	125	44	68	101	32	18					
		9.17%	10.14%	10.06%	8.69%	9.15%	10.60%	7.57%	10.60%	4.92%	12.08%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	2	4	3	11	2	7	2	5	3					
		0.44%	0.14%	0.27%	0.18%	0.80%	0.48%	0.77%	0.21%	0.76%	2.01%					
35	"18. ""ЛДПР"""	987	176	143	158	153	32	110	110	86	19					
		11.16%	13.12%	9.86%	9.74%	11.20%	7.71%	12.24%	11.55%	13.23%	12.75%					
