Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Ачитская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №151	УИК №152	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14095	2092	2086	549	195	217	201	897	266	270	94	446	122	135	218	739	212	104	188	600	173	381	398	65	287	125	71	211	74	89	84	921	1585									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10730	1500	1500	400	150	160	150	650	200	200	80	320	90	110	170	530	150	80	150	500	150	300	300	50	210	100	60	170	60	70	70	700	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	121	0	33	0	0	0	49	0	0	0	0	0	11	0	0	0	0	13	3	0	0	0	0	0	0	12	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6481	1064	883	282	110	124	52	392	102	96	45	211	48	83	103	274	86	29	77	293	83	197	186	41	186	54	43	122	46	59	40	399	671									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	474	61	37	10	4	18	4	25	8	4	4	9	3	12	9	45	18	4	8	23	4	23	14	9	16	3	2	6	2	4	12	27	46									
6	Число погашенных избирательных бюллетеней	3654	375	547	108	36	18	45	233	90	100	31	100	28	15	58	211	46	34	62	184	63	80	100	0	8	31	15	42	12	7	18	274	683									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	595	61	70	10	4	18	53	25	8	4	4	9	14	12	9	45	18	17	11	23	4	23	14	9	16	15	2	6	2	4	12	27	46									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6481	1064	883	282	110	124	52	392	102	96	45	211	48	83	103	274	86	29	77	293	83	197	186	41	186	54	43	122	46	59	40	399	671									
9	Число недействительных избирательных бюллетеней	200	38	29	3	6	4	5	5	6	0	4	13	1	2	2	10	1	2	3	4	3	5	5	0	8	1	1	4	0	3	0	9	23									
10	Число действительных избирательных бюллетеней	6876	1087	924	289	108	138	100	412	104	100	45	207	61	93	110	309	103	44	85	312	84	215	195	50	194	68	44	124	48	60	52	417	694									
