Выборы Президента Российской Федерации																																																																																																																			
Дата голосования: 18.03.2018																																																																																																																			
																																																																																																																			
"Наименование Избирательной комиссии:    Самара, Промышленная"																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования																																																																																																																			
																																																																																																																			
	Число участковых избирательных комиссий	104																																																																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	104																																																																																																																	
																																																																																																																			
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5025	УИК №5026	УИК №5027	УИК №5028	УИК №5029	УИК №5030	УИК №5031	УИК №5032	УИК №5033	УИК №5034	УИК №5035	УИК №5036	УИК №5037	УИК №5038	УИК №5039	УИК №5040	УИК №5041	УИК №5042	УИК №5043	УИК №5044	УИК №5045	УИК №5046	УИК №5047	УИК №5048	УИК №5049	УИК №5050	УИК №5051	УИК №5052	УИК №5053	УИК №5054	УИК №5055	УИК №5056	УИК №5057	УИК №5058	УИК №5059	УИК №5060	УИК №5061	УИК №5062	УИК №5063	УИК №5064	УИК №5065	УИК №5066	УИК №5067	УИК №5068	УИК №5069	УИК №5070	УИК №5071	УИК №5072	УИК №5073	УИК №5074	УИК №5075	УИК №5076	УИК №5077	УИК №5078	УИК №5079	УИК №5080	УИК №5081	УИК №5082	УИК №5083	УИК №5084	УИК №5085	УИК №5086	УИК №5087	УИК №5088	УИК №5089	УИК №5090	УИК №5091	УИК №5092	УИК №5093	УИК №5094	УИК №5095	УИК №5096	УИК №5097	УИК №5098	УИК №5099	УИК №5100	УИК №5101	УИК №5102	УИК №5103	УИК №5104									
1	"Число избирателей, включенных в список избирателей"	212451	2875	1909	2452	1631	1877	1914	1511	1733	1740	2014	1980	2297	2088	2555	2335	2085	2360	1662	2440	1508	2025	2031	1562	2236	1911	1685	2688	2424	2175	1459	2428	2109	1557	949	1932	1801	2440	2236	1788	1826	2321	2432	2313	2103	1702	2359	1838	1992	1763	1774	1980	1992	2302	2122	1960	1788	2017	2074	1964	2342	2443	2381	2098	1836	2151	1838	1884	3238	2230	2427	2090	1999	2111	2144	2198	2007	2055	1956	2124	1882	2053	1959	1757	1523	2662	1890	2131	2518	2329	2448	2419	3101	2240	2047	2593	2337	2843	2665	2246	2635	341	315	178	763									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	184600	2500	1500	2000	1500	1500	1500	1450	1500	1500	2000	1500	2000	2000	2000	2000	2000	2000	1500	2500	1500	1500	1500	1500	2000	1500	1500	2500	2000	2000	1000	2000	2000	1500	1500	2000	1500	2500	2000	1500	1500	2000	2000	2000	2000	1500	2000	1500	1500	1500	1500	1500	1500	2000	2000	1500	1500	2000	2000	2000	2000	2000	2000	2000	1500	2000	1500	1500	2500	2000	2000	2000	1500	2000	2000	2000	1500	2000	1500	2000	1500	1500	1500	1500	1400	2500	1500	1750	2000	2000	2000	2000	2500	2000	2000	2000	2000	2500	2000	2000	2000	500	500	500	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	122852	1838	1049	1233	810	995	1158	792	934	992	1067	1175	1227	1106	1473	1160	1041	1322	803	1683	935	1084	1190	862	1157	996	875	1343	1336	992	563	1325	1159	805	915	1164	969	1409	1272	1028	958	1334	1324	1204	1247	987	1361	984	1109	1014	1063	1243	1219	1378	1273	1397	1356	1193	1335	1249	1405	1458	1447	1273	1028	1309	1000	989	1954	1391	1334	1228	1205	1169	1208	1305	1126	1218	1191	1325	1192	1275	1135	1081	982	1568	1183	1332	1387	1298	1464	1429	1762	1290	1075	1658	1355	1631	1573	1333	1603	118	313	137	650									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6117	31	49	35	32	58	14	70	33	35	107	46	55	37	67	46	85	41	45	24	32	180	29	44	47	65	65	36	41	91	182	27	89	47	34	83	70	35	45	44	75	72	131	104	51	48	55	46	81	77	41	51	66	88	70	50	37	70	54	50	24	30	53	27	76	70	63	76	37	32	68	56	72	68	44	80	37	51	46	42	55	76	39	43	43	42	42	40	47	76	39	37	32	254	103	29	26	134	32	38	28	195	0	41	61									
6	Число погашенных избирательных бюллетеней	55629	631	402	732	658	447	328	588	533	473	826	279	718	857	460	794	874	637	652	793	533	236	281	594	796	439	560	1121	623	917	255	648	752	648	551	753	461	1054	683	428	467	594	545	692	702	465	584	470	310	409	396	206	215	534	657	53	107	737	611	701	571	512	500	700	396	621	437	435	509	577	598	716	223	763	748	615	337	731	263	633	253	149	326	376	375	890	275	378	566	626	497	534	706	456	822	313	619	735	395	629	369	187	187	322	289									
