Выборы Президента Российской Федерации																																																																																																											
Дата голосования: 02.03.2008																																																																																																											
																																																																																																											
"Наименование Избирательной комиссии:    Самара, Промышленная"																																																																																																											
																																																																																																											
Сводная таблица результатов выборов																																																																																																											
																																																																																																											
	Число участковых избирательных комиссий	100																																																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	100																																																																																																									
																																																																																																											
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
1	"Число избирателей, включенных в списки избирателей"	213881	2555	1884	2385	1850	1992	1502	1907	1723	1988	2477	1466	1147	2071	1876	1213	1555	1659	1941	2289	1022	1838	1710	2049	1784	2281	2110	2091	1992	2512	2287	1691	1459	2696	2270	1898	1989	2289	1938	2840	2251	1973	2073	2058	1940	1985	1900	2366	1914	2627	2129	2150	1944	1960	2124	2529	2172	2098	2202	2199	2483	2357	2300	2044	2298	2427	2163	2566	2221	2833	2752	2620	2093	2051	2157	2437	2544	1561	1829	2293	1723	2045	2097	2073	2023	1943	2469	1915	2419	2385	2042	1917	2656	2748	2572	2641	2744	2791	2720	2590	2519					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	190000	2500	1500	2000	1500	2000	1500	1500	1500	2000	2000	1000	1000	2000	1500	1000	1500	1500	1500	2000	1000	1500	1500	1500	1500	2000	2000	2000	1500	2500	2000	1500	1500	2500	2000	1500	2000	2000	1500	2000	2000	2000	2000	2000	1500	1500	1500	2000	1500	2500	2000	2000	2000	2000	2000	2500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2500	2000	2500	2500	2500	2000	2000	2000	2000	2500	1500	1500	2000	1500	2000	2000	2000	2000	1500	2000	1500	2000	2000	1500	1500	2500	2500	2500	2500	2500	2500	2500	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	111703	1424	769	941	665	921	1426	798	758	947	1059	547	512	1878	1406	555	746	695	700	992	564	689	842	834	904	1024	926	845	836	970	987	604	379	1091	1819	1411	855	1101	907	1357	993	979	886	1031	816	996	798	1847	1336	1294	816	994	1088	1086	1005	2341	1916	888	1142	1194	1178	1177	1146	985	1167	1811	1017	1294	1084	1431	1320	1187	1397	942	1046	1147	1236	777	932	1112	1361	954	1039	1003	1024	898	1120	936	1240	1178	1015	797	2360	2379	2444	1227	1078	2226	1363	1320	1225					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	7592	14	60	50	125	128	54	86	59	37	168	39	34	106	28	62	38	59	197	231	90	87	63	230	79	554	213	70	196	94	90	93	134	57	86	58	98	48	42	42	61	71	68	102	82	59	127	57	55	81	80	50	97	44	62	57	48	54	53	57	66	47	47	38	55	86	40	13	25	38	37	83	88	52	41	20	39	19	44	35	41	39	38	37	42	26	41	77	47	49	30	68	94	28	25	118	66	219	36	180	14					
6	Число погашенных избирательных бюллетеней	70705	1062	671	1009	710	951	20	616	683	1016	773	414	454	16	66	383	716	746	603	777	346	724	595	436	517	422	861	1085	468	1436	923	803	987	1352	95	31	1047	851	551	601	946	950	1046	867	602	445	575	96	109	1125	1104	956	815	870	933	102	36	1058	805	749	756	776	807	977	778	103	943	1193	891	1031	1143	1230	515	1006	913	833	1225	704	524	853	98	1007	923	960	934	576	839	487	713	773	455	635	46	93	31	1155	1356	55	1101	500	761					
