Выборы Президента Российской Федерации																																																																																																											
																																																																																																											
"Наименование Избирательной комиссии:    Самара, Промышленная"																																																																																																											
																																																																																																											
Итоги голосования 																																																																																																											
																																																																																																											
		Сумма	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716					
1	"Число избирателей, внесенных в список"	216924	2355	1793	2261	1819	2047	1660	1965	1792	2069	2229	1512	1156	2156	1890	1236	1566	1685	1802	2324	1224	1891	1812	1636	1828	2425	2162	2126	2035	2322	2174	1720	1576	2277	2196	1960	2035	2335	2989	2486	2187	2076	2085	2140	2049	2048	2005	2453	1982	2621	2184	2372	2224	2311	2174	2205	2124	2142	2275	2262	2391	2371	2353	2091	2433	2523	2212	2749	2583	2398	2497	2672	2939	2054	2206	2611	2644	1963	1898	2093	1880	2248	2285	2178	2157	2037	2344	2021	2490	2477	2002	2021	2299	2550	2516	2730	2795	2750	2705	2283	2030					
2	Число полученных избирательных бюллетеней	209200	2100	1700	2100	1800	2000	1500	1900	1700	2000	2200	1500	1100	2100	1800	1200	1500	1600	1800	2300	1100	1800	1700	1400	1800	2100	2000	1900	2000	2200	2100	1700	1500	2200	2100	1900	2000	2300	2900	2100	2100	2000	2000	2000	2000	2000	2000	2400	1900	2500	2100	2300	2200	2200	2100	2200	2100	2100	2200	2200	2300	2300	2300	2000	2400	2500	2200	2800	2400	2400	2400	2800	2800	2000	2100	2500	2600	1900	1900	2000	1800	2200	2200	2100	2100	2000	2300	2000	2400	2400	1900	2000	2200	2500	2500	2500	2700	2700	2700	2200	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	109840	1195	800	956	788	973	857	1017	878	1071	1096	662	594	1149	930	552	856	827	724	1109	592	853	945	696	1020	1007	1101	1017	931	986	1170	896	752	1025	1155	913	1021	1348	2007	1463	1143	1132	1017	1168	973	1102	997	1263	1065	1343	1020	1208	1217	1226	1230	1149	1167	1054	1316	1298	1218	1264	1238	1039	1327	1287	1080	1630	1411	1245	1254	1409	1377	1014	1135	1249	1375	1061	1019	1109	925	1082	1141	1126	1117	963	1058	1006	1301	1306	1093	882	1055	1145	1186	1334	1215	1325	1468	1280	1071					
5	"Число избирательных бюллетеней, выданных вне помещения"	5491	46	50	56	36	47	20	100	62	54	34	44	24	87	41	63	53	50	48	85	13	45	42	210	77	289	70	180	43	93	28	48	69	61	60	64	84	66	78	42	24	68	73	66	51	32	107	64	72	78	63	70	88	60	76	48	35	57	47	65	81	63	30	28	65	57	41	14	17	28	25	49	33	43	41	30	29	29	46	34	33	42	32	27	25	28	21	21	33	45	25	47	52	58	17	148	23	57	34	23	11					
6	Число погашенных избирательных бюллетеней	93861	859	850	1088	976	980	623	783	760	875	1070	794	482	864	829	585	591	723	1028	1106	495	902	713	494	703	804	829	703	1026	1121	902	756	679	1114	885	923	895	886	815	595	933	800	910	766	976	866	896	1073	763	1079	1017	1022	895	914	794	1003	898	989	837	837	1001	972	1032	933	1008	1156	1079	1156	972	1127	1121	1337	1390	943	924	1221	1196	810	835	857	842	1076	1027	947	958	1009	1221	973	1066	1049	782	1071	1093	1297	1297	1016	1462	1318	1198	897	818					
7	Число избирательных бюллетеней в переносных ящиках	5481	46	50	56	36	47	20	100	62	54	34	44	24	87	41	63	53	50	48	85	13	45	42	210	77	289	70	180	43	93	28	48	69	61	60	64	84	66	78	42	24	68	73	66	51	32	107	64	72	78	63	70	88	60	76	48	35	57	47	65	81	63	30	28	65	57	41	14	17	28	25	49	33	43	41	30	29	29	46	34	33	42	32	27	25	28	21	21	33	45	25	47	52	58	17	148	13	57	34	23	11					
8	Число бюллетеней в стационарных ящиках для голосования	109658	1195	800	956	788	969	857	1017	878	1071	1096	662	594	1149	930	552	855	827	722	1109	592	853	945	695	1020	1007	1101	1017	931	986	1170	896	752	1025	1155	913	1021	1348	2007	1463	1143	1117	1017	1168	973	1102	997	1261	1065	1341	1020	1208	1217	1225	1223	1146	1158	1054	1316	1298	1214	1261	1238	1039	1226	1287	1080	1630	1411	1242	1254	1408	1377	1014	1135	1249	1375	1060	1019	1108	924	1081	1141	1126	1117	963	1058	1006	1301	1302	1092	882	1055	1145	1186	1334	1205	1323	1468	1278	1071					
9	Число недействительных избирательных бюллетеней	1041	14	14	12	21	9	23	14	7	6	20	8	8	10	9	4	7	12	2	7	6	15	13	8	8	24	17	10	5	8	17	5	15	6	12	12	8	20	20	6	10	2	10	13	6	9	13	9	12	3	5	12	5	10	14	6	11	14	11	10	13	12	8	14	8	13	6	13	6	9	18	19	12	5	13	11	7	10	13	15	2	4	16	12	11	12	6	9	11	19	8	11	7	9	5	10	13	3	14	5	2					
10	Число действительных избирательных бюллетеней	114098	1227	836	1000	803	1007	854	1103	933	1119	1110	698	610	1226	962	611	901	865	768	1187	599	883	974	897	1089	1272	1154	1187	969	1071	1181	939	806	1080	1203	965	1097	1394	2065	1499	1157	1183	1080	1221	1018	1125	1091	1316	1125	1416	1078	1266	1300	1275	1285	1188	1182	1097	1352	1353	1282	1312	1260	1053	1283	1331	1115	1631	1422	1261	1261	1438	1398	1052	1163	1268	1397	1079	1052	1127	955	1119	1157	1141	1131	979	1073	1018	1323	1328	1109	918	1100	1194	1198	1472	1205	1377	1488	1296	1080					
