Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Палкинская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214					
1	"Число избирателей, внесенных в списки"	7921	2689	336	463	151	346	200	788	466	298	215	304	375	285	1005					
2	"Число бюллетеней, полученных участковыми комиссиями"	8010	2700	380	500	155	345	215	770	470	300	205	300	390	280	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3667	1441	111	205	92	102	90	365	234	116	81	104	171	136	419					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1649	59	166	153	23	163	85	167	80	106	74	135	112	84	242					
6	Число погашенных бюллетеней	2694	1200	103	142	40	80	40	238	156	78	50	61	107	60	339					
7	Число бюллетеней в переносных ящиках для голосования	1649	59	166	153	23	163	85	167	80	106	74	135	112	84	242					
8	Число бюллетеней в стационарных ящиках для голосования	3666	1440	111	205	92	102	90	365	234	116	81	104	171	136	419					
9	Число недействительных бюллетеней	94	15	3	1	10	12	5	11	11	7	2	2	5	5	5					
10	Число действительных бюллетеней	5221	1484	274	357	105	253	170	521	303	215	153	237	278	215	656					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	160	50	25	10	5	5	5	15	10	5	5	5	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	48	31	3	1	0	2	0	0	2	1	1	2	2	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	7	2	5	3	4	2	3	5	4	2	3	3	2	3					
14	Число погашенных открепительных удостоверений	112	19	22	9	5	3	5	15	8	4	4	3	3	5	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	102	12	0	4	1	8	4	14	7	7	7	6	5	6	21					
		1.91%	0.80%	0.0%	1.11%	0.86%	3.01%	2.28%	2.63%	2.22%	3.15%	4.51%	2.51%	1.76%	2.72%	3.17%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	88	39	7	8	2	3	3	4	0	1	0	4	7	5	5					
		1.65%	2.60%	2.52%	2.23%	1.73%	1.13%	1.71%	0.75%	0.0%	0.45%	0.0%	1.67%	2.47%	2.27%	0.75%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	165	42	11	8	3	10	5	17	18	6	7	6	10	3	19					
		3.10%	2.80%	3.97%	2.23%	2.60%	3.77%	2.85%	3.19%	5.73%	2.70%	4.51%	2.51%	3.53%	1.36%	2.87%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	63	17	4	5	6	4	2	6	5	2	1	0	1	1	9					
		1.18%	1.13%	1.44%	1.39%	5.21%	1.50%	1.14%	1.12%	1.59%	0.90%	0.64%	0.0%	0.35%	0.45%	1.36%					
22	"5. ""За Русь Святую"""	30	6	2	1	0	2	3	3	3	1	1	2	1	1	4					
		0.56%	0.40%	0.72%	0.27%	0.0%	0.75%	1.71%	0.56%	0.95%	0.45%	0.64%	0.83%	0.35%	0.45%	0.60%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	1	0	0	0	1	0	1	1	0	1	1	0	0	2					
		0.15%	0.06%	0.0%	0.0%	0.0%	0.37%	0.0%	0.18%	0.31%	0.0%	0.64%	0.41%	0.0%	0.0%	0.30%					
24	"7. ""Новый курс - Автомобильная Россия"""	32	8	3	1	2	0	0	2	4	1	1	3	2	0	5					
		0.60%	0.53%	1.08%	0.27%	1.73%	0.0%	0.0%	0.37%	1.27%	0.45%	0.64%	1.25%	0.70%	0.0%	0.75%					
25	"8. ""Народно-республиканская партия России"""	11	2	1	0	0	1	0	0	1	3	0	0	1	0	2					
		0.20%	0.13%	0.36%	0.0%	0.0%	0.37%	0.0%	0.0%	0.31%	1.35%	0.0%	0.0%	0.35%	0.0%	0.30%					
26	"9. ""Российская экологическая партия ""Зеленые"""	11	3	1	0	2	1	0	1	0	1	0	0	0	0	2					
		0.20%	0.20%	0.36%	0.0%	1.73%	0.37%	0.0%	0.18%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.30%					
27	"10. ""Аграрная партия России"""	229	48	12	22	1	7	5	17	16	16	19	19	18	8	21					
		4.30%	3.20%	4.33%	6.14%	0.86%	2.64%	2.85%	3.19%	5.09%	7.20%	12.25%	7.94%	6.36%	3.63%	3.17%					
28	"11. ""Истинные патриоты России"""	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1					
		0.05%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.15%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	44	7	0	4	0	2	1	6	7	1	2	4	3	1	6					
		0.82%	0.46%	0.0%	1.11%	0.0%	0.75%	0.57%	1.12%	2.22%	0.45%	1.29%	1.67%	1.06%	0.45%	0.90%					
30	"13. ""Демократическая партия России"""	10	4	1	0	0	0	0	0	2	0	0	1	1	1	0					
		0.18%	0.26%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.41%	0.35%	0.45%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	1	0	0	0	1	0	0	2	2	0	0	0	0	0					
		0.11%	0.06%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.63%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	2	0	0	1	0	0	0	2	0	1	0	0	2	4					
		0.22%	0.13%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.63%	0.0%	0.64%	0.0%	0.0%	0.90%	0.60%					
33	"16. ""Родина"" (народно-патриотический союз)"""	282	98	10	16	1	9	11	29	7	13	11	17	12	12	36					
		5.30%	6.53%	3.61%	4.46%	0.86%	3.39%	6.28%	5.45%	2.22%	5.85%	7.09%	7.11%	4.24%	5.45%	5.44%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	1	0	4	2	1	1	1	0	4	0	1	5	2	4					
		0.48%	0.06%	0.0%	1.11%	1.73%	0.37%	0.57%	0.18%	0.0%	1.80%	0.0%	0.41%	1.76%	0.90%	0.60%					
35	"18. ""ЛДПР"""	532	158	26	33	9	21	28	40	32	25	14	18	25	23	80					
		10.00%	10.54%	9.38%	9.21%	7.82%	7.92%	16.0%	7.51%	10.19%	11.26%	9.03%	7.53%	8.83%	10.45%	12.10%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	313	71	18	22	2	10	4	56	27	21	6	14	10	18	34					
		5.88%	4.73%	6.49%	6.14%	1.73%	3.77%	2.28%	10.52%	8.59%	9.45%	3.87%	5.85%	3.53%	8.18%	5.14%					
37	"20. ""Политическая партия ""Единая Россия"""	2321	661	107	179	67	126	67	204	116	75	54	118	137	105	305					
		43.66%	44.09%	38.62%	50.0%	58.26%	47.54%	38.28%	38.34%	36.94%	33.78%	34.83%	49.37%	48.40%	47.72%	46.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	2	0	1	0	1	0	1	1	0	0	0	0	0	3					
		0.16%	0.13%	0.0%	0.27%	0.0%	0.37%	0.0%	0.18%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%					
39	"22. ""Развитие предпринимательства"""	5	2	0	0	0	0	1	1	1	0	0	0	0	0	0					
		0.09%	0.13%	0.0%	0.0%	0.0%	0.0%	0.57%	0.18%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	736	237	60	39	1	37	31	95	43	32	21	20	27	22	71					
		13.84%	15.81%	21.66%	10.89%	0.86%	13.96%	17.71%	17.85%	13.69%	14.41%	13.54%	8.36%	9.54%	10.0%	10.74%					
																					
41	Против всех	183	61	11	10	5	8	4	23	8	4	7	3	12	5	22					
		3.44%	4.06%	3.97%	2.79%	4.34%	3.01%	2.28%	4.32%	2.54%	1.80%	4.51%	1.25%	4.24%	2.27%	3.32%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
