Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Александровская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179					
1	"Число избирателей, внесенных в список"	13993	1732	1494	345	108	57	236	107	110	42	431	90	201	949	50	167	307	254	196	243	146	53	231	597	175	111	389	59	65	260	230	230	100	334	190	373	141	93	527	121	546	496	112	135	81	55	126	231	105	441	121					
2	Число полученных избирательных бюллетеней	14223	1732	1495	358	110	58	235	108	113	44	463	89	214	946	54	169	309	254	206	256	152	55	235	629	178	112	399	65	66	268	226	231	99	350	195	381	143	95	536	121	554	486	115	133	84	57	124	243	109	446	123					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10167	1093	977	246	101	45	182	86	86	34	316	78	164	614	49	124	241	198	156	190	120	48	173	406	138	91	279	51	63	224	182	170	80	250	164	302	116	78	387	103	336	328	65	91	51	47	91	187	87	367	112					
5	"Число избирательных бюллетеней, выданных вне помещения"	697	60	60	65	7	4	15	0	3	3	34	0	0	35	0	0	0	19	2	20	0	0	24	57	18	0	21	0	0	0	10	10	3	36	7	18	18	7	27	0	22	8	6	29	3	0	6	18	15	7	0					
6	Число погашенных избирательных бюллетеней	3359	579	458	47	2	9	38	22	24	7	113	11	50	297	5	45	68	37	48	46	32	7	38	166	22	21	99	14	3	44	34	51	16	64	24	61	9	10	122	18	196	150	44	13	30	10	27	38	7	72	11					
7	Число избирательных бюллетеней в переносных ящиках	697	60	60	65	7	4	15	0	3	3	34	0	0	35	0	0	0	19	2	20	0	0	24	57	18	0	21	0	0	0	10	10	3	36	7	18	18	7	27	0	22	8	6	29	3	0	6	18	15	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	10167	1093	977	246	101	45	182	86	86	34	316	78	164	614	49	124	241	198	156	190	120	48	173	406	138	91	279	51	63	224	182	170	80	250	164	302	116	78	387	103	336	328	65	91	51	47	91	187	87	367	112					
9	Число недействительных избирательных бюллетеней	86	0	6	3	1	0	1	1	2	0	3	0	6	7	0	0	2	2	5	2	1	0	2	7	0	0	3	0	0	4	0	3	1	1	0	5	0	1	5	1	1	1	0	0	0	0	1	2	0	6	0					
10	Число действительных избирательных бюллетеней	10778	1153	1031	308	107	49	196	85	87	37	347	78	158	642	49	124	239	215	153	208	119	48	195	456	156	91	297	51	63	220	192	177	82	285	171	315	134	84	409	102	357	335	71	120	54	47	96	203	102	368	112					
