Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Калининград, Балтийская"																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №701	УИК №702	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №725	УИК №730	УИК №731	УИК №733	УИК №735	УИК №737	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №750	УИК №751	УИК №752	УИК №754	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766					
1	"Число избирателей, внесенных в списки"	54843	2354	2723	2067	1429	2423	1949	604	2480	2196	1968	1816	2115	2201	2262	396	1614	2470	2477	1996	1156	2263	2051	1937	2697	2380	2569	702	64	42	71	76	76	71	69	56	11	12	11	11	10	11	10	11	11	11	11	17	20	17	8	9	53	25	78	41	42	41	11	18	54	19	175	16	17	7	70	76	14	69	11	10	26	25	60					
2	"Число бюллетеней, полученных участковыми комиссиями"	50260	2000	2400	1800	1300	2200	1700	1800	2200	1900	1800	1600	1900	2000	2100	500	1400	2200	2200	1800	1000	2000	1800	1700	2400	2100	2200	700	64	42	71	80	76	71	69	0	11	12	11	11	10	11	10	11	11	11	11	17	20	17	8	9	53	25	78	41	42	43	11	18	54	19	175	20	18	7	0	76	14	69	11	10	26	26	60					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23431	852	1126	708	471	1044	754	591	1005	1016	917	781	883	973	876	138	649	960	996	837	410	979	931	798	1059	1003	851	386	62	42	66	76	76	71	57	0	11	12	11	11	10	11	10	11	11	11	11	17	20	17	8	9	53	25	71	40	42	41	11	18	54	19	131	16	17	7	0	67	14	60	11	10	26	25	38					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	585	84	16	4	4	13	15	13	9	8	12	5	10	17	6	237	15	7	22	17	4	16	11	8	12	10	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	26245	1064	1258	1088	825	1143	931	1196	1186	876	871	814	1007	1010	1218	126	736	1233	1182	946	586	1005	858	894	1329	1087	1340	313	2	0	5	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	2	0	0	0	0	44	4	1	0	0	9	0	9	0	0	0	1	22					
7	Число бюллетеней в переносных ящиках для голосования	585	84	16	4	4	13	15	13	9	8	12	5	10	17	6	237	15	7	22	17	4	16	11	8	12	10	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	23415	851	1126	708	471	1043	752	590	1005	1016	915	781	883	973	876	138	649	959	996	837	410	979	931	796	1058	1001	851	386	62	42	66	76	75	71	57	0	11	12	11	11	10	11	10	11	11	11	11	17	20	17	8	9	53	25	71	40	42	41	11	18	53	19	131	15	17	7	0	67	14	60	11	10	26	25	38					
9	Число недействительных бюллетеней	414	17	16	17	12	17	15	8	14	9	13	16	17	12	9	5	18	13	32	22	11	30	5	19	14	8	6	9	2	1	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	4	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0					
10	Число действительных бюллетеней	23586	918	1126	695	463	1039	752	595	1000	1015	914	770	876	978	873	370	646	953	986	832	403	965	937	785	1056	1003	854	378	60	41	60	75	71	71	57	0	11	12	11	11	10	11	10	11	11	11	11	17	20	17	8	9	53	21	70	40	42	37	11	18	50	19	131	15	17	7	0	67	14	56	11	10	26	25	38					
