Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Верхнекамская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21706	2585	1240	1205	1883	1687	185	135	300	247	1111	1176	1149	1244	1045	762	692	341	169	352	186	415	183	631	398	871	182	1066	266									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22040	2616	1250	1206	1905	1710	182	143	307	248	1150	1190	1165	1255	1055	765	703	349	176	358	194	434	189	640	403	940	184	1055	268									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7931	979	544	558	577	585	104	30	131	88	468	475	366	491	301	257	223	127	77	94	71	130	57	233	133	277	36	409	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	572	33	30	44	38	22	7	5	10	6	31	48	43	31	30	7	24	19	6	7	10	40	6	14	8	12	9	15	17									
6	Число погашенных избирательных бюллетеней	13536	1604	676	604	1290	1103	71	108	166	154	651	667	756	733	724	501	456	203	93	257	113	264	126	393	262	651	138	631	141									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	573	33	30	44	38	22	7	5	10	6	31	48	43	31	30	7	24	19	6	7	10	40	6	14	8	12	10	15	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7928	979	544	558	577	585	104	30	131	88	468	475	366	491	301	257	220	127	77	94	71	130	57	233	133	277	36	409	110									
9	Число недействительных избирательных бюллетеней	227	14	15	13	20	14	4	1	2	2	11	12	18	17	9	7	8	6	0	3	1	6	1	7	3	11	2	18	2									
10	Число действительных избирательных бюллетеней	8274	998	559	589	595	593	107	34	139	92	488	511	391	505	322	257	236	140	83	98	80	164	62	240	138	278	44	406	125									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	735	45	40	40	40	40	10	7	8	10	40	40	40	40	40	30	25	25	25	10	10	25	10	20	20	30	15	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	149	14	2	6	9	9	0	5	3	1	20	12	1	6	4	6	5	1	1	4	2	12	2	5	0	7	0	8	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	8	4	5	3	3	5	1	2	5	5	6	2	9	2	0	2	0	1	1	6	0	0	9	1	1	0	4	13									
14	Число погашенных неиспользованных открепительных удостоверений	586	31	38	34	31	31	10	2	5	9	20	28	39	34	36	24	20	24	24	6	8	13	8	15	20	23	15	22	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	1	1	0	2	0	1	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	2	0	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	93	7	6	11	8	4	1	0	0	1	6	7	10	8	3	1	0	3	1	0	1	2	0	4	0	2	1	6	0									
		1.09%	0.69%	1.05%	1.83%	1.30%	0.66%	0.90%	0.00%	0.00%	1.06%	1.20%	1.34%	2.44%	1.53%	0.91%	0.38%	0.00%	2.05%	1.20%	0.00%	1.23%	1.18%	0.00%	1.62%	0.00%	0.69%	2.17%	1.42%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	290	29	19	17	22	25	3	4	5	1	19	17	19	24	7	10	4	5	4	2	2	5	6	6	6	8	4	14	3									
		3.41%	2.87%	3.31%	2.82%	3.58%	4.12%	2.70%	11.43%	3.55%	1.06%	3.81%	3.25%	4.65%	4.60%	2.11%	3.79%	1.64%	3.42%	4.82%	1.98%	2.47%	2.94%	9.52%	2.43%	4.26%	2.77%	8.70%	3.30%	2.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	212	25	17	9	9	11	1	2	2	1	18	16	16	20	13	11	3	4	0	0	1	2	0	6	5	9	2	5	4									
		2.49%	2.47%	2.96%	1.50%	1.46%	1.81%	0.90%	5.71%	1.42%	1.06%	3.61%	3.06%	3.91%	3.83%	3.93%	4.17%	1.23%	2.74%	0.00%	0.00%	1.23%	1.18%	0.00%	2.43%	3.55%	3.11%	4.35%	1.18%	3.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3505	423	251	219	254	214	42	10	78	49	172	186	138	200	137	125	103	83	50	53	39	86	28	90	64	148	20	191	52									
		41.23%	41.80%	43.73%	36.38%	41.30%	35.26%	37.84%	28.57%	55.32%	52.13%	34.47%	35.56%	33.74%	38.31%	41.39%	47.35%	42.21%	56.85%	60.24%	52.48%	48.15%	50.59%	44.44%	36.44%	45.39%	51.21%	43.48%	45.05%	40.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	40	7	1	4	4	6	0	0	0	0	1	0	1	5	2	2	1	1	1	0	0	0	0	1	1	1	0	1	0									
		0.47%	0.69%	0.17%	0.66%	0.65%	0.99%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.24%	0.96%	0.60%	0.76%	0.41%	0.68%	1.20%	0.00%	0.00%	0.00%	0.00%	0.40%	0.71%	0.35%	0.00%	0.24%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	44	2	2	1	2	0	0	1	0	1	1	4	0	3	3	0	2	1	0	0	1	1	15	2	0	2	0	0	0									
		0.52%	0.20%	0.35%	0.17%	0.33%	0.00%	0.00%	2.86%	0.00%	1.06%	0.20%	0.76%	0.00%	0.57%	0.91%	0.00%	0.82%	0.68%	0.00%	0.00%	1.23%	0.59%	23.81%	0.81%	0.00%	0.69%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2227	241	118	116	145	187	31	12	26	33	169	168	120	122	100	67	71	23	15	34	19	36	0	91	46	65	7	116	49									
		26.20%	23.81%	20.56%	19.27%	23.58%	30.81%	27.93%	34.29%	18.44%	35.11%	33.87%	32.12%	29.34%	23.37%	30.21%	25.38%	29.10%	15.75%	18.07%	33.66%	23.46%	21.18%	0.00%	36.84%	32.62%	22.49%	15.22%	27.36%	38.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	6	3	2	2	1	0	0	0	0	0	3	1	1	1	2	1	1	0	1	0	0	0	0	0	3	0	1	0									
		0.34%	0.59%	0.52%	0.33%	0.33%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.24%	0.19%	0.30%	0.76%	0.41%	0.68%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.24%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	88	7	5	10	15	5	2	0	3	1	6	6	7	9	6	1	1	0	0	0	0	1	0	1	0	0	0	2	0									
		1.04%	0.69%	0.87%	1.66%	2.44%	0.82%	1.80%	0.00%	2.13%	1.06%	1.20%	1.15%	1.71%	1.72%	1.81%	0.38%	0.41%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.40%	0.00%	0.00%	0.00%	0.47%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	1	0	1	0	1	0	0	1	0	2	2	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	2	0									
		0.16%	0.10%	0.00%	0.17%	0.00%	0.16%	0.00%	0.00%	0.71%	0.00%	0.40%	0.38%	0.00%	0.00%	0.30%	0.38%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.47%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	95	14	8	7	9	6	0	0	0	0	2	8	9	9	1	2	3	0	4	0	0	1	1	3	1	2	0	5	0									
		1.12%	1.38%	1.39%	1.16%	1.46%	0.99%	0.00%	0.00%	0.00%	0.00%	0.40%	1.53%	2.20%	1.72%	0.30%	0.76%	1.23%	0.00%	4.82%	0.00%	0.00%	0.59%	1.59%	1.21%	0.71%	0.69%	0.00%	1.18%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1204	169	96	149	89	89	20	5	21	5	61	65	48	77	40	27	42	14	7	7	15	21	8	25	13	28	7	44	12									
		14.16%	16.70%	16.72%	24.75%	14.47%	14.66%	18.02%	14.29%	14.89%	5.32%	12.22%	12.43%	11.74%	14.75%	12.08%	10.23%	17.21%	9.59%	8.43%	6.93%	18.52%	12.35%	12.70%	10.12%	9.22%	9.69%	15.22%	10.38%	9.45%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	5	2	1	4	4	0	0	1	0	1	0	2	2	1	0	2	0	0	0	0	1	1	2	0	0	1	0	0									
		0.35%	0.49%	0.35%	0.17%	0.65%	0.66%	0.00%	0.00%	0.71%	0.00%	0.20%	0.00%	0.49%	0.38%	0.30%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.59%	1.59%	0.81%	0.00%	0.00%	2.17%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	403	62	31	42	32	40	7	0	2	0	30	29	20	25	7	8	2	5	1	1	2	8	3	8	2	10	2	19	5									
		4.74%	6.13%	5.40%	6.98%	5.20%	6.59%	6.31%	0.00%	1.42%	0.00%	6.01%	5.54%	4.89%	4.79%	2.11%	3.03%	0.82%	3.42%	1.20%	0.99%	2.47%	4.71%	4.76%	3.24%	1.42%	3.46%	4.35%	4.48%	3.94%									
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
