Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Ряжская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483					
1	"Число избирателей, внесенных в список"	24723	1298	1012	1231	1344	129	1382	1113	1003	2259	1229	1367	1169	1271	1233	1322	571	575	616	255	142	225	247	238	108	83	262	218	73	367	437	300	102	173	411	267	691					
2	Число полученных избирательных бюллетеней	22062	1090	900	1090	1180	130	1210	1015	900	1840	1090	1215	1070	1140	1105	1200	520	510	560	230	144	200	225	215	110	83	235	194	71	355	390	270	113	202	380	260	620					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12218	507	511	522	731	96	683	570	568	1128	503	605	609	656	509	545	253	281	388	148	75	134	155	132	96	69	111	131	44	174	269	129	56	99	235	133	363					
5	"Число избирательных бюллетеней, выданных вне помещения"	1398	136	57	21	6	33	25	51	30	90	45	34	17	6	18	47	8	19	38	41	20	22	41	25	3	0	71	39	12	81	51	69	30	41	40	58	73					
6	Число погашенных избирательных бюллетеней	8446	447	332	547	443	1	502	394	302	622	542	576	444	478	578	608	259	210	134	41	49	44	29	58	11	14	53	24	15	100	70	72	27	62	105	69	184					
7	Число избирательных бюллетеней в переносных ящиках	1398	136	57	21	6	33	25	51	30	90	45	34	17	6	18	47	8	19	38	41	20	22	41	25	3	0	71	39	12	81	51	69	30	41	40	58	73					
8	Число бюллетеней в стационарных ящиках для голосования	12211	507	511	522	730	96	681	570	568	1128	503	603	609	656	509	545	252	281	388	148	75	134	155	132	96	69	111	131	44	174	269	129	56	99	235	132	363					
9	Число недействительных избирательных бюллетеней	219	6	10	6	2	15	10	9	6	8	8	14	7	13	0	11	6	6	12	8	3	4	3	3	0	2	1	2	0	0	2	4	3	0	4	21	10					
10	Число действительных избирательных бюллетеней	13390	637	558	537	734	114	696	612	592	1210	540	623	619	649	527	581	254	294	414	181	92	152	193	154	99	67	181	168	56	255	318	194	83	140	271	169	426					
