Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Дедовичская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253					
1	"Число избирателей, внесенных в списки"	13807	2676	2528	2624	154	296	310	662	306	379	598	345	321	388	230	472	409	355	579	175					
2	"Число бюллетеней, полученных участковыми комиссиями"	12468	2380	2280	2310	144	373	281	597	272	342	545	312	286	342	206	430	370	319	521	158					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6506	1150	1342	1390	105	236	148	205	102	133	254	135	108	143	124	205	92	122	434	78					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1796	58	16	47	20	60	97	171	115	145	176	145	159	110	23	134	158	105	0	57					
6	Число погашенных бюллетеней	4166	1172	922	873	19	77	36	221	55	64	115	32	19	89	59	91	120	92	87	23					
7	Число бюллетеней в переносных ящиках для голосования	1796	58	16	47	20	60	97	171	115	145	176	145	159	110	23	134	158	105	0	57					
8	Число бюллетеней в стационарных ящиках для голосования	6505	1149	1342	1390	105	236	148	205	102	133	254	135	108	143	124	205	92	122	434	78					
9	Число недействительных бюллетеней	71	21	11	4	0	0	0	2	5	4	9	0	1	0	2	2	5	1	4	0					
10	Число действительных бюллетеней	8230	1186	1347	1433	125	296	245	374	212	274	421	280	266	253	145	337	245	226	430	135					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	205	37	36	36	4	6	5	9	5	6	8	6	5	6	5	7	6	6	8	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	50	8	18	5	0	1	1	1	1	0	3	0	0	1	0	7	1	2	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	7	1	7	0	3	3	3	5	3	2	2	0	2	3	3	0	4	0	0					
14	Число погашенных открепительных удостоверений	155	29	18	31	4	5	4	8	4	6	5	6	5	5	5	0	5	4	8	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	161	18	23	16	1	12	6	5	2	9	7	6	6	5	8	8	11	7	10	1					
		1.93%	1.49%	1.69%	1.11%	0.8%	4.05%	2.44%	1.32%	0.92%	3.23%	1.62%	2.14%	2.24%	1.97%	5.44%	2.35%	4.4%	3.08%	2.30%	0.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	217	28	79	73	0	1	4	1	2	4	3	1	3	3	2	6	2	2	2	1					
		2.61%	2.31%	5.81%	5.08%	0.0%	0.33%	1.63%	0.26%	0.92%	1.43%	0.69%	0.35%	1.12%	1.18%	1.36%	1.76%	0.8%	0.88%	0.46%	0.74%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	175	26	40	37	5	8	3	9	1	5	2	5	0	3	7	3	1	8	10	2					
		2.10%	2.15%	2.94%	2.57%	4.0%	2.70%	1.22%	2.39%	0.46%	1.79%	0.46%	1.78%	0.0%	1.18%	4.76%	0.88%	0.4%	3.52%	2.30%	1.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	123	17	34	19	2	2	6	1	0	2	4	5	6	4	4	1	3	4	5	4					
		1.48%	1.40%	2.50%	1.32%	1.6%	0.67%	2.44%	0.26%	0.0%	0.71%	0.93%	1.78%	2.24%	1.58%	2.72%	0.29%	1.2%	1.76%	1.15%	2.96%					
22	"5. ""За Русь Святую"""	27	1	4	5	0	2	0	2	1	1	2	2	3	1	0	0	3	0	0	0					
		0.32%	0.08%	0.29%	0.34%	0.0%	0.67%	0.0%	0.53%	0.46%	0.35%	0.46%	0.71%	1.12%	0.39%	0.0%	0.0%	1.2%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	4	2	0	0	0	1	2	0	0	1	1	3	1	0	0	0	0	4	0					
		0.22%	0.33%	0.14%	0.0%	0.0%	0.0%	0.40%	0.53%	0.0%	0.0%	0.23%	0.35%	1.12%	0.39%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	28	1	6	7	1	1	0	1	0	0	2	1	0	0	0	0	2	4	2	0					
		0.33%	0.08%	0.44%	0.48%	0.8%	0.33%	0.0%	0.26%	0.0%	0.0%	0.46%	0.35%	0.0%	0.0%	0.0%	0.0%	0.8%	1.76%	0.46%	0.0%					
25	"8. ""Народно-республиканская партия России"""	18	6	3	1	0	1	0	1	0	0	0	2	0	1	0	0	1	0	2	0					
		0.21%	0.49%	0.22%	0.06%	0.0%	0.33%	0.0%	0.26%	0.0%	0.0%	0.0%	0.71%	0.0%	0.39%	0.0%	0.0%	0.4%	0.0%	0.46%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	3	3	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.12%	0.24%	0.22%	0.13%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	334	32	39	32	6	19	3	25	23	15	7	21	6	18	3	18	7	19	38	3					
		4.02%	2.65%	2.87%	2.22%	4.8%	6.41%	1.22%	6.64%	10.59%	5.39%	1.62%	7.49%	2.24%	7.11%	2.04%	5.30%	2.8%	8.37%	8.75%	2.22%					
28	"11. ""Истинные патриоты России"""	5	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0					
		0.06%	0.08%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.4%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	63	8	12	15	0	1	1	1	3	1	2	1	2	2	1	3	3	1	6	0					
		0.75%	0.66%	0.88%	1.04%	0.0%	0.33%	0.40%	0.26%	1.38%	0.35%	0.46%	0.35%	0.74%	0.79%	0.68%	0.88%	1.2%	0.44%	1.38%	0.0%					
30	"13. ""Демократическая партия России"""	27	4	3	2	2	1	0	2	2	0	1	1	0	2	0	2	1	1	3	0					
		0.32%	0.33%	0.22%	0.13%	1.6%	0.33%	0.0%	0.53%	0.92%	0.0%	0.23%	0.35%	0.0%	0.79%	0.0%	0.58%	0.4%	0.44%	0.69%	0.0%					
