Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Махачкала, Ленинская"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	87644	2126	2085	1504	1601	1535	2099	1748	1862	1917	2581	1492	2164	1536	1563	1152	1780	2513	1183	1630	2123	1829	2140	1738	1479	1704	1656	2066	1998	1820	1652	1475	1545	1525	2125	2664	1794	2753	2118	2072	1786	1468	1574	1141	2723	2856	1935	1814									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84474	2050	2000	1450	1550	1500	2000	1700	1800	1850	2500	1450	2100	1524	1500	1100	1700	2400	1150	1550	2050	1750	2050	1700	1450	1650	1600	2000	1900	1750	1600	1450	1500	1450	2050	2550	1750	2650	2050	2000	1700	1400	1500	1100	2600	2750	1850	1750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	78868	1985	1797	1245	1457	1442	1994	1660	1736	1794	2426	1356	2013	1310	1470	1076	1600	2337	1070	1533	1975	1706	2050	1616	1353	1568	1556	1936	1831	1711	1552	1363	1437	805	1998	2476	1654	2616	820	1800	1661	1250	1457	1073	2540	2657	1754	1352									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	25	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	10	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	5581	65	200	205	93	58	6	40	64	56	74	94	87	214	30	24	100	63	74	15	75	44	0	84	96	82	44	64	69	39	48	87	63	643	52	74	95	34	1220	200	39	150	43	27	60	93	96	398									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	10	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	78835	1985	1766	1245	1457	1442	1994	1660	1736	1794	2426	1356	2013	1310	1470	1076	1600	2337	1070	1533	1975	1706	2050	1616	1353	1568	1556	1936	1831	1711	1552	1363	1437	803	1998	2476	1654	2616	820	1800	1661	1250	1457	1073	2540	2657	1754	1352									
9	Число недействительных избирательных бюллетеней	495	7	45	31	0	0	21	0	0	0	0	49	0	57	0	12	0	0	26	0	0	0	0	0	0	0	36	0	0	0	0	0	0	34	0	26	5	0	0	0	0	35	56	0	0	0	16	39									
10	Число действительных избирательных бюллетеней	78362	1978	1721	1214	1457	1442	1973	1660	1736	1794	2426	1307	2013	1253	1470	1064	1600	2337	1050	1535	1975	1706	2050	1616	1354	1568	1520	1936	1831	1711	1552	1363	1437	771	1998	2450	1650	2616	830	1800	1661	1215	1401	1073	2540	2657	1738	1313									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	376	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	18	0	1	0	0	2	1	1	3	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	358	8	7	8	8	6	7	7	5	8	8	8	6	8	8	8	8	6	8	7	8	7	8	8	8	8	8	8	8	8	7	8	8	8	8	8	8	7	8	8	8	8	8	8	8	7	7	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	1	1	1	1	0	0	0	2	0	2	2	0	2	1	0	1	0	0	0	5	1	1	0	0	0	0	0	0	1	2	0	0	1	1	2	1	3	1	0	0	1	0	0	1	5	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	349	3	9	13	0	17	6	5	16	1	19	6	2	5	0	5	3	3	8	9	16	5	0	10	8	3	0	0	1	11	0	0	0	18	20	0	12	0	0	10	7	15	14	0	43	16	0	10									
		0.44%	0.15%	0.51%	1.04%	0.00%	1.18%	0.30%	0.30%	0.92%	0.06%	0.78%	0.44%	0.10%	0.38%	0.00%	0.46%	0.19%	0.13%	0.74%	0.59%	0.81%	0.29%	0.00%	0.62%	0.59%	0.19%	0.00%	0.00%	0.05%	0.64%	0.00%	0.00%	0.00%	2.24%	1.00%	0.00%	0.73%	0.00%	0.00%	0.56%	0.42%	1.20%	0.96%	0.00%	1.69%	0.60%	0.00%	0.74%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	442	8	19	13	5	19	10	10	9	3	8	22	1	12	0	7	2	6	11	1	20	10	0	2	2	2	10	3	4	9	0	0	0	12	10	0	10	0	3	5	9	15	15	0	0	22	104	9									
		0.56%	0.40%	1.08%	1.04%	0.34%	1.32%	0.50%	0.60%	0.52%	0.17%	0.33%	1.62%	0.05%	0.92%	0.00%	0.65%	0.13%	0.26%	1.02%	0.07%	1.01%	0.59%	0.00%	0.12%	0.15%	0.13%	0.64%	0.15%	0.22%	0.53%	0.00%	0.00%	0.00%	1.49%	0.50%	0.00%	0.60%	0.00%	0.36%	0.28%	0.54%	1.20%	1.03%	0.00%	0.00%	0.83%	5.93%	0.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	383	3	17	11	7	10	8	9	9	5	7	9	1	3	0	1	4	5	10	10	9	7	0	18	16	3	0	26	22	21	0	0	0	6	20	40	5	0	2	3	8	12	9	0	0	0	17	10									
		0.49%	0.15%	0.96%	0.88%	0.48%	0.69%	0.40%	0.54%	0.52%	0.28%	0.29%	0.66%	0.05%	0.23%	0.00%	0.09%	0.25%	0.21%	0.93%	0.65%	0.46%	0.41%	0.00%	1.11%	1.18%	0.19%	0.00%	1.34%	1.20%	1.23%	0.00%	0.00%	0.00%	0.75%	1.00%	1.62%	0.30%	0.00%	0.24%	0.17%	0.48%	0.96%	0.62%	0.00%	0.00%	0.00%	0.97%	0.74%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	70498	1819	1465	696	1342	1312	1846	1527	1614	1731	2207	1101	1829	1059	1352	968	1488	2138	864	1426	1817	1563	1886	1490	1245	1442	1411	1790	1684	1557	1443	1240	1308	514	1818	2217	1506	2380	789	1656	1544	934	1040	987	2350	2444	1590	1069									
		89.40%	91.64%	82.96%	55.90%	92.11%	90.98%	92.58%	91.99%	92.97%	96.49%	90.97%	81.19%	90.86%	80.84%	91.97%	89.96%	93.00%	91.48%	80.30%	92.90%	92.00%	91.62%	92.00%	92.20%	91.95%	91.96%	90.68%	92.46%	91.97%	90.99%	92.98%	90.98%	91.02%	63.85%	90.99%	89.54%	90.99%	90.98%	95.06%	92.00%	92.96%	74.72%	71.38%	91.99%	92.52%	91.98%	90.65%	79.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	210	4	7	8	1	5	7	3	4	1	2	11	0	10	0	1	1	1	9	1	3	8	0	1	1	1	0	3	8	0	0	0	0	5	0	6	3	0	0	2	19	8	8	33	0	5	7	13									
		0.27%	0.20%	0.40%	0.64%	0.07%	0.35%	0.35%	0.18%	0.23%	0.06%	0.08%	0.81%	0.00%	0.76%	0.00%	0.09%	0.06%	0.04%	0.84%	0.07%	0.15%	0.47%	0.00%	0.06%	0.07%	0.06%	0.00%	0.15%	0.44%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.24%	0.18%	0.00%	0.00%	0.11%	1.14%	0.64%	0.55%	3.08%	0.00%	0.19%	0.40%	0.96%									
24	"6. Политическая партия ""Гражданская Платформа"""	117	2	2	7	0	5	1	5	5	1	3	2	1	1	0	0	5	2	1	2	2	5	0	1	1	1	0	1	2	0	0	0	0	3	0	30	2	0	0	3	7	1	2	0	0	7	1	3									
