Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Дзержинская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096					
1	"Число избирателей, внесенных в списки избирателей"	11972	631	742	800	736	430	557	1075	947	121	426	371	102	59	142	127	324	113	609	262	105	99	314	65	71	436	29	36	711	180	218	124	533	200	147	54	76					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11776	611	693	776	726	367	545	1095	919	126	423	379	101	62	144	133	323	112	607	256	105	97	319	66	72	444	29	35	704	176	208	121	535	193	145	53	76					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8065	404	430	507	506	243	331	712	583	89	286	283	74	46	101	111	273	100	381	164	80	70	220	55	58	294	24	27	548	123	126	99	353	147	113	48	56					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	901	27	101	37	29	61	22	40	39	12	35	22	9	8	20	16	39	12	51	30	2	0	27	10	8	45	0	1	27	15	39	11	57	15	20	4	10					
6	Число погашенных избирательных бюллетеней	2810	180	162	232	191	63	192	343	297	25	102	74	18	8	23	6	11	0	175	62	23	27	72	1	6	105	5	7	129	38	43	11	125	31	12	1	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	901	27	101	37	29	61	22	40	39	12	35	22	9	8	20	16	39	12	51	30	2	0	27	10	8	45	0	1	27	15	39	11	57	15	20	4	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8065	404	430	507	506	243	331	712	583	89	286	283	74	46	101	111	273	100	381	164	80	70	220	55	58	294	24	27	548	123	126	99	353	147	113	48	56					
9	Число недействительных избирательных бюллетеней	80	2	1	3	4	4	5	8	5	1	7	5	0	0	0	2	2	0	8	2	0	1	4	0	0	3	0	0	5	0	1	1	5	0	0	0	1					
10	Число действительных избирательных бюллетеней	8886	429	530	541	531	300	348	744	617	100	314	300	83	54	121	125	310	112	424	192	82	69	243	65	66	336	24	28	570	138	164	109	405	162	133	52	65					
