Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Ковдорская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263					
1	"Число избирателей, внесенных в списки"	20927	1977	1692	1721	1788	1792	1834	1749	1828	1850	1763	1752	326	337	183	335					
2	"Число бюллетеней, полученных участковыми комиссиями"	20340	1950	1650	1700	1750	1750	1750	1700	1750	1800	1700	1700	320	320	180	320					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	248	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10985	1012	933	935	980	975	820	904	846	1008	943	978	171	172	103	205					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	154	7	7	9	16	12	11	17	34	9	9	18	2	0	3	0					
6	Число погашенных бюллетеней	8953	931	710	756	754	763	671	779	870	783	748	704	147	148	74	115					
7	Число бюллетеней в переносных ящиках для голосования	402	7	7	9	16	12	259	17	34	9	9	18	2	0	3	0					
8	Число бюллетеней в стационарных ящиках для голосования	10969	1012	933	934	980	974	819	902	836	1007	943	978	171	172	103	205					
9	Число недействительных бюллетеней	86	11	9	5	6	2	10	8	9	6	6	8	4	1	1	0					
10	Число действительных бюллетеней	11285	1008	931	938	990	984	1068	911	861	1010	946	988	169	171	105	205					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	560	30	40	40	50	45	45	45	50	50	45	50	20	20	10	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	78	9	8	7	10	4	7	10	3	5	2	8	3	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	2	1	2	1	1	0	2	2	1	0	7	0	1	2	0					
14	Число погашенных открепительных удостоверений	482	21	32	33	40	41	38	35	47	45	43	42	17	19	10	19					
15	Число открепительных удостоверений выданных ТИК	10	0	3	0	2	0	3	1	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	81	7	9	6	4	2	10	8	6	3	8	12	1	1	2	2					
		0.71%	0.68%	0.95%	0.63%	0.40%	0.20%	0.92%	0.87%	0.68%	0.29%	0.84%	1.20%	0.57%	0.58%	1.88%	0.97%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	234	20	34	17	30	35	15	12	16	21	16	12	0	3	0	3					
		2.05%	1.96%	3.61%	1.80%	3.01%	3.54%	1.39%	1.30%	1.83%	2.06%	1.68%	1.20%	0.0%	1.74%	0.0%	1.46%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	639	51	59	74	58	41	37	51	53	59	59	66	3	11	8	9					
		5.61%	5.00%	6.27%	7.84%	5.82%	4.15%	3.43%	5.54%	6.09%	5.80%	6.19%	6.62%	1.73%	6.39%	7.54%	4.39%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	426	32	30	38	41	57	34	34	29	47	43	30	2	3	3	3					
		3.74%	3.14%	3.19%	4.02%	4.11%	5.78%	3.15%	3.69%	3.33%	4.62%	4.51%	3.01%	1.15%	1.74%	2.83%	1.46%					
22	"5. ""За Русь Святую"""	29	2	2	2	3	4	2	3	3	2	2	3	0	1	0	0					
		0.25%	0.19%	0.21%	0.21%	0.30%	0.40%	0.18%	0.32%	0.34%	0.19%	0.21%	0.30%	0.0%	0.58%	0.0%	0.0%					
