Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Лабинская городская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954					
1	"Число избирателей, внесенных в списки"	75912	2367	2022	2669	2043	1775	2132	1901	1709	1907	1868	1279	1550	1459	431	1151	1717	2610	2300	1888	2336	2023	1646	1534	2014	2502	1312	1440	432	1216	1319	1741	1020	578	2605	458	1070	755	381	525	2137	1911	377	1557	800	749	457	446	1414	848	754	663	949	664	501					
2	"Число бюллетеней, полученных участковыми комиссиями"	68200	2100	2100	2400	1800	1500	1900	1700	1500	1700	1700	1100	1400	1300	800	1000	1500	2400	2200	1700	2100	1900	1500	1300	1800	2100	1100	1300	300	1100	1100	1600	1000	500	2300	400	900	600	300	400	2000	1800	300	1400	700	700	400	400	1300	700	600	600	900	600	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	35536	1089	1042	1193	852	748	897	901	801	823	899	568	764	702	390	527	821	1235	1165	771	1160	952	736	637	975	1161	654	712	266	540	511	830	492	301	1210	196	386	415	218	166	965	1041	162	791	387	110	199	238	656	441	495	305	429	325	286					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4358	42	11	55	36	124	86	69	55	33	70	60	86	62	41	41	77	34	36	38	46	100	33	57	67	125	88	192	19	42	91	58	104	47	136	101	155	38	32	134	206	119	80	126	60	334	78	50	163	95	49	67	99	64	47					
6	Число погашенных бюллетеней	28305	969	1047	1152	912	628	917	730	644	844	731	472	550	536	369	432	602	1131	999	891	894	848	731	606	758	814	358	396	15	518	498	712	404	152	954	103	359	147	49	100	829	640	58	483	253	256	123	112	481	164	56	228	372	211	67					
7	Число бюллетеней в переносных ящиках для голосования	4356	42	11	55	36	124	86	69	55	33	70	60	86	62	41	41	77	34	36	38	46	100	33	57	67	123	88	192	19	42	91	58	104	47	136	101	155	38	32	134	206	119	80	126	60	334	78	50	163	95	49	67	99	64	47					
8	Число бюллетеней в стационарных ящиках для голосования	35521	1089	1042	1193	850	744	897	898	800	823	899	568	764	702	390	527	821	1234	1165	771	1160	952	735	637	975	1160	654	712	266	540	511	830	492	301	1210	196	386	415	218	166	963	1041	162	791	387	110	199	238	656	441	495	305	429	325	286					
9	Число недействительных бюллетеней	493	10	12	16	9	9	14	8	10	5	3	10	7	8	6	11	7	7	15	5	6	13	11	2	11	14	13	27	4	39	8	11	12	1	19	0	2	3	8	2	22	11	0	23	3	1	3	1	11	12	6	4	8	5	5					
10	Число действительных бюллетеней	39384	1121	1041	1232	877	859	969	959	845	851	966	618	843	756	425	557	891	1261	1186	804	1200	1039	757	692	1031	1269	729	877	281	543	594	877	584	347	1327	297	539	450	242	298	1147	1149	242	894	444	443	274	287	808	524	538	368	520	384	328					
