Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Азовская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2585	УИК №2613					
1	"Число избирателей, внесенных в список избирателей"	69640	1457	904	386	611	97	308	115	381	1120	470	574	128	1474	237	435	421	510	1150	810	1143	767	2090	1204	1635	1621	99	1071	683	1897	1085	1320	396	166	331	2250	2420	2238	1470	463	2094	1946	757	237	120	1346	412	1623	532	454	762	600	196	750	1190	1122	1177	251	173	1094	785	1193	1599	1880	1772	2015	704	506	945	1372	255	246	136	303	219	219	198	138	217	1943	222					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	66862	1400	900	380	615	97	312	114	379	1000	475	560	124	1470	230	435	420	500	1000	820	1000	780	2000	1100	1500	1600	103	1050	675	1800	1050	1300	381	163	330	2200	2400	2200	1450	460	2000	1875	750	234	119	1300	410	1300	535	450	650	600	197	750	1100	1000	1100	238	166	1000	785	1100	1400	1800	1700	2000	695	500	950	1370	223	248	136	300	219	221	186	132	218	1900	232					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	41379	778	359	189	297	64	179	51	221	616	276	279	90	869	181	430	371	425	559	368	480	622	882	605	803	1154	60	841	334	1089	711	809	259	129	266	1212	1219	1119	697	404	1153	1208	363	230	95	682	245	883	439	389	377	544	175	662	638	540	563	180	159	658	575	426	716	1077	1626	1125	551	396	688	768	203	244	133	237	183	175	160	126	187	1092	211					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3158	109	85	23	66	19	74	42	47	43	12	38	21	158	16	0	19	8	47	38	59	14	53	41	24	32	26	64	189	65	57	46	18	7	14	16	23	32	32	1	36	46	19	0	12	63	28	34	66	37	30	9	10	14	99	114	65	20	0	75	111	53	38	62	41	89	17	14	21	111	15	0	0	13	6	16	0	0	11	85	0					
6	Число погашенных избирательных бюллетеней	22324	513	456	168	252	14	59	21	111	341	187	243	13	443	33	5	30	67	394	414	461	144	1065	454	673	414	17	145	152	646	282	445	104	27	50	972	1158	1049	721	55	811	621	368	4	12	555	137	383	30	24	243	47	12	74	363	346	472	38	7	267	99	621	646	661	33	786	127	89	241	491	5	4	3	50	30	30	26	6	20	723	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3158	109	85	23	66	19	74	42	47	43	12	38	21	158	16	0	19	8	47	38	59	14	53	41	24	32	26	64	189	65	57	46	18	7	14	16	23	32	32	1	36	46	19	0	12	63	28	34	66	37	30	9	10	14	99	114	65	20	0	75	111	53	38	62	41	89	17	14	21	111	15	0	0	13	6	16	0	0	11	85	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41354	778	359	189	297	64	179	51	221	616	276	279	90	862	181	430	371	425	559	368	480	622	882	605	803	1152	60	841	334	1089	711	807	259	129	266	1212	1219	1112	697	399	1153	1208	363	230	95	682	245	882	439	389	377	544	175	662	638	540	563	180	159	658	575	425	716	1077	1626	1125	551	396	688	768	203	244	133	237	183	175	160	126	187	1092	211					
9	Число недействительных избирательных бюллетеней	600	6	11	0	2	0	2	0	12	11	6	6	0	22	0	0	2	4	6	7	12	45	16	6	10	20	0	5	0	13	8	7	0	0	0	34	29	21	12	3	25	19	6	0	1	9	7	24	1	3	3	0	0	0	8	7	18	0	0	2	10	6	9	14	7	10	5	15	0	13	0	7	0	7	3	0	0	0	0	23	0					
10	Число действительных избирательных бюллетеней	43912	881	433	212	361	83	251	93	256	648	282	311	111	998	197	430	388	429	600	399	527	591	919	640	817	1164	86	900	523	1141	760	846	277	136	280	1194	1213	1123	717	397	1164	1235	376	230	106	736	266	892	504	423	404	553	185	676	729	647	610	200	159	731	676	472	745	1125	1660	1204	563	395	709	866	218	237	133	243	186	191	160	126	198	1154	211					
