Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																		
Дата голосования: 02.12.2007																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Мытищинская																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572					
1	"Число избирателей, внесенных в списки избирателей"	157792	1923	2056	1949	2797	2813	1301	2835	2650	1865	1415	1813	2005	2098	1628	2807	2153	1360	2582	2088	2217	1979	2479	1620	2175	1655	1977	2129	2347	2039	1611	2002	1615	2525	2288	2194	2486	2115	1803	2344	2124	1926	2377	1412	1841	1308	859	695	218	319	2232	226	2412	2437	2730	850	698	1063	1338	453	535	222	565	646	1996	713	1316	193	679	1765	1729	1512	1676	1457	1418	1511	2578	2396	1663	2229	1642	2049	1702	1874	1045	1052	2062	1007	2086	2643	2723	1852					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	132144	1600	1600	1600	2200	2300	1100	2400	2200	1600	1200	1600	1500	1700	1300	2400	1800	1200	2200	1800	1900	1600	2100	1300	1900	1400	1700	1800	2000	1800	1400	1700	1400	2100	1900	1900	1900	1800	1500	2000	1800	1600	1800	1200	1500	1100	800	650	200	290	1800	204	1900	2000	2300	750	650	900	1100	400	500	200	550	500	1700	700	1000	150	700	1300	1500	1300	1400	1200	1200	1200	2200	2000	1400	1900	1400	1700	1500	1300	900	900	1700	900	1800	2300	2300	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	86744	1054	1156	1166	1704	1612	713	1719	1471	981	790	967	1119	1233	905	1529	1156	704	1428	1177	1137	1106	1439	829	1183	868	1089	1085	1373	1191	909	1131	947	1419	1339	1224	1434	1076	927	1315	1091	1067	1276	754	879	697	381	409	111	222	1315	142	1521	1351	1417	429	331	579	683	245	240	106	357	375	1037	382	801	104	679	926	921	784	737	653	613	836	1259	1268	858	1281	880	1159	916	1202	479	681	1043	505	1060	1583	1468	1046					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2742	7	16	18	25	16	34	9	10	22	23	16	21	14	10	47	35	9	27	44	33	7	25	19	56	15	15	30	16	29	35	36	24	34	32	44	22	45	34	30	53	52	40	21	24	22	147	41	39	51	44	32	92	36	51	8	55	51	41	19	61	52	10	4	4	89	52	34	0	15	10	31	37	17	17	38	35	20	24	13	24	10	14	22	23	35	15	4	18	40	49	22					
6	Число погашенных избирательных бюллетеней	42646	539	428	416	471	672	353	672	719	597	387	617	360	453	385	824	609	487	745	579	730	483	636	452	661	517	596	685	611	580	456	533	429	647	529	632	444	679	539	655	656	477	484	425	597	381	272	200	50	17	441	30	287	613	832	313	264	270	376	136	199	42	183	121	659	229	147	12	21	359	567	485	626	530	570	326	906	712	518	606	496	531	570	76	398	184	642	390	722	677	783	431					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2742	7	16	18	25	16	34	9	10	22	23	16	21	14	10	47	35	9	27	44	33	7	25	19	56	15	15	30	16	29	35	36	24	34	32	44	22	45	34	30	53	52	40	21	24	22	147	41	39	51	44	32	92	36	51	8	55	51	41	19	61	52	10	4	4	89	52	34	0	15	10	31	37	17	17	38	35	20	24	13	24	10	14	22	23	35	15	4	18	40	49	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86606	1054	1154	1157	1698	1612	707	1714	1469	979	790	967	1118	1232	904	1529	1156	703	1425	1177	1136	1106	1436	829	1183	868	1089	1084	1372	1191	909	1128	946	1419	1339	1223	1434	1076	925	1314	1090	1067	1275	751	879	697	381	409	111	219	1315	142	1521	1348	1412	429	331	579	683	245	239	106	357	375	1037	382	800	104	679	924	918	783	736	649	613	835	1257	1268	854	1281	878	1158	914	1202	479	681	1041	505	1060	1543	1468	1044					
9	Число недействительных избирательных бюллетеней	1266	11	18	17	35	29	14	21	26	18	17	16	17	31	6	17	15	8	10	15	20	14	16	14	13	11	33	16	25	18	10	21	8	29	25	22	22	16	9	14	25	18	10	5	8	7	4	4	0	3	32	1	17	16	10	10	3	2	12	3	2	0	6	4	20	1	15	2	11	13	6	6	10	6	9	20	19	19	8	15	10	9	7	23	13	13	13	12	22	26	21	18					
10	Число действительных избирательных бюллетеней	88082	1050	1152	1158	1688	1599	727	1702	1453	983	796	967	1122	1215	908	1559	1176	704	1442	1206	1149	1099	1445	834	1226	872	1071	1098	1363	1202	934	1143	962	1424	1346	1245	1434	1105	950	1330	1118	1101	1305	767	895	712	524	446	150	267	1327	173	1596	1368	1453	427	383	628	712	261	298	158	361	375	1021	470	837	136	668	926	922	808	763	660	621	853	1273	1269	870	1279	892	1159	921	1201	489	703	1043	497	1056	1557	1496	1048					
