Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Каменская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878					
1	"Число избирателей, внесенных в списки"	11835	807	93	459	88	61	869	351	117	130	721	285	108	778	99	109	994	158	405	1459	712	218	306	128	1097	612	210	358	103					
2	"Число бюллетеней, полученных участковыми комиссиями"	11610	800	100	430	90	70	850	350	130	130	700	300	120	750	100	110	1000	160	400	1330	700	230	310	130	1050	600	210	350	110					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6888	430	64	268	53	44	502	160	60	79	437	170	63	427	74	84	554	95	244	721	439	149	236	91	658	319	149	253	65					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	371	31	6	17	0	0	20	27	9	7	11	7	1	39	0	1	41	6	30	30	22	3	5	5	20	13	4	14	2					
6	Число погашенных бюллетеней	4351	339	30	145	37	26	328	163	61	44	252	123	56	284	26	25	405	59	126	579	239	78	69	34	372	268	57	83	43					
7	Число бюллетеней в переносных ящиках для голосования	371	31	6	17	0	0	20	27	9	7	11	7	1	39	0	1	41	6	30	30	22	3	5	5	20	13	4	14	2					
8	Число бюллетеней в стационарных ящиках для голосования	6887	430	64	268	53	44	502	160	60	79	437	170	63	427	74	84	554	95	244	721	439	149	236	91	658	319	149	252	65					
9	Число недействительных бюллетеней	143	12	2	6	0	0	3	4	3	1	10	10	2	6	0	7	9	2	8	16	8	5	1	3	9	6	1	8	1					
10	Число действительных бюллетеней	7115	449	68	279	53	44	519	183	66	85	438	167	62	460	74	78	586	99	266	735	453	147	240	93	669	326	152	258	66					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	4	2	2	2	2	6	3	2	2	4	3	2	5	2	2	8	2	4	10	7	2	2	2	8	6	2	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	11	1	0	1	0	0	0	1	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	2	2	1	1	0	1	1	0	4	1	4	2	2	1	3	2	1	2	1	2	1	4	2	0	3	1	3	3					
14	Число погашенных открепительных удостоверений	89	3	2	1	2	2	6	2	2	2	1	3	2	4	2	2	6	2	4	10	7	2	2	2	6	6	2	2	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	98	12	0	3	1	1	10	6	0	3	4	3	3	6	0	1	10	2	1	4	4	5	4	2	9	1	1	1	1					
		1.35%	2.60%	0.0%	1.05%	1.88%	2.27%	1.91%	3.20%	0.0%	3.48%	0.89%	1.69%	4.68%	1.28%	0.0%	1.17%	1.68%	1.98%	0.36%	0.53%	0.86%	3.28%	1.65%	2.08%	1.32%	0.30%	0.65%	0.37%	1.49%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	145	3	0	8	3	0	11	1	0	0	26	5	3	6	1	2	14	2	5	10	5	5	11	4	8	3	1	6	2					
		1.99%	0.65%	0.0%	2.80%	5.66%	0.0%	2.10%	0.53%	0.0%	0.0%	5.80%	2.82%	4.68%	1.28%	1.35%	2.35%	2.35%	1.98%	1.82%	1.33%	1.08%	3.28%	4.56%	4.16%	1.17%	0.90%	0.65%	2.25%	2.98%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	134	11	4	5	1	1	15	6	4	0	2	3	0	2	1	2	12	4	2	18	18	4	1	3	6	3	3	3	0					
		1.84%	2.38%	5.71%	1.75%	1.88%	2.27%	2.87%	3.20%	5.79%	0.0%	0.44%	1.69%	0.0%	0.42%	1.35%	2.35%	2.01%	3.96%	0.72%	2.39%	3.90%	2.63%	0.41%	3.12%	0.88%	0.90%	1.96%	1.12%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	134	11	0	6	4	2	16	3	0	1	10	0	0	13	0	1	6	3	13	10	5	1	9	1	13	2	1	2	1					
		1.84%	2.38%	0.0%	2.10%	7.54%	4.54%	3.06%	1.60%	0.0%	1.16%	2.23%	0.0%	0.0%	2.78%	0.0%	1.17%	1.00%	2.97%	4.74%	1.33%	1.08%	0.65%	3.73%	1.04%	1.91%	0.60%	0.65%	0.75%	1.49%					
22	"5. ""За Русь Святую"""	32	4	0	1	1	0	7	0	0	1	2	1	0	1	0	0	0	2	2	4	1	0	1	0	1	3	0	0	0					
		0.44%	0.86%	0.0%	0.35%	1.88%	0.0%	1.34%	0.0%	0.0%	1.16%	0.44%	0.56%	0.0%	0.21%	0.0%	0.0%	0.0%	1.98%	0.72%	0.53%	0.21%	0.0%	0.41%	0.0%	0.14%	0.90%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	0	0	1	0	0	3	0	0	0	0	0	0	0	0	3	0	1	1	1	2	2	0	1	2	1	2	0	2					
		0.30%	0.0%	0.0%	0.35%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.52%	0.0%	0.99%	0.36%	0.13%	0.43%	1.31%	0.0%	1.04%	0.29%	0.30%	1.30%	0.0%	2.98%					
