Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Бабынинская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №677	УИК №678					
1	"Число избирателей, внесенных в списки избирателей"	17697	135	220	2293	967	509	198	276	549	300	207	540	158	165	380	202	371	316	187	242	2335	2221	2852	1224	850					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15600	125	190	2000	845	450	180	240	470	270	180	475	140	140	345	180	340	260	170	190	2080	1980	2485	1095	770					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9006	60	85	1089	473	175	87	165	332	193	78	270	59	76	231	105	176	184	78	78	1191	1196	1536	689	400					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	913	16	43	82	27	101	49	25	70	45	32	70	38	17	44	18	46	48	24	36	35	15	12	14	6					
6	Число погашенных избирательных бюллетеней	5681	49	62	829	345	174	44	50	68	32	70	135	43	47	70	57	118	28	68	76	854	769	937	392	364					
7	Число избирательных бюллетеней в переносных ящиках для голосования	913	16	43	82	27	101	49	25	70	45	32	70	38	17	44	18	46	48	24	36	35	15	12	14	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9002	60	85	1089	473	175	87	165	332	193	78	270	59	76	231	105	176	184	78	78	1190	1196	1536	686	400					
9	Число недействительных избирательных бюллетеней	100	0	0	16	11	1	0	2	3	1	0	2	0	1	4	4	0	0	0	1	15	19	9	9	2					
10	Число действительных избирательных бюллетеней	9815	76	128	1155	489	275	136	188	399	237	110	338	97	92	271	119	222	232	102	113	1210	1192	1539	691	404					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	198	2	3	33	5	7	6	3	8	5	3	5	3	2	6	3	5	3	3	3	20	20	25	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	119	2	1	33	4	2	6	0	3	2	0	1	0	0	0	1	0	1	2	2	8	18	24	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	103	5	5	19	7	4	0	2	1	4	2	3	2	1	4	0	1	2	2	3	6	9	13	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	79	0	2	0	1	5	0	3	5	3	3	4	3	2	6	2	5	2	1	1	12	2	1	7	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
