Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Одоевская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9775	1647	878	1240	1043	519	194	526	392	355	275	561	305	269	486	379	706									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9941	1680	872	1250	1070	528	201	531	403	354	278	552	333	276	496	390	727									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3979	716	351	454	475	167	81	226	163	110	58	148	102	130	232	139	427									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1298	14	122	83	13	97	38	97	65	111	149	70	82	41	88	146	82									
6	Число погашенных избирательных бюллетеней	4664	950	399	713	582	264	82	208	175	133	71	334	149	105	176	105	218									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1298	14	122	83	13	97	38	97	65	111	149	70	82	41	88	146	82									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3979	716	351	454	475	167	81	226	163	110	58	148	102	130	232	139	427									
9	Число недействительных избирательных бюллетеней	118	33	9	12	12	12	2	8	8	3	2	2	0	1	6	3	5									
10	Число действительных избирательных бюллетеней	5159	697	464	525	476	252	117	315	220	218	205	216	184	170	314	282	504									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	242	25	20	30	25	10	5	29	9	7	5	19	17	6	10	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	219	21	20	11	25	10	5	29	9	7	5	19	17	6	10	10	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	114	10	21	11	6	6	3	8	4	12	6	6	2	3	10	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	23	4	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	4	1	8	2	3	2	0	3	2	0	1	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	14	3	3	7	4	2	3	6	3	1	4	0	5	3	4	4									
		1.25%	1.92%	0.63%	0.56%	1.43%	1.52%	1.68%	0.93%	2.63%	1.36%	0.48%	1.83%	0.00%	2.92%	0.94%	1.40%	0.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	161	22	21	13	21	4	2	7	8	8	3	6	4	3	20	8	11									
		3.05%	3.01%	4.44%	2.42%	4.30%	1.52%	1.68%	2.17%	3.51%	3.62%	1.45%	2.75%	2.17%	1.75%	6.25%	2.81%	2.16%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	123	20	16	8	21	5	2	10	4	6	7	2	1	0	7	6	8									
		2.33%	2.74%	3.38%	1.49%	4.30%	1.89%	1.68%	3.10%	1.75%	2.71%	3.38%	0.92%	0.54%	0.00%	2.19%	2.11%	1.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2952	337	238	309	205	144	83	174	132	140	130	148	112	130	185	177	308									
