Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Среднеколымская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502					
1	"Число избирателей, внесенных в списки"	5260	520	947	969	392	351	192	284	335	425	392	178	275					
2	"Число бюллетеней, полученных участковыми комиссиями"	5290	500	920	910	400	390	195	300	350	430	400	195	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	227	8	0	24	25	8	24	8	36	60	14	2	18					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3678	299	605	580	292	314	103	246	242	315	319	151	212					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	344	30	48	65	26	29	4	15	31	27	31	14	24					
6	Число погашенных бюллетеней	1041	163	267	241	57	39	64	31	41	28	36	28	46					
7	Число бюллетеней в переносных ящиках для голосования	571	38	48	89	51	37	28	23	67	87	45	16	42					
8	Число бюллетеней в стационарных ящиках для голосования	3678	299	605	580	292	314	103	246	242	315	319	151	212					
9	Число недействительных бюллетеней	48	2	9	12	2	4	3	2	4	0	5	1	4					
10	Число действительных бюллетеней	4201	335	644	657	341	347	128	267	305	402	359	166	250					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	270	20	50	50	20	20	10	15	15	20	20	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	97	4	16	11	9	11	0	6	2	11	0	13	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	3	14	6	1	0	0	0	0	5	1	0	4					
14	Число погашенных открепительных удостоверений	173	16	34	39	11	9	10	9	13	9	20	2	1					
15	Число открепительных удостоверений выданных ТИК	4	1	0	0	0	0	0	0	0	0	0	1	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	126	10	12	13	17	7	10	9	10	16	14	3	5					
		2.96%	2.96%	1.83%	1.94%	4.95%	1.99%	7.63%	3.34%	3.23%	3.98%	3.84%	1.79%	1.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	878	58	122	111	55	74	21	41	63	135	80	47	71					
		20.66%	17.21%	18.68%	16.59%	16.03%	21.08%	16.03%	15.24%	20.38%	33.58%	21.97%	28.14%	27.95%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	92	14	14	18	4	2	0	10	3	9	5	4	9					
		2.16%	4.15%	2.14%	2.69%	1.16%	0.56%	0.0%	3.71%	0.97%	2.23%	1.37%	2.39%	3.54%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	45	9	8	9	2	4	0	2	3	1	7	0	0					
		1.05%	2.67%	1.22%	1.34%	0.58%	1.13%	0.0%	0.74%	0.97%	0.24%	1.92%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	8	0	1	1	1	2	1	0	0	0	0	2	0					
		0.18%	0.0%	0.15%	0.14%	0.29%	0.56%	0.76%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	1	1	2	1	1	0	0	1	1	1	0	0					
		0.21%	0.29%	0.15%	0.29%	0.29%	0.28%	0.0%	0.0%	0.32%	0.24%	0.27%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	8	1	1	2	1	0	0	0	1	1	0	0	1					
		0.18%	0.29%	0.15%	0.29%	0.29%	0.0%	0.0%	0.0%	0.32%	0.24%	0.0%	0.0%	0.39%					
25	"8. ""Народно-республиканская партия России"""	6	0	0	0	2	1	0	0	0	1	1	1	0					
		0.14%	0.0%	0.0%	0.0%	0.58%	0.28%	0.0%	0.0%	0.0%	0.24%	0.27%	0.59%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	11	1	2	1	1	2	1	1	1	0	0	0	1					
		0.25%	0.29%	0.30%	0.14%	0.29%	0.56%	0.76%	0.37%	0.32%	0.0%	0.0%	0.0%	0.39%					
27	"10. ""Аграрная партия России"""	76	6	4	9	11	4	1	5	7	16	4	7	2					
		1.78%	1.78%	0.61%	1.34%	3.20%	1.13%	0.76%	1.85%	2.26%	3.98%	1.09%	4.19%	0.78%					
28	"11. ""Истинные патриоты России"""	6	1	0	0	0	1	0	2	0	0	1	0	1					
		0.14%	0.29%	0.0%	0.0%	0.0%	0.28%	0.0%	0.74%	0.0%	0.0%	0.27%	0.0%	0.39%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	28	4	6	6	0	5	0	1	0	3	2	0	1					
		0.65%	1.18%	0.91%	0.89%	0.0%	1.42%	0.0%	0.37%	0.0%	0.74%	0.54%	0.0%	0.39%					
30	"13. ""Демократическая партия России"""	9	0	1	0	2	0	0	1	0	2	3	0	0					
		0.21%	0.0%	0.15%	0.0%	0.58%	0.0%	0.0%	0.37%	0.0%	0.49%	0.82%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	23	3	2	4	2	3	2	0	3	3	0	1	0					
		0.54%	0.89%	0.30%	0.59%	0.58%	0.85%	1.52%	0.0%	0.97%	0.74%	0.0%	0.59%	0.0%					
32	"15. ""Партия СЛОН"""	14	0	1	1	1	3	0	2	1	0	4	0	1					
		0.32%	0.0%	0.15%	0.14%	0.29%	0.85%	0.0%	0.74%	0.32%	0.0%	1.09%	0.0%	0.39%					
33	"16. ""Родина"" (народно-патриотический союз)"""	230	16	34	27	17	13	7	17	52	16	24	1	6					
		5.41%	4.74%	5.20%	4.03%	4.95%	3.70%	5.34%	6.31%	16.82%	3.98%	6.59%	0.59%	2.36%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	20	2	2	2	3	1	1	1	0	3	2	2	1					
		0.47%	0.59%	0.30%	0.29%	0.87%	0.28%	0.76%	0.37%	0.0%	0.74%	0.54%	1.19%	0.39%					
35	"18. ""ЛДПР"""	111	20	17	21	8	4	6	2	4	9	8	3	9					
		2.61%	5.93%	2.60%	3.13%	2.33%	1.13%	4.58%	0.74%	1.29%	2.23%	2.19%	1.79%	3.54%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	113	6	18	29	12	4	2	11	2	5	11	7	6					
		2.65%	1.78%	2.75%	4.33%	3.49%	1.13%	1.52%	4.08%	0.64%	1.24%	3.02%	4.19%	2.36%					
37	"20. ""Политическая партия ""Единая Россия"""	1967	162	343	324	172	174	64	133	124	140	154	72	105					
		46.29%	48.07%	52.52%	48.43%	50.14%	49.57%	48.85%	49.44%	40.12%	34.82%	42.30%	43.11%	41.33%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	0	1	4	0	2	0	0	3	0	1	2	2					
		0.35%	0.0%	0.15%	0.59%	0.0%	0.56%	0.0%	0.0%	0.97%	0.0%	0.27%	1.19%	0.78%					
39	"22. ""Развитие предпринимательства"""	10	0	3	4	1	0	0	1	0	0	1	0	0					
		0.23%	0.0%	0.45%	0.59%	0.29%	0.0%	0.0%	0.37%	0.0%	0.0%	0.27%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	302	18	43	58	16	32	1	18	22	30	30	13	21					
		7.10%	5.34%	6.58%	8.66%	4.66%	9.11%	0.76%	6.69%	7.11%	7.46%	8.24%	7.78%	8.26%					
																			
41	Против всех	94	3	8	11	12	8	11	10	5	11	6	1	8					
		2.21%	0.89%	1.22%	1.64%	3.49%	2.27%	8.39%	3.71%	1.61%	2.73%	1.64%	0.59%	3.14%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
