Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    ЗАТО город Фокино																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193					
1	"Число избирателей, внесенных в списки"	24592	2543	2179	1705	2232	2352	2487	834	2158	631	873	2742	1198	2658					
2	"Число бюллетеней, полученных участковыми комиссиями"	24497	2580	2210	1752	2255	2390	2350	750	2230	610	910	2770	1240	2450					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10830	989	846	774	961	1009	1158	554	1099	370	412	990	424	1244					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	208	19	10	13	15	16	8	0	42	29	16	11	19	10					
6	Число погашенных бюллетеней	13459	1572	1354	965	1279	1365	1184	196	1089	211	482	1769	797	1196					
7	Число бюллетеней в переносных ящиках для голосования	208	19	10	13	15	16	8	0	42	29	16	11	19	10					
8	Число бюллетеней в стационарных ящиках для голосования	10808	985	846	773	961	1008	1158	552	1099	369	410	979	424	1244					
9	Число недействительных бюллетеней	193	22	12	21	15	11	15	8	22	20	9	10	10	18					
10	Число действительных бюллетеней	10823	982	844	765	961	1013	1151	544	1119	378	417	980	433	1236					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	395	9	14	12	7	7	32	32	197	0	15	26	12	32					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	291	8	8	10	7	7	12	28	184	0	2	5	7	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	2	3	13	10	2	9	2	8	8	2	1	3	2					
14	Число погашенных открепительных удостоверений	104	1	6	2	0	0	20	4	13	0	13	21	5	19					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	2	0	1	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	142	12	14	8	11	13	11	16	15	6	4	12	7	13					
		1.28%	1.19%	1.63%	1.01%	1.12%	1.26%	0.94%	2.89%	1.31%	1.50%	0.93%	1.21%	1.58%	1.03%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	342	30	25	27	40	24	52	20	39	20	7	22	12	24					
		3.10%	2.98%	2.92%	3.43%	4.09%	2.34%	4.45%	3.62%	3.41%	5.02%	1.64%	2.22%	2.70%	1.91%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	281	38	24	19	24	27	18	8	27	6	16	23	18	33					
		2.55%	3.78%	2.80%	2.41%	2.45%	2.63%	1.54%	1.44%	2.36%	1.50%	3.75%	2.32%	4.06%	2.63%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	521	33	38	55	69	48	45	12	67	6	13	58	13	64					
		4.72%	3.28%	4.43%	6.99%	7.06%	4.68%	3.85%	2.17%	5.87%	1.50%	3.05%	5.85%	2.93%	5.10%					
22	"5. ""За Русь Святую"""	50	6	6	2	3	6	3	4	4	2	1	3	2	8					
		0.45%	0.59%	0.70%	0.25%	0.30%	0.58%	0.25%	0.72%	0.35%	0.50%	0.23%	0.30%	0.45%	0.63%					
23	"6. ""Объединенная Российская партия ""Русь"""	48	5	2	4	6	7	4	3	6	1	0	1	1	8					
		0.43%	0.49%	0.23%	0.50%	0.61%	0.68%	0.34%	0.54%	0.52%	0.25%	0.0%	0.10%	0.22%	0.63%					
24	"7. ""Новый курс - Автомобильная Россия"""	148	16	10	6	10	11	26	10	26	6	0	4	6	17					
		1.34%	1.59%	1.16%	0.76%	1.02%	1.07%	2.22%	1.81%	2.27%	1.50%	0.0%	0.40%	1.35%	1.35%					
25	"8. ""Народно-республиканская партия России"""	11	0	1	1	3	1	0	1	3	1	0	0	0	0					
		0.09%	0.0%	0.11%	0.12%	0.30%	0.09%	0.0%	0.18%	0.26%	0.25%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	45	3	1	3	1	2	13	4	4	3	1	4	0	6					
		0.40%	0.29%	0.11%	0.38%	0.10%	0.19%	1.11%	0.72%	0.35%	0.75%	0.23%	0.40%	0.0%	0.47%					
27	"10. ""Аграрная партия России"""	158	17	18	11	17	13	19	3	21	6	4	11	7	11					
		1.43%	1.69%	2.10%	1.39%	1.74%	1.26%	1.62%	0.54%	1.84%	1.50%	0.93%	1.11%	1.58%	0.87%					
28	"11. ""Истинные патриоты России"""	35	3	2	1	3	0	7	1	7	2	2	0	2	5					
		0.31%	0.29%	0.23%	0.12%	0.30%	0.0%	0.60%	0.18%	0.61%	0.50%	0.46%	0.0%	0.45%	0.39%					
