Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
"Наименование Избирательной комиссии:    Смоленск, Ленинская"																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	82043	907	623	961	2029	1779	2617	1907	2107	819	2175	1948	2498	1800	2529	2553	2342	2112	1178	1451	2281	2166	2349	2342	962	2224	1166	1666	2178	2014	2230	2443	1934	2343	1894	2055	1637	2572	2012	1605	1060	2376	2148	2051									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76900	850	550	900	1900	1700	2500	1800	2000	700	1700	1900	2400	1700	2500	2400	2200	2000	1100	1300	2200	2100	2200	2200	900	1900	1100	1600	2100	1900	2100	2300	1800	2200	1800	1900	1500	2500	1900	1500	900	2200	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31962	355	319	426	717	686	1097	777	957	417	870	742	949	634	870	1101	786	765	299	649	962	723	899	666	349	1119	397	705	769	657	802	1091	907	815	750	643	623	982	831	674	694	814	858	816									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1110	9	9	3	14	27	19	16	26	5	415	4	9	10	23	32	48	16	33	18	11	13	21	15	15	12	12	9	7	7	12	8	8	12	7	17	111	20	14	13	2	13	4	11									
6	Число погашенных избирательных бюллетеней	43828	486	222	471	1169	987	1384	1007	1017	278	415	1154	1442	1056	1607	1267	1366	1219	768	633	1227	1364	1280	1519	536	769	691	886	1324	1236	1286	1201	885	1373	1043	1240	766	1498	1055	813	204	1373	1138	1173									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1110	9	9	3	14	27	19	16	26	5	415	4	9	10	23	32	48	16	33	18	11	13	21	15	15	12	12	9	7	7	12	8	8	12	7	17	111	20	14	13	2	13	4	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31847	355	310	426	716	686	1094	777	939	417	857	739	949	633	870	1068	785	765	299	649	959	723	898	666	347	1118	397	705	756	657	802	1090	907	814	749	643	623	978	831	670	694	813	858	815									
9	Число недействительных избирательных бюллетеней	677	5	4	7	21	11	16	14	16	7	54	13	17	17	11	10	84	13	10	9	42	16	16	13	19	15	3	7	20	6	7	16	10	23	12	16	28	11	14	16	4	1	16	7									
10	Число действительных избирательных бюллетеней	32280	359	315	422	709	702	1097	779	949	415	1218	730	941	626	882	1090	749	768	322	658	928	720	903	668	343	1115	406	707	743	658	807	1082	905	803	744	644	706	987	831	667	692	825	846	819									
