Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Нижнеломовская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34716	444	471	251	442	308	681	611	641	670	1077	718	187	348	361	235	305	352	261	1179	363	176	1073	190	414	635	452	2950	115	470	432	1330	1695	1440	1210	872	1062	1184	935	1274	1101	796	1373	1354	1346	932									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32845	460	490	250	450	340	690	650	660	670	1100	740	195	360	360	235	300	340	260	1200	370	175	1100	190	420	650	460	290	110	470	430	1330	1700	1400	1230	860	1060	1200	1030	1500	1100	800	1370	1380	1350	1120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22973	226	252	134	339	208	438	414	560	540	878	492	138	203	199	174	190	240	202	951	233	124	812	165	244	479	301	198	86	286	358	606	1309	942	958	573	992	981	712	911	450	459	1101	941	1218	756									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5486	195	176	101	83	36	175	148	41	82	113	175	40	122	129	44	89	91	20	73	92	32	169	19	142	99	98	67	22	156	53	274	116	325	40	131	40	27	223	299	488	188	48	194	35	176									
6	Число погашенных избирательных бюллетеней	4386	39	62	15	28	96	77	88	59	48	109	73	17	35	32	17	21	9	38	176	45	19	119	6	34	72	61	25	2	28	19	450	275	133	232	156	28	192	95	290	162	153	221	245	97	188									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5486	195	176	101	83	36	175	148	41	82	113	175	40	122	129	44	89	91	20	73	92	32	169	19	142	99	98	67	22	156	53	274	116	325	40	131	40	27	223	299	488	188	48	194	35	176									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22954	226	252	134	339	208	438	414	560	540	878	491	138	203	199	174	190	240	202	951	233	124	812	165	244	479	301	198	86	286	358	606	1309	942	958	573	992	981	701	911	450	452	1101	941	1218	756									
9	Число недействительных избирательных бюллетеней	280	2	2	0	1	5	0	0	1	0	2	0	0	1	0	0	3	1	1	15	24	1	3	2	6	12	47	0	5	2	1	12	6	0	6	4	58	0	0	3	5	5	34	0	6	4									
10	Число действительных избирательных бюллетеней	28160	419	426	235	421	239	613	562	600	622	989	666	178	324	328	218	276	330	221	1009	301	155	978	182	380	566	352	265	103	440	410	868	1419	1267	992	700	974	1008	924	1207	933	635	1115	1135	1247	928									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	573	10	7	6	10	27	10	15	5	17	11	5	5	10	10	5	5	5	5	15	5	5	10	5	20	10	10	5	5	10	5	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	471	10	7	6	10	27	10	15	5	17	11	5	5	0	0	2	0	5	5	11	5	0	10	1	20	10	10	1	0	10	5	20	20	20	20	8	10	20	20	20	5	20	20	20	13	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	147	2	2	6	2	4	10	1	4	6	2	1	1	4	4	3	1	1	3	0	5	3	1	3	2	1	5	2	1	4	2	7	2	0	1	7	7	2	3	2	3	4	4	3	12	4									
14	Число погашенных неиспользованных открепительных удостоверений	102	0	0	0	0	0	0	0	0	0	0	0	0	10	10	3	5	0	0	4	0	5	0	4	0	0	0	4	5	0	0	0	0	0	0	12	10	0	0	0	15	0	0	0	7	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	127	2	1	0	3	0	3	6	5	14	20	7	3	1	3	0	0	0	0	0	0	0	3	1	4	6	0	0	1	0	0	3	7	2	1	3	2	2	0	3	2	2	4	6	4	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	102	1	1	2	0	0	1	1	1	4	2	4	1	0	0	3	3	1	1	0	2	0	8	0	2	0	1	0	0	0	2	10	6	6	3	4	4	3	0	7	3	2	9	3	0	1									
		0.36%	0.24%	0.23%	0.85%	0.00%	0.00%	0.16%	0.18%	0.17%	0.64%	0.20%	0.60%	0.56%	0.00%	0.00%	1.38%	1.08%	0.30%	0.45%	0.00%	0.62%	0.00%	0.82%	0.00%	0.52%	0.00%	0.25%	0.00%	0.00%	0.00%	0.49%	1.14%	0.42%	0.47%	0.30%	0.57%	0.39%	0.30%	0.00%	0.58%	0.32%	0.31%	0.78%	0.26%	0.00%	0.11%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	267	11	7	0	0	5	1	5	14	4	15	12	0	0	0	6	3	6	1	0	2	0	9	2	7	0	4	0	1	6	7	20	10	0	15	10	13	8	5	16	18	6	8	0	0	10									
		0.94%	2.61%	1.64%	0.00%	0.00%	2.05%	0.16%	0.89%	2.33%	0.64%	1.51%	1.80%	0.00%	0.00%	0.00%	2.75%	1.08%	1.81%	0.45%	0.00%	0.62%	0.00%	0.92%	1.09%	1.81%	0.00%	1.00%	0.00%	0.93%	1.36%	1.70%	2.27%	0.70%	0.00%	1.50%	1.42%	1.26%	0.79%	0.54%	1.32%	1.92%	0.94%	0.70%	0.00%	0.00%	1.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	195	3	3	0	7	5	5	2	8	3	7	6	2	0	0	0	1	1	1	0	0	4	6	0	2	0	2	0	0	2	5	23	6	7	10	3	12	7	4	15	8	4	14	0	0	7									
